x z dist ED
-10.0  25.0  0.0  4.93129566753
-9.6  24.5  0.6  26.2869929154
-9.2  24.1  1.2  50.2103895298
-8.8  23.6  1.8  76.0923768377
-8.4  23.2  2.4  103.27098694
-8.0  22.7  3.0  131.048424009
-7.6  22.3  3.6  158.708975907
-7.2  21.8  4.3  185.537319388
-6.8  21.4  4.9  210.836722243
-6.4  20.9  5.5  233.946649898
-6.0  20.5  6.1  254.259302111
-5.6  20.0  6.7  271.234636994
-5.2  19.5  7.3  284.413483646
-4.7  19.1  7.9  293.428399999
-4.3  18.6  8.5  298.011997349
-3.9  18.2  9.1  298.002525651
-3.5  17.7  9.7  293.346591815
-3.1  17.3  10.3  284.098964725
-2.7  16.8  10.9  270.419503075
-2.3  16.4  11.6  252.56732305
-1.9  15.9  12.2  230.892399969
-1.5  15.5  12.8  205.82486906
-1.1  15.0  13.4  177.8623535
-0.7  14.5  14.0  147.555700888
-0.3  14.1  14.6  115.493551022
 0.1  13.6  15.2  82.2861868842
 0.5  13.2  15.8  48.5491365693
 0.9  12.7  16.4  14.8869958191
 1.3  12.3  17.0 -18.1220708242
 1.7  11.8  17.6 -49.9407172793
 2.1  11.4  18.2 -80.0852961124
 2.5  10.9  18.9 -108.136884956
 2.9  10.5  19.5 -133.750171041
 3.3  10.0  20.1 -156.659972296
 3.7  9.5  20.7 -176.685245987
 4.1  9.1  21.3 -193.73051218
 4.5  8.6  21.9 -207.784697072
 4.9  8.2  22.5 -218.91747816
 5.4  7.7  23.1 -227.273286993
 5.8  7.3  23.7 -233.06319368
 6.2  6.8  24.3 -236.554958452
 6.6  6.4  24.9 -238.061587548
 7.0  5.9  25.5 -237.92877202
 7.4  5.5  26.2 -236.521617666
 7.8  5.0  26.8 -234.211091193
 8.2  4.5  27.4 -231.360611678
 8.6  4.1  28.0 -228.313207214
 9.0  3.6  28.6 -225.379634803
 9.4  3.2  29.2 -222.827827743
 9.8  2.7  29.8 -220.873990069
 10.2  2.3  30.4 -219.675603544
 10.6  1.8  31.0 -219.32655082
 11.0  1.4  31.6 -219.854490767
 11.4  0.9  32.2 -221.220550597
 11.8  0.5  32.8 -223.321326517
 12.2  0.0  33.4 -225.993112481
 12.6 -0.5  34.1 -229.0182073
 13.0 -0.9  34.7 -232.133086121
 13.4 -1.4  35.3 -235.038164885
 13.8 -1.8  35.9 -237.408837694
 14.2 -2.3  36.5 -238.907428387
 14.6 -2.7  37.1 -239.195670196
 15.1 -3.2  37.7 -237.947311955
 15.5 -3.6  38.3 -234.860446342
 15.9 -4.1  38.9 -229.669165074
 16.3 -4.5  39.5 -222.154167536
 16.7 -5.0  40.1 -212.15198229
 17.1 -5.5  40.7 -199.5625042
 17.5 -5.9  41.4 -184.354602216
 17.9 -6.4  42.0 -166.569612476
 18.3 -6.8  42.6 -146.322596575
 18.7 -7.3  43.2 -123.801313521
 19.1 -7.7  43.8 -99.2629239457
 19.5 -8.2  44.4 -73.0285145707
 19.9 -8.6  45.0 -45.4755974093
 20.3 -9.1  45.6 -17.0287999557
 20.7 -9.5  46.2  11.8509823686
 21.1 -10.0  46.8  40.6786534998
 21.5 -10.5  47.4  68.9578487021
 21.9 -10.9  48.0  96.1943499163
 22.3 -11.4  48.7  121.909588443
 22.7 -11.8  49.3  145.653836095
 23.1 -12.3  49.9  167.018695111
 23.5 -12.7  50.5  185.648517869
 23.9 -13.2  51.1  201.250419208
 24.3 -13.6  51.7  213.602585821
 24.7 -14.1  52.3  222.560637568
 25.2 -14.5  52.9  228.061853017
 25.6 -15.0  53.5  230.127134361
 26.0 -15.5  54.1  228.860653152
 26.4 -15.9  54.7  224.447186067
 26.8 -16.4  55.3  217.147217112
 27.2 -16.8  56.0  207.289947322
 27.6 -17.3  56.6  195.264413176
 28.0 -17.7  57.2  181.508968915
 28.4 -18.2  57.8  166.499434113
 28.8 -18.6  58.4  150.73624489
 29.2 -19.1  59.0  134.730974113
 29.6 -19.5  59.6  118.992601974
 30.0 -20.0  60.2  104.013923149
