x z dist ED
-13.3  34.2  0.0  1589.40008389
-13.0  33.5  0.7  1431.64824416
-12.8  32.8  1.5  1200.94593035
-12.5  32.1  2.2  908.234266988
-12.2  31.4  3.0  571.746099476
-12.0  30.7  3.7  216.088998155
-11.7  30.1  4.4 -129.851394462
-11.4  29.4  5.2 -435.955758212
-11.2  28.7  5.9 -674.41650342
-10.9  28.0  6.7 -823.206248705
-10.6  27.3  7.4 -868.875504609
-10.3  26.6  8.2 -808.191678005
-10.1  25.9  8.9 -648.339077706
-9.8  25.2  9.6 -405.665777215
-9.5  24.5  10.4 -103.231737637
-9.3  23.8  11.1  232.373521956
-9.0  23.1  11.9  574.361295676
-8.7  22.5  12.6  898.648368459
-8.5  21.8  13.3  1185.88951854
-8.2  21.1  14.1  1422.4066364
-7.9  20.4  14.8  1600.03654516
-7.7  19.7  15.6  1715.15281756
-7.4  19.0  16.3  1767.27704939
-7.1  18.3  17.1  1757.74650956
-6.9  17.6  17.8  1688.83777044
-6.6  16.9  18.5  1563.57783702
-6.3  16.2  19.3  1386.24757213
-6.0  15.5  20.0  1163.35354093
-5.8  14.9  20.8  904.671908668
-5.5  14.2  21.5  623.897635835
-5.2  13.5  22.2  338.486474184
-5.0  12.8  23.0  68.4493531072
-4.7  12.1  23.7 -165.886923889
-4.4  11.4  24.5 -346.859267711
-4.2  10.7  25.2 -462.656315382
-3.9  10.0  25.9 -510.045947082
-3.6  9.3  26.7 -495.97819555
-3.4  8.6  27.4 -437.556535123
-3.1  7.9  28.2 -360.156595725
-2.8  7.3  28.9 -293.832891044
-2.6  6.6  29.7 -268.51800873
-2.3  5.9  30.4 -308.807145184
-2.0  5.2  31.1 -429.26822585
-1.7  4.5  31.9 -631.185159258
-1.5  3.8  32.6 -901.426054673
-1.2  3.1  33.4 -1213.76442626
-0.9  2.4  34.1 -1532.53628341
-0.7  1.7  34.8 -1818.07522831
-0.4  1.0  35.6 -2033.01859405
-0.1  0.3  36.3 -2148.39138551
 0.1 -0.3  37.1 -2148.39138551
 0.4 -1.0  37.8 -2033.01859405
 0.7 -1.7  38.5 -1818.07522831
 0.9 -2.4  39.3 -1532.53628341
 1.2 -3.1  40.0 -1213.76442626
 1.5 -3.8  40.8 -901.426054673
 1.7 -4.5  41.5 -631.185159258
 2.0 -5.2  42.3 -429.26822585
 2.3 -5.9  43.0 -308.807145184
 2.6 -6.6  43.7 -268.51800873
 2.8 -7.3  44.5 -293.832891044
 3.1 -7.9  45.2 -360.156595725
 3.4 -8.6  46.0 -437.556535123
 3.6 -9.3  46.7 -495.97819555
 3.9 -10.0  47.4 -510.045947082
 4.2 -10.7  48.2 -462.656315382
 4.4 -11.4  48.9 -346.859267711
 4.7 -12.1  49.7 -165.886923889
 5.0 -12.8  50.4  68.4493531072
 5.2 -13.5  51.2  338.486474184
 5.5 -14.2  51.9  623.897635835
 5.8 -14.9  52.6  904.671908668
 6.0 -15.5  53.4  1163.35354093
 6.3 -16.2  54.1  1386.24757213
 6.6 -16.9  54.9  1563.57783702
 6.9 -17.6  55.6  1688.83777044
 7.1 -18.3  56.3  1757.74650956
 7.4 -19.0  57.1  1767.27704939
 7.7 -19.7  57.8  1715.15281756
 7.9 -20.4  58.6  1600.03654516
 8.2 -21.1  59.3  1422.4066364
 8.5 -21.8  60.0  1185.88951854
 8.7 -22.5  60.8  898.648368459
 9.0 -23.1  61.5  574.361295676
 9.3 -23.8  62.3  232.373521956
 9.5 -24.5  63.0 -103.231737637
 9.8 -25.2  63.8 -405.665777215
 10.1 -25.9  64.5 -648.339077706
 10.3 -26.6  65.2 -808.191678005
 10.6 -27.3  66.0 -868.875504609
 10.9 -28.0  66.7 -823.206248705
 11.2 -28.7  67.5 -674.41650342
 11.4 -29.4  68.2 -435.955758212
 11.7 -30.1  68.9 -129.851394462
 12.0 -30.7  69.7  216.088998155
 12.2 -31.4  70.4  571.746099476
 12.5 -32.1  71.2  908.234266988
 12.8 -32.8  71.9  1200.94593035
 13.0 -33.5  72.6  1431.64824416
 13.3 -34.2  73.4  1589.40008389
