x z dist ED
 69.6  27.0  0.0 -24.3489335985
 69.8  26.5  0.6 -55.5079812502
 70.0  25.9  1.1 -87.1083863201
 70.1  25.4  1.7 -115.038726777
 70.3  24.8  2.3 -134.935919767
 70.5  24.3  2.9 -142.559256207
 70.7  23.7  3.4 -134.177679182
 70.9  23.2  4.0 -106.936704853
 71.0  22.6  4.6 -59.1705464755
 71.2  22.1  5.2  9.37243586907
 71.4  21.5  5.7  97.416759115
 71.6  21.0  6.3  202.175818068
 71.8  20.5  6.9  319.50157934
 72.0  19.9  7.5  444.159514611
 72.1  19.4  8.0  570.207155985
 72.3  18.8  8.6  691.443015364
 72.5  18.3  9.2  801.88395128
 72.7  17.7  9.8  896.224600122
 72.9  17.2  10.3  970.232997901
 73.0  16.6  10.9  1021.04222813
 73.2  16.1  11.5  1047.3084372
 73.4  15.5  12.1  1049.21983886
 73.6  15.0  12.6  1028.35783438
 73.8  14.5  13.2  987.428197377
 73.9  13.9  13.8  929.895367731
 74.1  13.4  14.4  859.564346606
 74.3  12.8  14.9  780.160936228
 74.5  12.3  15.5  694.961169282
 74.7  11.7  16.1  606.514513549
 74.8  11.2  16.7  516.493412673
 75.0  10.6  17.2  425.685293137
 75.2  10.1  17.8  334.124310467
 75.4  9.5  18.4  241.341193073
 75.6  9.0  19.0  146.693035603
 75.7  8.5  19.5  49.7230395512
 75.9  7.9  20.1 -49.5052813124
 76.1  7.4  20.7 -150.153066424
 76.3  6.8  21.3 -250.474677832
 76.5  6.3  21.8 -347.838682256
 76.7  5.7  22.4 -438.909822923
 76.8  5.2  23.0 -519.978210455
 77.0  4.6  23.6 -587.400367759
 77.2  4.1  24.1 -638.098811811
 77.4  3.5  24.7 -670.055078656
 77.6  3.0  25.3 -682.727331043
 77.7  2.5  25.9 -677.328802073
 77.9  1.9  26.4 -656.917081281
 78.1  1.4  27.0 -626.265275912
 78.3  0.8  27.6 -591.512023358
 78.5  0.3  28.2 -559.615108718
 78.6 -0.3  28.7 -537.6596137
 78.8 -0.8  29.3 -532.092715625
 79.0 -1.4  29.9 -547.970591183
 79.2 -1.9  30.5 -588.306359352
 79.4 -2.5  31.0 -653.600781237
 79.5 -3.0  31.6 -741.619982658
 79.7 -3.5  32.2 -847.45852457
 79.9 -4.1  32.8 -963.894568731
 80.1 -4.6  33.3 -1082.01030666
 80.3 -5.2  33.9 -1192.01922826
 80.4 -5.7  34.5 -1284.21606221
 80.6 -6.3  35.1 -1349.94857444
 80.8 -6.8  35.6 -1382.50509157
 81.0 -7.4  36.2 -1377.8185322
 81.2 -7.9  36.8 -1334.90633033
 81.4 -8.5  37.4 -1255.99395392
 81.5 -9.0  37.9 -1146.30458265
 81.7 -9.5  38.5 -1013.53489995
 81.9 -10.1  39.1 -867.072499381
 82.1 -10.6  39.7 -717.039891041
 82.3 -11.2  40.2 -573.269984034
 82.4 -11.7  40.8 -444.325794228
 82.6 -12.3  41.4 -336.67197782
 82.8 -12.8  41.9 -254.088169839
 83.0 -13.4  42.5 -197.386058374
 83.2 -13.9  43.1 -164.456955171
 83.3 -14.5  43.7 -150.638500151
 83.5 -15.0  44.2 -149.352592229
 83.7 -15.5  44.8 -152.936014368
 83.9 -16.1  45.4 -153.564143616
 84.1 -16.6  46.0 -144.159075046
 84.2 -17.2  46.5 -119.177449993
 84.4 -17.7  47.1 -75.1896894689
 84.6 -18.3  47.7 -11.1891080459
 84.8 -18.8  48.3  71.3968163558
 85.0 -19.4  48.8  168.9840952
 85.1 -19.9  49.4  276.354896788
 85.3 -20.5  50.0  387.352271632
 85.5 -21.0  50.6  495.654389623
 85.7 -21.5  51.1  595.527948781
 85.9 -22.1  51.7  682.465280249
 86.1 -22.6  52.3  753.626487791
 86.2 -23.2  52.9  808.034530825
 86.4 -23.7  53.4  846.504090754
 86.6 -24.3  54.0  871.320173472
 86.8 -24.8  54.6  885.715258353
 87.0 -25.4  55.2  893.220259861
 87.1 -25.9  55.7  896.981282918
 87.3 -26.5  56.3  899.139008806
 87.5 -27.0  56.9  900.359909669
