x z ED
-150.0 -100.0  2070.87831807
-150.0 -99.0  2013.7375033
-150.0 -98.0  1817.76714851
-150.0 -97.0  1502.69052706
-150.0 -96.0  1103.25076423
-150.0 -95.0  664.184142967
-150.0 -94.0  234.054829546
-150.0 -93.0 -140.659907369
-150.0 -92.0 -420.2833365
-150.0 -91.0 -575.213978008
-150.0 -90.0 -588.124198895
-150.0 -89.0 -455.623870462
-150.0 -88.0 -189.613692664
-150.0 -87.0  182.05410732
-150.0 -86.0  616.506373097
-150.0 -85.0  1059.33213327
-150.0 -84.0  1451.03398478
-150.0 -83.0  1735.85946034
-150.0 -82.0  1871.36291932
-150.0 -81.0  1836.40682352
-150.0 -80.0  1635.42070383
-150.0 -79.0  1297.62361831
-150.0 -78.0  871.281153249
-150.0 -77.0  414.410652004
-150.0 -76.0 -15.8136057514
-150.0 -75.0 -372.625787887
-150.0 -74.0 -626.486826179
-150.0 -73.0 -768.396329598
-150.0 -72.0 -809.807559585
-150.0 -71.0 -779.722189413
-150.0 -70.0 -719.564856218
-150.0 -69.0 -676.244980514
-150.0 -68.0 -693.757346529
-150.0 -67.0 -804.009004682
-150.0 -66.0 -1018.26561219
-150.0 -65.0 -1321.34492665
-150.0 -64.0 -1670.92847857
-150.0 -63.0 -2003.67840892
-150.0 -62.0 -2248.15226723
-150.0 -61.0 -2342.21111233
-150.0 -60.0 -2250.52792184
-150.0 -59.0 -1976.84567836
-150.0 -58.0 -1566.44033458
-150.0 -57.0 -1096.82795799
-150.0 -56.0 -658.411845084
-150.0 -55.0 -330.263554422
-150.0 -54.0 -158.257013494
-150.0 -53.0 -142.449376809
-150.0 -52.0 -237.872742563
-150.0 -51.0 -368.620024343
-150.0 -50.0 -450.757366543
-150.0 -49.0 -416.739256561
-150.0 -48.0 -233.687000561
-150.0 -47.0  89.7738676637
-150.0 -46.0  509.32104714
-150.0 -45.0  960.269295062
-150.0 -44.0  1376.37126842
-150.0 -43.0  1705.50210004
-150.0 -42.0  1917.60541873
-150.0 -41.0  2003.81565569
-150.0 -40.0  1969.28436132
-150.0 -39.0  1824.45624272
-150.0 -38.0  1579.52400456
-150.0 -37.0  1244.66386893
-150.0 -36.0  835.431705767
-150.0 -35.0  379.846521351
-150.0 -34.0 -77.5133950071
-150.0 -33.0 -478.070845712
-150.0 -32.0 -759.331696122
-150.0 -31.0 -869.948467944
-150.0 -30.0 -784.696240799
-150.0 -29.0 -513.76367836
-150.0 -28.0 -102.527666531
-150.0 -27.0  378.633365576
-150.0 -26.0  851.285400613
-150.0 -25.0  1247.01481997
-150.0 -24.0  1520.77743622
-150.0 -23.0  1655.70432369
-150.0 -22.0  1658.98869401
-150.0 -21.0  1551.87945672
-150.0 -20.0  1358.76766812
-150.0 -19.0  1100.09776761
-150.0 -18.0  791.544345779
-150.0 -17.0  448.617921337
-150.0 -16.0  93.0729272777
-150.0 -15.0 -243.548816587
-150.0 -14.0 -522.688995433
-150.0 -13.0 -708.314803943
-150.0 -12.0 -780.199837264
-150.0 -11.0 -745.476625445
-150.0 -10.0 -642.776728204
-150.0 -9.0 -535.546642417
-150.0 -8.0 -495.120421433
-150.0 -7.0 -578.31477079
-150.0 -6.0 -807.001436982
-150.0 -5.0 -1157.13530835
-150.0 -4.0 -1561.90771827
-150.0 -3.0 -1928.98219626
-150.0 -2.0 -2166.84279527
-150.0 -1.0 -2211.95384794
-150.0  0.0 -2047.9396635
-150.0  1.0 -1710.55114759
-150.0  2.0 -1276.88907567
-150.0  3.0 -842.528820544
-150.0  4.0 -494.025915245
-150.0  5.0 -285.486943596
-150.0  6.0 -226.152249547
-150.0  7.0 -281.99362814
-150.0  8.0 -389.657356273
-150.0  9.0 -477.325402592
-150.0  10.0 -485.438216932
-150.0  11.0 -381.094266277
-150.0  12.0 -162.773653589
-150.0  13.0  144.362882294
-150.0  14.0  499.323829972
-150.0  15.0  857.570742056
-150.0  16.0  1180.48804588
-150.0  17.0  1439.7430572
-150.0  18.0  1616.74274774
-150.0  19.0  1699.39904644
-150.0  20.0  1679.17571843
-150.0  21.0  1550.72482282
-150.0  22.0  1314.73782009
-150.0  23.0  982.730107257
-150.0  24.0  581.18778962
-150.0  25.0  152.379533158
-150.0  26.0 -249.773907364
-150.0  27.0 -568.518877327
-150.0  28.0 -755.638899875
-150.0  29.0 -782.080010699
-150.0  30.0 -644.564159321
-150.0  31.0 -366.137507894
-150.0  32.0  9.45132569573
-150.0  33.0  427.687516445
-150.0  34.0  834.426959949
-150.0  35.0  1185.00231371
-150.0  36.0  1449.0910544
-150.0  37.0  1610.8766941
-150.0  38.0  1665.79596008
-150.0  39.0  1616.26384346
-150.0  40.0  1468.78800674
-150.0  41.0  1233.83994856
-150.0  42.0  928.191011278
-150.0  43.0  577.860241177
-150.0  44.0  219.060349448
-150.0  45.0 -105.025522094
-150.0  46.0 -352.220876302
-150.0  47.0 -492.507393158
-150.0  48.0 -518.880477912
-150.0  49.0 -453.657968088
-150.0  50.0 -346.806659071
-150.0  51.0 -265.168699141
-150.0  52.0 -274.594013425
-150.0  53.0 -419.828451958
-150.0  54.0 -708.469660365
-150.0  55.0 -1104.68725464
-150.0  56.0 -1535.71823206
-150.0  57.0 -1910.16233636
-150.0  58.0 -2143.12282276
-150.0  59.0 -2180.66832665
-150.0  60.0 -2015.92011811
-150.0  61.0 -1691.48385087
-150.0  62.0 -1287.22129901
-150.0  63.0 -897.079266436
-150.0  64.0 -602.239486045
-150.0  65.0 -448.9826339
-150.0  66.0 -437.968665006
-150.0  67.0 -527.722926394
-150.0  68.0 -650.375218422
-150.0  69.0 -733.806307474
-150.0  70.0 -722.659805503
-150.0  71.0 -591.693582682
-150.0  72.0 -348.178583543
-150.0  73.0 -24.2011539198
-150.0  74.0  336.809211233
-150.0  75.0  693.490540542
-150.0  76.0  1014.95439313
-150.0  77.0  1282.02958399
-150.0  78.0  1482.61024491
-150.0  79.0  1604.97136667
