x z ED
-150.0 -100.0  356.287581308
-150.0 -99.0  361.483373414
-150.0 -98.0  347.58181407
-150.0 -97.0  304.340333317
-150.0 -96.0  229.01552338
-150.0 -95.0  133.162253272
-150.0 -94.0  39.3902125338
-150.0 -93.0 -30.4790955839
-150.0 -92.0 -67.1344270014
-150.0 -91.0 -76.3428155287
-150.0 -90.0 -70.5357229601
-150.0 -89.0 -56.5081628691
-150.0 -88.0 -29.5441065945
-150.0 -87.0  21.0195893625
-150.0 -86.0  99.3384212756
-150.0 -85.0  194.192619985
-150.0 -84.0  281.51918582
-150.0 -83.0  337.026344388
-150.0 -82.0  349.47459148
-150.0 -81.0  324.773850041
-150.0 -80.0  278.534842852
-150.0 -79.0  223.839405233
-150.0 -78.0  164.232401713
-150.0 -77.0  96.8170857447
-150.0 -76.0  21.4284059228
-150.0 -75.0 -53.192135723
-150.0 -74.0 -112.299555133
-150.0 -73.0 -144.937221913
-150.0 -72.0 -152.164664135
-150.0 -71.0 -146.477124021
-150.0 -70.0 -142.783702924
-150.0 -69.0 -148.644800269
-150.0 -68.0 -162.037168841
-150.0 -67.0 -178.105031377
-150.0 -66.0 -198.075555845
-150.0 -65.0 -231.155248449
-150.0 -64.0 -286.201442436
-150.0 -63.0 -359.430556569
-150.0 -62.0 -429.19907601
-150.0 -61.0 -464.406979763
-150.0 -60.0 -442.459675118
-150.0 -59.0 -364.47797664
-150.0 -58.0 -256.484999821
-150.0 -57.0 -155.174384298
-150.0 -56.0 -87.9751320743
-150.0 -55.0 -60.8356807138
-150.0 -54.0 -60.7566754167
-150.0 -53.0 -68.9435097494
-150.0 -52.0 -73.4135581471
-150.0 -51.0 -72.1447489773
-150.0 -50.0 -66.8102599906
-150.0 -49.0 -54.9507961404
-150.0 -48.0 -28.7016508003
-150.0 -47.0  18.7327064261
-150.0 -46.0  85.2777100438
-150.0 -45.0  158.740790986
-150.0 -44.0  224.068200409
-150.0 -43.0  273.126806738
-150.0 -42.0  308.314127392
-150.0 -41.0  336.466840253
-150.0 -40.0  358.260369408
-150.0 -39.0  362.894371986
-150.0 -38.0  333.978750326
-150.0 -37.0  263.066617709
-150.0 -36.0  160.135965081
-150.0 -35.0  51.7956104872
-150.0 -34.0 -32.6834428455
-150.0 -33.0 -77.6519924657
-150.0 -32.0 -87.6644552904
-150.0 -31.0 -79.7451589519
-150.0 -30.0 -67.8493747714
-150.0 -29.0 -51.940249716
-150.0 -28.0 -20.0785528976
-150.0 -27.0  38.6992255274
-150.0 -26.0  121.529831953
-150.0 -25.0  209.433853941
-150.0 -24.0  277.439258079
-150.0 -23.0  309.120135165
-150.0 -22.0  304.481135046
-150.0 -21.0  275.985782567
-150.0 -20.0  237.151070689
-150.0 -19.0  193.505086932
-150.0 -18.0  142.70174298
-150.0 -17.0  82.2169512095
-150.0 -16.0  16.6577655169
-150.0 -15.0 -42.3687890721
-150.0 -14.0 -83.7915445457
-150.0 -13.0 -105.150678954
-150.0 -12.0 -113.830460416
-150.0 -11.0 -120.269681534
-150.0 -10.0 -129.332268867
-150.0 -9.0 -137.884703416
-150.0 -8.0 -141.10654857
-150.0 -7.0 -141.824304553
-150.0 -6.0 -153.528232685
-150.0 -5.0 -192.351782934
-150.0 -4.0 -262.773727539
-150.0 -3.0 -348.2910269
-150.0 -2.0 -415.972329239
-150.0 -1.0 -433.846258642
-150.0  0.0 -390.066025344
-150.0  1.0 -300.673118737
-150.0  2.0 -200.480912458
-150.0  3.0 -123.378770378
-150.0  4.0 -85.3328558809
-150.0  5.0 -80.490761722
-150.0  6.0 -90.7286860683
-150.0  7.0 -99.709162767
-150.0  8.0 -100.907498127
-150.0  9.0 -95.5364127003
-150.0  10.0 -84.9161391861
-150.0  11.0 -65.4974662046
-150.0  12.0 -31.0149434113
-150.0  13.0  20.9578599834
-150.0  14.0  84.8838475449
-150.0  15.0  149.921631594
-150.0  16.0  207.152339427
-150.0  17.0  254.617452079
-150.0  18.0  295.170233681
-150.0  19.0  328.803602186
-150.0  20.0  346.756125812
-150.0  21.0  334.021116161
-150.0  22.0  279.966189543
-150.0  23.0  189.256562772
-150.0  24.0  83.7395985498
-150.0  25.0 -7.74441572175
-150.0  26.0 -65.2083509425
-150.0  27.0 -87.6370373951
-150.0  28.0 -89.8343298553
-150.0  29.0 -88.4108510176
-150.0  30.0 -87.6656155884
-150.0  31.0 -76.2079238294
-150.0  32.0 -36.8423456112
-150.0  33.0  38.0082513183
-150.0  34.0  137.243008935
-150.0  35.0  235.247918554
-150.0  36.0  306.0209804
-150.0  37.0  336.775287338
-150.0  38.0  331.6573963
-150.0  39.0  304.337661584
-150.0  40.0  266.581013495
-150.0  41.0  221.943526776
-150.0  42.0  168.377794529
-150.0  43.0  105.730573627
-150.0  44.0  40.4954134585
-150.0  45.0 -16.5584790784
-150.0  46.0 -57.4112684856
-150.0  47.0 -81.7840601838
-150.0  48.0 -95.5037899918
-150.0  49.0 -104.0250624
-150.0  50.0 -107.653040504
