x z ED
-150.0 -100.0  348.62548449
-150.0 -99.0  350.83335625
-150.0 -98.0  330.668796234
-150.0 -97.0  281.660497596
-150.0 -96.0  204.596424105
-150.0 -95.0  112.340059522
-150.0 -94.0  25.8226896557
-150.0 -93.0 -36.9262878906
-150.0 -92.0 -70.461989087
-150.0 -91.0 -82.392527082
-150.0 -90.0 -83.9456561029
-150.0 -89.0 -78.2834859368
-150.0 -88.0 -56.547078336
-150.0 -87.0 -5.60493087813
-150.0 -86.0  78.2237759339
-150.0 -85.0  180.632551369
-150.0 -84.0  273.604719269
-150.0 -83.0  330.233949206
-150.0 -82.0  339.469455229
-150.0 -81.0  310.13624066
-150.0 -80.0  261.907354894
-150.0 -79.0  210.848859949
-150.0 -78.0  160.748553178
-150.0 -77.0  106.014908941
-150.0 -76.0  42.2302935892
-150.0 -75.0 -25.4631184086
-150.0 -74.0 -83.4197073814
-150.0 -73.0 -118.796823854
-150.0 -72.0 -128.915831777
-150.0 -71.0 -122.81198933
-150.0 -70.0 -114.177411439
-150.0 -69.0 -112.325890356
-150.0 -68.0 -119.04903903
-150.0 -67.0 -133.313251198
-150.0 -66.0 -158.090233423
-150.0 -65.0 -201.270410571
-150.0 -64.0 -267.989257895
-150.0 -63.0 -350.27611226
-150.0 -62.0 -424.012292614
-150.0 -61.0 -458.571546473
-150.0 -60.0 -434.413234983
-150.0 -59.0 -356.524294577
-150.0 -58.0 -253.404968365
-150.0 -57.0 -161.403457732
-150.0 -56.0 -104.89775523
-150.0 -55.0 -85.6870412435
-150.0 -54.0 -87.7511763892
-150.0 -53.0 -92.040576827
-150.0 -52.0 -89.2411675519
-150.0 -51.0 -81.5129050009
-150.0 -50.0 -74.0086191605
-150.0 -49.0 -65.2232158515
-150.0 -48.0 -45.27508574
-150.0 -47.0 -3.54884027296
-150.0 -46.0  61.361693519
-150.0 -45.0  138.457843348
-150.0 -44.0  210.901479838
-150.0 -43.0  266.740301288
-150.0 -42.0  304.585793937
-150.0 -41.0  329.591596071
-150.0 -40.0  343.799845122
-150.0 -39.0  340.133809406
-150.0 -38.0  306.324044232
-150.0 -37.0  236.27415558
-150.0 -36.0  139.33949242
-150.0 -35.0  38.9419914394
-150.0 -34.0 -39.6053041511
-150.0 -33.0 -83.1836828295
-150.0 -32.0 -96.0448877937
-150.0 -31.0 -92.2311801254
-150.0 -30.0 -81.6680724666
-150.0 -29.0 -61.4653288013
-150.0 -28.0 -19.6143969698
-150.0 -27.0  52.0176889942
-150.0 -26.0  146.280032737
-150.0 -25.0  240.6712509
-150.0 -24.0  309.264457957
-150.0 -23.0  337.654054445
-150.0 -22.0  329.639459027
-150.0 -21.0  301.101921648
-150.0 -20.0  266.670390143
-150.0 -19.0  230.024773453
-150.0 -18.0  184.988956439
-150.0 -17.0  125.30814741
-150.0 -16.0  54.0118513347
-150.0 -15.0 -15.8077379614
-150.0 -14.0 -69.2632770579
-150.0 -13.0 -99.7277399296
-150.0 -12.0 -112.225532851
-150.0 -11.0 -117.813596161
-150.0 -10.0 -124.505515068
-150.0 -9.0 -133.033877414
-150.0 -8.0 -140.968461878
-150.0 -7.0 -150.67579859
-150.0 -6.0 -172.529712178
-150.0 -5.0 -218.549616491
-150.0 -4.0 -290.326697622
-150.0 -3.0 -371.277621438
-150.0 -2.0 -431.275113495
-150.0 -1.0 -442.564315008
