x z ED
-150.0 -100.0  657.314296028
-150.0 -99.0  653.201846141
-150.0 -98.0  598.943041839
-150.0 -97.0  483.303185651
-150.0 -96.0  320.015945312
-150.0 -95.0  149.078137998
-150.0 -94.0  16.5421441672
-150.0 -93.0 -53.3880684667
-150.0 -92.0 -72.0141065319
-150.0 -91.0 -73.6034988869
-150.0 -90.0 -85.4315311605
-150.0 -89.0 -103.7868167
-150.0 -88.0 -95.4091518832
-150.0 -87.0 -24.0014793487
-150.0 -86.0  118.499031283
-150.0 -85.0  300.170254682
-150.0 -84.0  465.918128118
-150.0 -83.0  569.805145131
-150.0 -82.0  598.618216913
-150.0 -81.0  570.61346359
-150.0 -80.0  513.663679209
-150.0 -79.0  442.527303045
-150.0 -78.0  353.411066295
-150.0 -77.0  237.719501848
-150.0 -76.0  100.280087299
-150.0 -75.0 -35.5838878248
-150.0 -74.0 -141.168659456
-150.0 -73.0 -202.154305737
-150.0 -72.0 -227.544578423
-150.0 -71.0 -240.040931826
-150.0 -70.0 -256.711751813
-150.0 -69.0 -277.470914681
-150.0 -68.0 -291.751093351
-150.0 -67.0 -296.945429205
-150.0 -66.0 -310.559219508
-150.0 -65.0 -362.294791445
-150.0 -64.0 -469.555670763
-150.0 -63.0 -615.620824495
-150.0 -62.0 -750.127483362
-150.0 -61.0 -815.175341654
-150.0 -60.0 -780.075234032
-150.0 -59.0 -660.017609017
-150.0 -58.0 -505.339859866
-150.0 -57.0 -369.771798154
-150.0 -56.0 -280.906293806
-150.0 -55.0 -232.746101066
-150.0 -54.0 -201.942917468
-150.0 -53.0 -171.401567505
-150.0 -52.0 -141.459328904
-150.0 -51.0 -121.605472934
-150.0 -50.0 -113.076103711
-150.0 -49.0 -99.8681461686
-150.0 -48.0 -57.2537621328
-150.0 -47.0  29.2518491187
-150.0 -46.0  151.058177728
-150.0 -45.0  281.189193104
-150.0 -44.0  392.705217201
-150.0 -43.0  475.252271945
-150.0 -42.0  535.956945602
-150.0 -41.0  584.718869326
-150.0 -40.0  617.749810802
-150.0 -39.0  614.931919137
-150.0 -38.0  554.584954484
-150.0 -37.0  433.762390622
-150.0 -36.0  276.595123574
-150.0 -35.0  122.531775666
-150.0 -34.0  2.94825136521
-150.0 -33.0 -75.450845148
-150.0 -32.0 -127.268438971
-150.0 -31.0 -168.228861319
-150.0 -30.0 -195.249676246
-150.0 -29.0 -183.862788037
-150.0 -28.0 -106.052794707
-150.0 -27.0  45.0721363712
-150.0 -26.0  243.160124222
-150.0 -25.0  438.830862396
-150.0 -24.0  584.933830992
-150.0 -23.0  658.674049667
-150.0 -22.0  665.979198611
-150.0 -21.0  627.864288822
-150.0 -20.0  561.775494187
-150.0 -19.0  472.679698935
-150.0 -18.0  358.642130424
-150.0 -17.0  223.019110157
-150.0 -16.0  80.8010010244
-150.0 -15.0 -46.8084462954
-150.0 -14.0 -144.322259238
-150.0 -13.0 -209.454991744
-150.0 -12.0 -249.771477222
-150.0 -11.0 -272.473759223
-150.0 -10.0 -277.884617897
-150.0 -9.0 -263.818802012
