 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -84.64
 1  0  0.109  100.00 -102.17
 1  1  0.122   43.11   24.84
 1  2  0.000    0.00   -5.98
 1  3  0.182    8.79   -0.30
 2 -2  0.224   17.97  -17.25
 2 -1  0.217   76.04  -68.91
 2  0  0.218   28.75  -31.39
 2  1  0.228   39.50   30.23
 2  2  0.246   24.65  -23.96
 2  3  0.270   14.63   14.98
 2  4  0.298    9.22   -6.65
 2  5  0.329    5.63    1.48
 2  6  0.363    4.11    0.07
 3 -2  0.326   33.20   40.65
 3 -1  0.324   45.88   47.14
 3  0  0.326   13.17   -5.18
 3  1  0.000    0.00   -8.20
 3  2  0.350   10.18   13.73
 3  3  0.368   13.58  -13.71
 3  4  0.392   12.98   10.26
 3  5  0.418    9.55   -5.81
 3  6  0.446    5.56    2.27
 4 -3  0.437   23.02  -15.06
 4 -2  0.432   42.81  -47.86
 4 -1  0.431   22.59  -16.84
 4  0  0.435   16.21   11.00
 4  1  0.443    7.20   -3.99
 4  2  0.456    9.87   -2.02
 4  3  0.000    0.00    5.46
 4  4  0.493    3.02   -6.07
 4  5  0.514    4.14    4.71
 4  6  0.539    2.52   -2.71
 5 -3  0.541   15.60  -16.04
 5 -2  0.539   16.31  -19.08
 5 -1  0.540    7.49    2.00
 5  0  0.544    6.54    3.26
 5  1  0.551    6.37   -4.79
 6 -4  0.652    5.91   -1.96
 6 -3  0.648    5.94   -5.97
 6 -2  0.646    3.84   -2.01
 6 -1  0.648    3.45    1.22
 6  0  0.653    3.43   -0.41
 6  1  0.660    3.87   -0.21
 6  2  0.671    0.00    0.48
 6  3  0.684    3.49   -0.41
 6  4  0.700    3.38    0.10
 7 -4  0.757    9.97  -10.52
 7 -3  0.754    8.13  -11.40
 7 -2  0.754    4.24    1.02
 7 -1  0.756    3.58    1.59
 7  0  0.760    2.82   -2.04
 8  0  0.000    0.00   -0.42
 9 -5  0.975    6.10   -5.03
 9 -4  0.973    5.60   -5.47
 9 -3  0.000    0.00    0.46
 9 -2  0.973    3.02    0.76
 9 -1  0.000    0.00   -0.95
 9  0  0.981    2.19    0.55
 9  1  0.000    0.00    0.05
