 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     7423    53061  4604         9
 1  0  0.000  0.109  0.109  1537326    71178   692       164
 1  1  0.043  0.115  0.122      793    13230  1625        34
 1  3  0.130  0.127  0.182        0      549    29       357
 2 -2 -0.087  0.205  0.224      379     2300   164         3
 2 -1 -0.043  0.211  0.217    11152    41161   453       760
 2  0  0.000  0.217  0.218    83008     5882   100        72
 2  1  0.043  0.224  0.228     2596    11103   202       565
 2  2  0.087  0.230  0.246      843     4324   116         9
 2  3  0.130  0.236  0.270      229     1524    11        23
 2  4  0.173  0.242  0.298       37      605    30        88
 2  5  0.217  0.249  0.329        2      226    61        11
 2  6  0.260  0.255  0.363        0      120    20        36
 3 -2 -0.087  0.314  0.326     2334     7846   386         0
 3 -1 -0.043  0.320  0.324     6873    14986   274       147
 3  0  0.000  0.326  0.326      825     1234    87       171
 3  2  0.087  0.339  0.350      480      738    36       484
 3  3  0.130  0.345  0.368      338     1312    30        88
 3  4  0.173  0.351  0.392      154     1199    30        66
 3  5  0.217  0.357  0.418       44      649    16       394
 3  6  0.260  0.364  0.446        6      220    31        28
 4 -3 -0.130  0.416  0.437      484     3771   212        78
 4 -2 -0.087  0.422  0.432     6636    13042   328       150
 4 -1 -0.043  0.429  0.431     1819     3632   287        21
 4  0  0.000  0.435  0.435     5636     1870    22      1823
 4  1  0.043  0.441  0.443       66      369    59        24
 4  2  0.087  0.447  0.456       28      693    38       268
 4  4  0.173  0.460  0.493       56       65    12       258
 4  5  0.217  0.466  0.514       19      122    11         1
 4  6  0.260  0.472  0.539        3       45    50         0
 5 -3 -0.130  0.525  0.541      765     1731   137        22
 5 -2 -0.087  0.531  0.539     1622     1894    52       743
 5 -1 -0.043  0.537  0.540       23      399    21       307
 5  0  0.000  0.544  0.544      629      304     5      1410
 5  1  0.043  0.550  0.551      227      289    16        16
 6 -4 -0.173  0.627  0.652        6      248    17       172
 6 -3 -0.130  0.633  0.648       53      251    14        61
 6 -2 -0.087  0.640  0.646        8      105    19        24
 6 -1 -0.043  0.646  0.648        4       85    16        27
 6  0  0.000  0.652  0.653        1       84     6       165
 6  1  0.043  0.658  0.660        0      106     8       186
 6  3  0.130  0.671  0.684        0       86     4       386
 6  4  0.173  0.677  0.700        0       81     6       196
 7 -4 -0.173  0.736  0.757      371      707    20       396
 7 -3 -0.130  0.742  0.754      566      470    24      1080
 7 -2 -0.087  0.748  0.754        4      128    62         4
 7 -1 -0.043  0.755  0.756       42       91    10        42
 7  0  0.000  0.761  0.760      137       56     3        40
 9 -5 -0.217  0.947  0.975       71      265    50         1
 9 -4 -0.173  0.953  0.973      102      224    40         0
 9 -2 -0.087  0.966  0.973        5       65    19        10
 9  0  0.000  0.978  0.981        4       34    20         3

Total chi^2 =  11425
