x z dist ED
 54.3 -35.6 -40.0  108.594342644
 54.3 -35.5 -39.9  118.432640098
 54.4 -35.4 -39.8  128.254147977
 54.4 -35.3 -39.7  138.052485816
 54.5 -35.3 -39.6  147.821212809
 54.5 -35.2 -39.5  157.553834165
 54.6 -35.1 -39.4  167.243807581
 54.6 -35.0 -39.3  176.884549842
 54.6 -34.9 -39.2  186.469443512
 54.7 -34.8 -39.1  195.991843744
 54.7 -34.7 -39.0  205.445085164
 54.8 -34.6 -38.9  214.822488855
 54.8 -34.5 -38.8  224.117369407
 54.9 -34.5 -38.7  233.323042042
 54.9 -34.4 -38.6  242.432829796
 55.0 -34.3 -38.5  251.44007075
 55.0 -34.2 -38.4  260.338125314
 55.1 -34.1 -38.3  269.12038353
 55.1 -34.0 -38.2  277.780272415
 55.1 -33.9 -38.1  286.311263314
 55.2 -33.8 -38.0  294.706879259
 55.2 -33.7 -37.9  302.960702329
 55.3 -33.7 -37.8  311.066381003
 55.3 -33.6 -37.7  319.017637486
 55.4 -33.5 -37.6  326.808275016
 55.4 -33.4 -37.5  334.432185122
 55.5 -33.3 -37.4  341.883354845
 55.5 -33.2 -37.3  349.155873898
 55.6 -33.1 -37.2  356.243941764
 55.6 -33.0 -37.1  363.141874713
 55.6 -32.9 -37.0  369.844112745
 55.7 -32.8 -36.9  376.345226436
 55.7 -32.8 -36.8  382.639923679
 55.8 -32.7 -36.7  388.723056325
 55.8 -32.6 -36.6  394.589626696
 55.9 -32.5 -36.5  400.234793974
 55.9 -32.4 -36.4  405.653880455
 56.0 -32.3 -36.3  410.84237766
 56.0 -32.2 -36.2  415.795952286
 56.1 -32.1 -36.1  420.510452007
 56.1 -32.0 -36.0  424.981911098
 56.1 -32.0 -35.9  429.206555889
 56.2 -31.9 -35.8  433.180810028
 56.2 -31.8 -35.7  436.901299557
 56.3 -31.7 -35.6  440.364857793
 56.3 -31.6 -35.5  443.568529996
 56.4 -31.5 -35.4  446.509577827
