x z dist ED
 49.7 -44.5 -50.0 -116.624749916
 49.8 -44.4 -49.9 -115.624045669
 49.8 -44.3 -49.8 -114.6151035
 49.9 -44.2 -49.7 -113.597395444
 49.9 -44.2 -49.6 -112.570377588
 50.0 -44.1 -49.5 -111.533490973
 50.0 -44.0 -49.4 -110.486162537
 50.0 -43.9 -49.3 -109.427806086
 50.1 -43.8 -49.2 -108.357823312
 50.1 -43.7 -49.1 -107.275604838
 50.2 -43.6 -49.0 -106.1805313
 50.2 -43.5 -48.9 -105.071974457
 50.3 -43.4 -48.8 -103.949298331
 50.3 -43.4 -48.7 -102.811860384
 50.4 -43.3 -48.6 -101.659012711
 50.4 -43.2 -48.5 -100.490103266
 50.5 -43.1 -48.4 -99.3044771114
 50.5 -43.0 -48.3 -98.1014776859
 50.5 -42.9 -48.2 -96.8804480973
 50.6 -42.8 -48.1 -95.6407324322
 50.6 -42.7 -48.0 -94.381677083
 50.7 -42.6 -47.9 -93.1026320904
 50.7 -42.6 -47.8 -91.8029524986
 50.8 -42.5 -47.7 -90.4819997221
 50.8 -42.4 -47.6 -89.1391429224
 50.9 -42.3 -47.5 -87.7737603905
 50.9 -42.2 -47.4 -86.3852409367
 51.0 -42.1 -47.3 -84.9729852814
 51.0 -42.0 -47.2 -83.5364074489
 51.0 -41.9 -47.1 -82.074936159
 51.1 -41.8 -47.0 -80.588016216
 51.1 -41.8 -46.9 -79.0751098921
 51.2 -41.7 -46.8 -77.5356983036
 51.2 -41.6 -46.7 -75.9692827773
 51.3 -41.5 -46.6 -74.3753862053
 51.3 -41.4 -46.5 -72.7535543855
 51.4 -41.3 -46.4 -71.1033573466
 51.4 -41.2 -46.3 -69.4243906543
 51.5 -41.1 -46.2 -67.7162766971
 51.5 -41.0 -46.1 -65.9786659499
 51.5 -40.9 -46.0 -64.2112382122
 51.6 -40.9 -45.9 -62.4137038206
 51.6 -40.8 -45.8 -60.5858048311
 51.7 -40.7 -45.7 -58.7273161715
 51.7 -40.6 -45.6 -56.8380467601
 51.8 -40.5 -45.5 -54.9178405897
 51.8 -40.4 -45.4 -52.9665777748
 51.9 -40.3 -45.3 -50.9841755592
 51.9 -40.2 -45.2 -48.9705892838
 52.0 -40.1 -45.1 -46.9258133109
 52.0 -40.1 -45.0 -44.8498819044
 52.0 -40.0 -44.9 -42.7428700638
 52.1 -39.9 -44.8 -40.6048943101
 52.1 -39.8 -44.7 -38.4361134224
 52.2 -39.7 -44.6 -36.2367291233
 52.2 -39.6 -44.5 -34.0069867113
 52.3 -39.5 -44.4 -31.7471756395
 52.3 -39.4 -44.3 -29.4576300385
 52.4 -39.3 -44.2 -27.1387291827
 52.4 -39.3 -44.1 -24.7908978979
 52.5 -39.2 -44.0 -22.4146069104
 52.5 -39.1 -43.9 -20.0103731349
 52.5 -39.0 -43.8 -17.5787599018
 52.6 -38.9 -43.7 -15.120377121
 52.6 -38.8 -43.6 -12.6358813833
 52.7 -38.7 -43.5 -10.1259759976
 52.7 -38.6 -43.4 -7.59141096305
 52.8 -38.5 -43.3 -5.03298287575
 52.8 -38.5 -43.2 -2.45153477003
 52.9 -38.4 -43.1  0.152044107061
 52.9 -38.3 -43.0  2.77681858789
 53.0 -38.2 -42.9  5.42180794323
 53.0 -38.1 -42.8  8.0859863085
 53.0 -38.0 -42.7  10.7682831771
 53.1 -37.9 -42.6  13.4675839611
 53.1 -37.8 -42.5  16.1827306188
 53.2 -37.7 -42.4  18.912522349
 53.2 -37.7 -42.3  21.6557163527
 53.3 -37.6 -42.2  24.4110286594
 53.3 -37.5 -42.1  27.1771350207
 53.4 -37.4 -42.0  29.9526718676
 53.4 -37.3 -41.9  32.7362373331
 53.5 -37.2 -41.8  35.5263923379
 53.5 -37.1 -41.7  38.3216617385
 53.5 -37.0 -41.6  41.1205355382
 53.6 -36.9 -41.5  43.921470157
 53.6 -36.9 -41.4  46.722889763
 53.7 -36.8 -41.3  49.5231876598
 53.7 -36.7 -41.2  52.320727733
 53.8 -36.6 -41.1  55.1138459505
 53.8 -36.5 -41.0  57.9008519179
 53.9 -36.4 -40.9  60.6800304853
 53.9 -36.3 -40.8  63.4496434054
 54.0 -36.2 -40.7  66.2079310404
 54.0 -36.1 -40.6  68.9531141158
 54.1 -36.1 -40.5  71.6833955192
 54.1 -36.0 -40.4  74.3969621429
 54.1 -35.9 -40.3  77.0919867664
 54.2 -35.8 -40.2  79.7666299789
 54.2 -35.7 -40.1  82.419042138
 54.3 -35.6 -40.0  85.0473653626
 54.3 -35.5 -39.9  87.6497355582
 54.4 -35.4 -39.8  90.2242844719
 54.4 -35.3 -39.7  92.7691417742
 54.5 -35.3 -39.6  95.2824371657
 54.5 -35.2 -39.5  97.7623025063
 54.6 -35.1 -39.4  100.206873963
 54.6 -35.0 -39.3  102.614294176
 54.6 -34.9 -39.2  104.982714436
 54.7 -34.8 -39.1  107.310296877
 54.7 -34.7 -39.0  109.595216675
 54.8 -34.6 -38.9  111.835664254
 54.8 -34.5 -38.8  114.02984749
 54.9 -34.5 -38.7  116.175993927
 54.9 -34.4 -38.6  118.272352975
 55.0 -34.3 -38.5  120.317198115
 55.0 -34.2 -38.4  122.308829088
 55.1 -34.1 -38.3  124.245574075
 55.1 -34.0 -38.2  126.125791867
 55.1 -33.9 -38.1  127.947874008
 55.2 -33.8 -38.0  129.710246927
 55.2 -33.7 -37.9  131.411374042
 55.3 -33.7 -37.8  133.049757843
 55.3 -33.6 -37.7  134.623941936
 55.4 -33.5 -37.6  136.132513071
 55.4 -33.4 -37.5  137.574103121
 55.5 -33.3 -37.4  138.947391032
 55.5 -33.2 -37.3  140.25110473
 55.6 -33.1 -37.2  141.484022988
 55.6 -33.0 -37.1  142.644977242
 55.6 -32.9 -37.0  143.732853369
 55.7 -32.8 -36.9  144.746593401
 55.7 -32.8 -36.8  145.6851972
 55.8 -32.7 -36.7  146.547724067
