 h  k      q   F_exp F_model
 1 -1  0.111   60.80  -57.01
 1  0  0.109  100.00  -98.95
 1  1  0.122   26.90   29.60
 1  3  0.182    7.60    6.60
 2 -2  0.224   15.10  -15.62
 2 -1  0.217   71.20  -72.32
 2  0  0.218   39.70  -40.26
 2  1  0.228   33.90   29.93
 2  2  0.246   22.70  -21.54
 2  3  0.270   14.20   14.20
 2  4  0.298    7.80   -8.82
 3 -2  0.326   29.30   28.68
 3 -1  0.324   44.20   43.79
 3  0  0.326   12.00    1.12
 3  2  0.350   10.50   13.85
 3  3  0.368   14.90  -13.22
 3  4  0.392   10.00   10.68
