x z dist ED
 10.2 -48.9 -50.0 -143.843477419
 10.2 -48.8 -49.9 -141.594428923
 10.2 -48.7 -49.8 -139.260452152
 10.2 -48.6 -49.7 -136.841706311
 10.1 -48.6 -49.6 -134.338437067
 10.1 -48.5 -49.5 -131.750977014
 10.1 -48.4 -49.4 -129.079746044
 10.1 -48.3 -49.3 -126.325251623
 10.1 -48.2 -49.2 -123.488088974
 10.0 -48.1 -49.1 -120.568941169
 10.0 -48.0 -49.0 -117.568579119
 10.0 -47.9 -48.9 -114.487861474
 10.0 -47.8 -48.8 -111.327734426
 10.0 -47.7 -48.7 -108.089231418
 9.9 -47.6 -48.6 -104.773472751
 9.9 -47.5 -48.5 -101.381665109
 9.9 -47.4 -48.4 -97.9151009737
 9.9 -47.3 -48.3 -94.3751579535
 9.9 -47.2 -48.2 -90.7632980173
 9.8 -47.1 -48.1 -87.0810666311
 9.8 -47.0 -48.0 -83.3300918048
 9.8 -46.9 -47.9 -79.5120830442
 9.8 -46.8 -47.8 -75.6288302128
 9.8 -46.7 -47.7 -71.6822023019
 9.7 -46.6 -47.6 -67.6741461116
 9.7 -46.5 -47.5 -63.6066848429
 9.7 -46.4 -47.4 -59.4819166026
 9.7 -46.3 -47.3 -55.3020128218
 9.7 -46.2 -47.2 -51.0692165904
 9.6 -46.1 -47.1 -46.7858409078
 9.6 -46.0 -47.0 -42.4542668524
 9.6 -45.9 -46.9 -38.0769416711
 9.6 -45.8 -46.8 -33.6563767903
 9.5 -45.7 -46.7 -29.1951457518
 9.5 -45.6 -46.6 -24.6958820728
 9.5 -45.5 -46.5 -20.1612770347
 9.5 -45.4 -46.4 -15.5940774016
 9.5 -45.3 -46.3 -10.9970830698
 9.4 -45.2 -46.2 -6.37314465294
 9.4 -45.1 -46.1 -1.72516100234
 9.4 -45.0 -46.0  2.94392333276
 9.4 -44.9 -45.9  7.63112070411
 9.4 -44.8 -45.8  12.3334030193
 9.3 -44.7 -45.7  17.04770445
 9.3 -44.6 -45.6  21.7709241911
 9.3 -44.5 -45.5  26.4999292682
 9.3 -44.4 -45.4  31.2315573899
 9.3 -44.3 -45.3  35.9626198429
 9.2 -44.2 -45.2  40.6899044272
 9.2 -44.1 -45.1  45.4101784273
 9.2 -44.0 -45.0  50.1201916173
 9.2 -44.0 -44.9  54.8166792973
 9.2 -43.9 -44.8  59.496365357
 9.1 -43.8 -44.7  64.1559653639
 9.1 -43.7 -44.6  68.7921896736
 9.1 -43.6 -44.5  73.4017465577
 9.1 -43.5 -44.4  77.9813453476
 9.1 -43.4 -44.3  82.52769959
 9.0 -43.3 -44.2  87.0375302113
 9.0 -43.2 -44.1  91.5075686877
 9.0 -43.1 -44.0  95.9345602175
 9.0 -43.0 -43.9  100.315266893
 9.0 -42.9 -43.8  104.646470867
 8.9 -42.8 -43.7  108.924977514
 8.9 -42.7 -43.6  113.14761858
 8.9 -42.6 -43.5  117.311255316
 8.9 -42.5 -43.4  121.4127816
 8.9 -42.4 -43.3  125.449127032
 8.8 -42.3 -43.2  129.41726001
 8.8 -42.2 -43.1  133.314190779
 8.8 -42.1 -43.0  137.136974448
 8.8 -42.0 -42.9  140.882713977
 8.8 -41.9 -42.8  144.548563122
 8.7 -41.8 -42.7  148.131729351
