x z ED
-150.0 -100.0  200.196965212
-150.0 -99.0  192.431381201
-150.0 -98.0  175.178197396
-150.0 -97.0  149.934507056
-150.0 -96.0  118.895520956
-150.0 -95.0  84.7776868608
-150.0 -94.0  50.5878193825
-150.0 -93.0  19.3594204789
-150.0 -92.0 -6.11911534227
-150.0 -91.0 -23.5586202586
-150.0 -90.0 -31.3812457124
-150.0 -89.0 -28.8700189972
-150.0 -88.0 -16.2412236325
-150.0 -87.0  5.36771687554
-150.0 -86.0  33.9941222387
-150.0 -85.0  67.0209875272
-150.0 -84.0  101.407103643
-150.0 -83.0  133.954907161
-150.0 -82.0  161.591090012
-150.0 -81.0  181.633912324
-150.0 -80.0  192.02259334
-150.0 -79.0  191.487952677
-150.0 -78.0  179.649252356
-150.0 -77.0  157.029371815
-150.0 -76.0  124.988321808
-150.0 -75.0  85.5828941606
-150.0 -74.0  41.367191666
-150.0 -73.0 -4.84578630872
-150.0 -72.0 -50.2379297305
-150.0 -71.0 -92.2305530848
-150.0 -70.0 -128.696435686
-150.0 -69.0 -158.119768322
-150.0 -68.0 -179.6899371
-150.0 -67.0 -193.321923062
-150.0 -66.0 -199.603569182
-150.0 -65.0 -199.677315368
-150.0 -64.0 -195.070494674
-150.0 -63.0 -187.493277956
-150.0 -62.0 -178.626360183
-150.0 -61.0 -169.921211074
-150.0 -60.0 -162.434105708
-150.0 -59.0 -156.711381252
-150.0 -58.0 -152.737823841
-150.0 -57.0 -149.953341701
-150.0 -56.0 -147.33581378
-150.0 -55.0 -143.540956361
-150.0 -54.0 -137.083940569
-150.0 -53.0 -126.542945622
-150.0 -52.0 -110.762314901
-150.0 -51.0 -89.0327608644
-150.0 -50.0 -61.228177225
-150.0 -49.0 -27.8828650039
-150.0 -48.0  9.80105026146
-150.0 -47.0  50.0191290978
-150.0 -46.0  90.4986461619
-150.0 -45.0  128.6895273
-150.0 -44.0  161.994450483
-150.0 -43.0  188.015922144
-150.0 -42.0  204.795859564
-150.0 -41.0  211.023350381
-150.0 -40.0  206.188842328
-150.0 -39.0  190.667817917
-150.0 -38.0  165.723584307
-150.0 -37.0  133.426531205
-150.0 -36.0  96.4953309395
-150.0 -35.0  58.0732775965
-150.0 -34.0  21.4595190034
-150.0 -33.0 -10.180335571
-150.0 -32.0 -34.0973369682
-150.0 -31.0 -48.2093233356
-150.0 -30.0 -51.2940992619
-150.0 -29.0 -43.1068406499
-150.0 -28.0 -24.4099083938
-150.0 -27.0  3.0885211896
-150.0 -26.0  36.8819534197
-150.0 -25.0  73.8859153424
-150.0 -24.0  110.710853312
-150.0 -23.0  143.962223587
-150.0 -22.0  170.539765181
-150.0 -21.0  187.908004815
-150.0 -20.0  194.312819527
-150.0 -19.0  188.924112974
-150.0 -18.0  171.891840703
-150.0 -17.0  144.311045326
-150.0 -16.0  108.100403977
-150.0 -15.0  65.8071712937
-150.0 -14.0  20.3584868501
-150.0 -13.0 -25.2159022116
-150.0 -12.0 -68.0618850032
-150.0 -11.0 -105.752784868
-150.0 -10.0 -136.490259198
-150.0 -9.0 -159.235264246
-150.0 -8.0 -173.757370287
-150.0 -7.0 -180.599196431
-150.0 -6.0 -180.961513907
-150.0 -5.0 -176.522741698
-150.0 -4.0 -169.21328734
-150.0 -3.0 -160.969771839
-150.0 -2.0 -153.496141819
-150.0 -1.0 -148.057803496
-150.0  0.0 -145.331293189
-150.0  1.0 -145.3259947
-150.0  2.0 -147.386642081
-150.0  3.0 -150.276611646
-150.0  4.0 -152.333220386
-150.0  5.0 -151.678332024
-150.0  6.0 -146.461366223
-150.0  7.0 -135.107978683
-150.0  8.0 -116.546655481
-150.0  9.0 -90.3873803072
-150.0  10.0 -57.0312190037
-150.0  11.0 -17.6966616791
-150.0  12.0  25.6428374016
-150.0  13.0  70.4063586054
-150.0  14.0  113.6252095
-150.0  15.0  152.214077417
-150.0  16.0  183.26704852
-150.0  17.0  204.348704412
-150.0  18.0  213.750341568
-150.0  19.0  210.684278689
-150.0  20.0  195.394959813
-150.0  21.0  169.173570206
-150.0  22.0  134.272362491
-150.0  23.0  93.7248881309
-150.0  24.0  51.0878291289
-150.0  25.0  10.1281540701
-150.0  26.0 -25.514947735
-150.0  27.0 -52.661070042
-150.0  28.0 -68.8806240497
-150.0  29.0 -72.7195613556
-150.0  30.0 -63.8348543958
-150.0  31.0 -43.027425421
-150.0  32.0 -12.1691870175
-150.0  33.0  25.9688219277
-150.0  34.0  67.9705891559
-150.0  35.0  110.086981558
-150.0  36.0  148.575193125
-150.0  37.0  180.033178367
-150.0  38.0  201.697208136
-150.0  39.0  211.674596908
-150.0  40.0  209.090318483
-150.0  41.0  194.134962508
-150.0  42.0  168.011391072
-150.0  43.0  132.78752165
-150.0  44.0  91.1718678703
-150.0  45.0  46.2358850443
-150.0  46.0  1.11205428661
-150.0  47.0 -41.3014771827
-150.0  48.0 -78.6001643591
-150.0  49.0 -109.070991157
-150.0  50.0 -131.810621319
-150.0  51.0 -146.753957927
-150.0  52.0 -154.612808017
-150.0  53.0 -156.733760519
-150.0  54.0 -154.892721298
-150.0  55.0 -151.049952126
-150.0  56.0 -147.093281902
-150.0  57.0 -144.598022361
-150.0  58.0 -144.629961395
-150.0  59.0 -147.612874698
-150.0  60.0 -153.274827525
-150.0  61.0 -160.678899616
-150.0  62.0 -168.334772909
-150.0  63.0 -174.378841523
-150.0  64.0 -176.803056518
-150.0  65.0 -173.707380723
-150.0  66.0 -163.548055183
-150.0  67.0 -145.354142957
-150.0  68.0 -118.88798644
-150.0  69.0 -84.7309582065
-150.0  70.0 -44.2836039994
-150.0  71.0  0.321830784323
-150.0  72.0  46.3893529561
-150.0  73.0  90.8920563203
-150.0  74.0  130.747346898
-150.0  75.0  163.107437815
-150.0  76.0  185.636108508
-150.0  77.0  196.743775962
-150.0  78.0  195.756811003
-150.0  79.0  183.003357812
-150.0  80.0  159.806041705
-150.0  81.0  128.381061212
-150.0  82.0  91.6523419497
-150.0  83.0  52.9977649781
-150.0  84.0  15.9511435979
-150.0  85.0 -16.1120460797
-150.0  86.0 -40.2755938654
-150.0  87.0 -54.3418682566
-150.0  88.0 -57.0252979799
-150.0  89.0 -48.0621990106
-150.0  90.0 -28.2272037295
-150.0  91.0  0.744488503721
-150.0  92.0  36.3208598643
-150.0  93.0  75.406560597
-150.0  94.0  114.623450168
-150.0  95.0  150.611355287
-150.0  96.0  180.320699308
-150.0  97.0  201.269910163
-150.0  98.0  211.744367876
-150.0  99.0  210.919694916
-150.0  100.0  198.899800451
-148.5 -100.0  202.91896231
-148.5 -99.0  197.592116471
-148.5 -98.0  182.41212932
-148.5 -97.0  158.6933673
-148.5 -96.0  128.485188516
-148.5 -95.0  94.4100767644
-148.5 -94.0  59.4437205555
-148.5 -93.0  26.6569777258
-148.5 -92.0 -1.05635491918
-148.5 -91.0 -21.2403867102
-148.5 -90.0 -32.101843051
-148.5 -89.0 -32.6771380257
-148.5 -88.0 -22.9256599817
-148.5 -87.0 -3.74005727075
-148.5 -86.0  23.1278433653
-148.5 -85.0  55.2188640553
-148.5 -84.0  89.5820713784
-148.5 -83.0  123.034154851
-148.5 -82.0  152.438522811
-148.5 -81.0  174.978288569
-148.5 -80.0  188.39803941
-148.5 -79.0  191.19240244
-148.5 -78.0  182.724630811
-148.5 -77.0  163.2652158
-148.5 -76.0  133.948218092
-148.5 -75.0  96.6508537326
-148.5 -74.0  53.809103959
-148.5 -73.0  8.18804400605
-148.5 -72.0 -37.3703634676
-148.5 -71.0 -80.1974708851
-148.5 -70.0 -118.022225619
-148.5 -69.0 -149.148564732
-148.5 -68.0 -172.569944842
-148.5 -67.0 -188.011530368
-148.5 -66.0 -195.89793284
-148.5 -65.0 -197.251893148
-148.5 -64.0 -193.536180985
-148.5 -63.0 -186.456568154
-148.5 -62.0 -177.747462975
-148.5 -61.0 -168.963304854
-148.5 -60.0 -161.297966361
-148.5 -59.0 -155.451285902
-148.5 -58.0 -151.556775817
-148.5 -57.0 -149.178033076
-148.5 -56.0 -147.374082771
-148.5 -55.0 -144.826548576
-148.5 -54.0 -140.014916378
-148.5 -53.0 -131.420916707
-148.5 -52.0 -117.739741837
-148.5 -51.0 -98.0747869893
-148.5 -50.0 -72.0939865571
-148.5 -49.0 -40.1294887489
-148.5 -48.0 -3.20802603604
-148.5 -47.0  36.9936543057
-148.5 -46.0  78.2662306144
-148.5 -45.0  118.048420249
-148.5 -44.0  153.654289805
-148.5 -43.0  182.525557857
-148.5 -42.0  202.484060611
