 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111      223     3697   321         2
 1  0  0.000  0.109  0.109    88281    10000    97         4
 1  1  0.043  0.115  0.122       68      724    89         3
 1  3  0.130  0.127  0.182        1       58     3        22
 2 -2 -0.087  0.205  0.224       17      228    16         1
 2 -1 -0.043  0.211  0.217      742     5069    56         8
 2  0  0.000  0.217  0.218     7291     1576    27         3
 2  1  0.043  0.224  0.228      135     1149    21       146
 2  2  0.087  0.230  0.246       36      515    14        13
 2  3  0.130  0.236  0.270       11      202     2         0
 2  4  0.173  0.242  0.298        3       61     3        30
 3 -2 -0.087  0.314  0.326       86      858    42         1
 3 -1 -0.043  0.320  0.324      409     1954    36         2
 3  0  0.000  0.326  0.326        4      144    10       200
 3  2  0.087  0.339  0.350       22      110     5       226
 3  3  0.130  0.345  0.368       13      222     5        87
 3  4  0.173  0.351  0.392        7      100     2        30

Total chi^2 =  777
