x z dist ED
 48.1 -44.5 -50.0 -117.211553308
 48.1 -44.4 -49.9 -116.049612556
 48.2 -44.3 -49.8 -114.880829351
 48.2 -44.2 -49.7 -113.704900777
 48.3 -44.2 -49.6 -112.521506002
 48.3 -44.1 -49.5 -111.330306824
 48.3 -44.0 -49.4 -110.130948253
 48.4 -43.9 -49.3 -108.923059134
 48.4 -43.8 -49.2 -107.706252807
 48.5 -43.7 -49.1 -106.480127809
 48.5 -43.6 -49.0 -105.24426861
 48.6 -43.5 -48.9 -103.998246388
 48.6 -43.4 -48.8 -102.741619837
 48.7 -43.4 -48.7 -101.473936014
 48.7 -43.3 -48.6 -100.194731217
 48.8 -43.2 -48.5 -98.9035318953
 48.8 -43.1 -48.4 -97.5998555952
 48.8 -43.0 -48.3 -96.2832119304
 48.9 -42.9 -48.2 -94.9531035873
 48.9 -42.8 -48.1 -93.6090273547
 49.0 -42.7 -48.0 -92.2504751813
 49.0 -42.6 -47.9 -90.8769352583
 49.1 -42.6 -47.8 -89.487893125
 49.1 -42.5 -47.7 -88.0828327975
 49.2 -42.4 -47.6 -86.6612379167
 49.2 -42.3 -47.5 -85.2225929165
 49.3 -42.2 -47.4 -83.7663842081
 49.3 -42.1 -47.3 -82.2921013804
 49.3 -42.0 -47.2 -80.7992384144
 49.4 -41.9 -47.1 -79.2872949084
 49.4 -41.8 -47.0 -77.7557773152
 49.5 -41.8 -46.9 -76.2042001856
 49.5 -41.7 -46.8 -74.6320874199
 49.6 -41.6 -46.7 -73.0389735227
 49.6 -41.5 -46.6 -71.4244048611
 49.7 -41.4 -46.5 -69.7879409229
 49.7 -41.3 -46.4 -68.1291555736
 49.8 -41.2 -46.3 -66.4476383099
 49.8 -41.1 -46.2 -64.7429955082
 49.8 -41.0 -46.1 -63.0148516647
 49.9 -40.9 -46.0 -61.2628506273
 49.9 -40.9 -45.9 -59.4866568144
 50.0 -40.8 -45.8 -57.6859564221
 50.0 -40.7 -45.7 -55.8604586139
 50.1 -40.6 -45.6 -54.0098966941
 50.1 -40.5 -45.5 -52.1340292607
 50.2 -40.4 -45.4 -50.2326413376
 50.2 -40.3 -45.3 -48.3055454824
 50.3 -40.2 -45.2 -46.3525828683
 50.3 -40.1 -45.1 -44.3736243399
 50.4 -40.1 -45.0 -42.3685714375
 50.4 -40.0 -44.9 -40.3373573918
 50.4 -39.9 -44.8 -38.2799480839
 50.5 -39.8 -44.7 -36.1963429711
 50.5 -39.7 -44.6 -34.0865759753
 50.6 -39.6 -44.5 -31.9507163329
 50.6 -39.5 -44.4 -29.7888694037
 50.7 -39.4 -44.3 -27.6011774386
 50.7 -39.3 -44.2 -25.3878203027
 50.8 -39.3 -44.1 -23.1490161537
 50.8 -39.2 -44.0 -20.8850220726
 50.9 -39.1 -43.9 -18.5961346468
 50.9 -39.0 -43.8 -16.282690503
 50.9 -38.9 -43.7 -13.9450667891
 51.0 -38.8 -43.6 -11.5836816036
 51.0 -38.7 -43.5 -9.19899437124
 51.1 -38.6 -43.4 -6.79150616408
 51.1 -38.5 -43.3 -4.36175996618
 51.2 -38.5 -43.2 -1.91034088175
 51.2 -38.4 -43.1  0.56212371482
 51.3 -38.3 -43.0  3.05496408763
 51.3 -38.2 -42.9  5.56746810754
 51.4 -38.1 -42.8  8.09888128076
 51.4 -38.0 -42.7  10.6484068382
 51.4 -37.9 -42.6  13.2152058867
 51.5 -37.8 -42.5  15.7983976212
 51.5 -37.7 -42.4  18.397059601
 51.6 -37.7 -42.3  21.0102280864
 51.6 -37.6 -42.2  23.63689844
 51.7 -37.5 -42.1  26.27602559
 51.7 -37.4 -42.0  28.9265245569
 51.8 -37.3 -41.9  31.5872710423
 51.8 -37.2 -41.8  34.2571020817
 51.9 -37.1 -41.7  36.9348167586
 51.9 -37.0 -41.6  39.6191769819
 51.9 -36.9 -41.5  42.3089083236
 52.0 -36.9 -41.4  45.0027009194
 52.0 -36.8 -41.3  47.6992104286
 52.1 -36.7 -41.2  50.3970590546
 52.1 -36.6 -41.1  53.0948366241
 52.2 -36.5 -41.0  55.7911017253
 52.2 -36.4 -40.9  58.4843829025
 52.3 -36.3 -40.8  61.1731799073
 52.3 -36.2 -40.7  63.8559650053
 52.4 -36.1 -40.6  66.5311843358
 52.4 -36.1 -40.5  69.1972593248
 52.4 -36.0 -40.4  71.8525881486
 52.5 -35.9 -40.3  74.4955472475
 52.5 -35.8 -40.2  77.1244928875
 52.6 -35.7 -40.1  79.7377627676
