x z ED
-150.0 -100.0  184.404588821
-150.0 -99.0  169.423839019
-150.0 -98.0  146.683623274
-150.0 -97.0  118.137468819
-150.0 -96.0  86.2746274443
-150.0 -95.0  53.9133059571
-150.0 -94.0  23.9557717777
-150.0 -93.0 -0.871830604167
-150.0 -92.0 -18.2701346401
-150.0 -91.0 -26.5833490732
-150.0 -90.0 -24.960803478
-150.0 -89.0 -13.4469541448
-150.0 -88.0  7.00965882032
-150.0 -87.0  34.6302333598
-150.0 -86.0  66.9560341482
-150.0 -85.0  101.06153234
-150.0 -84.0  133.810560936
-150.0 -83.0  162.131526687
-150.0 -82.0  183.28590838
-150.0 -81.0  195.104991662
-150.0 -80.0  196.172965294
-150.0 -79.0  185.939808937
-150.0 -78.0  164.754300817
-150.0 -77.0  133.815269399
-150.0 -76.0  95.0471242751
-150.0 -75.0  50.9129387462
-150.0 -74.0  4.18420355301
-150.0 -73.0 -42.3097429339
-150.0 -72.0 -85.9280475434
-150.0 -71.0 -124.43678429
-150.0 -70.0 -156.179102411
-150.0 -69.0 -180.181918957
-150.0 -68.0 -196.190676055
-150.0 -67.0 -204.63111357
-150.0 -66.0 -206.504427377
-150.0 -65.0 -203.228840376
-150.0 -64.0 -196.445840598
-150.0 -63.0 -187.812622702
-150.0 -62.0 -178.803292171
-150.0 -61.0 -170.540074379
-150.0 -60.0 -163.672270433
-150.0 -59.0 -158.315396124
-150.0 -58.0 -154.056387862
-150.0 -57.0 -150.023641439
-150.0 -56.0 -145.013700369
-150.0 -55.0 -137.660343497
-150.0 -54.0 -126.627256469
-150.0 -53.0 -110.802873331
-150.0 -52.0 -89.4756066213
-150.0 -51.0 -62.4695837402
-150.0 -50.0 -30.2249816773
-150.0 -49.0  6.18730061269
-150.0 -48.0  45.1201430552
-150.0 -47.0  84.4702183023
-150.0 -46.0  121.852990226
-150.0 -45.0  154.816298406
-150.0 -44.0  181.071854023
-150.0 -43.0  198.72173013
-150.0 -42.0  206.456958602
-150.0 -41.0  203.707661048
-150.0 -40.0  190.728529546
-150.0 -39.0  168.60951799
-150.0 -38.0  139.208724106
-150.0 -37.0  105.011945998
-150.0 -36.0  68.9305548943
-150.0 -35.0  34.055437293
-150.0 -34.0  3.38922347851
-150.0 -33.0 -20.4186089758
-150.0 -32.0 -35.3091321494
-150.0 -31.0 -40.0015589907
-150.0 -30.0 -34.113186752
-150.0 -29.0 -18.200043955
-150.0 -28.0  6.28606994222
-150.0 -27.0  37.1206777796
-150.0 -26.0  71.498886588
-150.0 -25.0  106.279376339
-150.0 -24.0  138.257830493
-150.0 -23.0  164.444781233
-150.0 -22.0  182.322467698
-150.0 -21.0  190.05733792
-150.0 -20.0  186.649072408
-150.0 -19.0  172.00306372
-150.0 -18.0  146.920570841
-150.0 -17.0  113.00857898
-150.0 -16.0  72.5189814174
-150.0 -15.0  28.1333275383
-150.0 -14.0 -17.2855906792
-150.0 -13.0 -60.9510994033
-150.0 -12.0 -100.394164682
-150.0 -11.0 -133.666140191
-150.0 -10.0 -159.483896112
-150.0 -9.0 -177.304408328
-150.0 -8.0 -187.32305861
-150.0 -7.0 -190.397603618
-150.0 -6.0 -187.907246273
-150.0 -5.0 -181.562740276
-150.0 -4.0 -173.18832459
-150.0 -3.0 -164.499026766
-150.0 -2.0 -156.897209609
-150.0 -1.0 -151.31012241
