 h  k      q   F_exp F_model
 1 -1  0.111   60.80  -60.92
 1  0  0.108  100.00  -99.34
 1  1  0.123   26.90   27.41
 1  3  0.184    7.60    5.09
 2 -2  0.222   15.10  -15.28
 2 -1  0.215   71.20  -71.42
 2  0  0.217   39.70  -40.51
 2  1  0.228   33.90   30.58
 2  2  0.246   22.70  -22.19
 2  3  0.271   14.20   14.71
 2  4  0.301    7.80   -9.41
 3 -2  0.325   29.30   29.44
 3 -1  0.322   44.20   44.57
 3  0  0.325   12.00    1.04
 3  2  0.350   10.50   13.67
 3  3  0.370   14.90  -12.87
 3  4  0.394   10.00   10.27
