x z ED
-150.0 -100.0  184.44146759
-150.0 -99.0  169.459730105
-150.0 -98.0  146.716023381
-150.0 -97.0  118.164097822
-150.0 -96.0  86.2936417993
-150.0 -95.0  53.9234709948
-150.0 -94.0  23.9565753186
-150.0 -93.0 -0.880134690624
-150.0 -92.0 -18.2865569391
-150.0 -91.0 -26.6062654684
-150.0 -90.0 -24.9881153579
-150.0 -89.0 -13.4762909976
-150.0 -88.0  6.9807155105
-150.0 -87.0  34.6039278108
-150.0 -86.0  66.9342378116
-150.0 -85.0  101.045588502
-150.0 -84.0  133.801186647
-150.0 -83.0  162.12877988
-150.0 -82.0  183.289221008
-150.0 -81.0  195.113262712
-150.0 -80.0  196.184701473
-150.0 -79.0  185.953296254
-150.0 -78.0  164.767787689
-150.0 -77.0  133.82714152
-150.0 -76.0  95.0560533003
-150.0 -75.0  50.9179905337
-150.0 -74.0  4.18489689536
-150.0 -73.0 -42.3134302037
-150.0 -72.0 -85.9357220924
-150.0 -71.0 -124.447722006
-150.0 -70.0 -156.192361553
-150.0 -69.0 -180.196466371
-150.0 -68.0 -196.205510391
-150.0 -67.0 -204.645370697
-150.0 -66.0 -206.517456186
-150.0 -65.0 -203.240241471
-150.0 -64.0 -196.455465504
-150.0 -63.0 -187.820536427
-150.0 -62.0 -178.809706704
-150.0 -61.0 -170.545264328
-150.0 -60.0 -163.676484147
-150.0 -59.0 -158.318775996
-150.0 -58.0 -154.058912073
-150.0 -57.0 -150.025096386
-150.0 -56.0 -145.013688793
-150.0 -55.0 -137.658328389
-150.0 -54.0 -126.622635893
-150.0 -53.0 -110.795076877
-150.0 -52.0 -89.4642009288
-150.0 -51.0 -62.4543727986
-150.0 -50.0 -30.2060876605
-150.0 -49.0  6.20938836777
-150.0 -48.0  45.1445598477
-150.0 -47.0  84.4957608809
-150.0 -46.0  121.878197502
-150.0 -45.0  154.839569551
-150.0 -44.0  181.091592652
-150.0 -43.0  198.736499675
-150.0 -42.0  206.465632006
-150.0 -41.0  203.709547886
-150.0 -40.0  190.723465551
-150.0 -39.0  168.59790566
-150.0 -38.0  139.191518099
-150.0 -37.0  104.990582919
-150.0 -36.0  68.9068331337
-150.0 -35.0  34.0313581028
-150.0 -34.0  3.36680889463
-150.0 -33.0 -20.4375030275
-150.0 -32.0 -35.322988454
-150.0 -31.0 -40.0093395561
-150.0 -30.0 -34.1144267109
-150.0 -29.0 -18.1948892003
-150.0 -28.0  6.29688510278
-150.0 -27.0  37.1359103173
-150.0 -26.0  71.5169131073
-150.0 -25.0  106.298356312
-150.0 -24.0  138.275887034
-150.0 -23.0  164.460180425
-150.0 -22.0  182.333777946
-150.0 -21.0  190.063553275
-150.0 -20.0  186.649688041
-150.0 -19.0  171.998097185
-150.0 -18.0  146.910528876
-150.0 -17.0  112.994375609
-150.0 -16.0  72.5018183627
-150.0 -15.0  28.114551905
-150.0 -14.0 -17.3046343998
-150.0 -13.0 -60.9692058257
-150.0 -12.0 -100.410377224
-150.0 -11.0 -133.679822342
-150.0 -10.0 -159.49475759
-150.0 -9.0 -177.312485155
-150.0 -8.0 -187.328651825
-150.0 -7.0 -190.401186456
-150.0 -6.0 -187.909353435
-150.0 -5.0 -181.563855039
-150.0 -4.0 -173.188779646
-150.0 -3.0 -164.498932831
-150.0 -2.0 -156.896422225
-150.0 -1.0 -151.3082524
-150.0  0.0 -148.082327166
-150.0  1.0 -146.95308577
-150.0  2.0 -147.080635449
-150.0  3.0 -147.159430905
-150.0  4.0 -145.58508903
-150.0  5.0 -140.661584628
-150.0  6.0 -130.826514014
-150.0  7.0 -114.86982797
-150.0  8.0 -92.1216872485
-150.0  9.0 -62.5878904084
-150.0  10.0 -27.0164132752
-150.0  11.0  13.1145079048
-150.0  12.0  55.6883023809
-150.0  13.0  98.1152202347
-150.0  14.0  137.556137383
-150.0  15.0  171.183970561
-150.0  16.0  196.457226289
-150.0  17.0  211.378282843
-150.0  18.0  214.70982995
-150.0  19.0  206.126430701
-150.0  20.0  186.284110953
-150.0  21.0  156.798661828
-150.0  22.0  120.132204846
-150.0  23.0  79.3966398849
-150.0  24.0  38.0909640284
-150.0  25.0 -0.203736695929
-150.0  26.0 -32.1432653486
-150.0  27.0 -54.9230937044
-150.0  28.0 -66.5359234405
-150.0  29.0 -65.9590348399
-150.0  30.0 -53.2529608448
-150.0  31.0 -29.5614342294
-150.0  32.0  2.98797883558
-150.0  33.0  41.4735599599
-150.0  34.0  82.4416843825
-150.0  35.0  122.216841411
-150.0  36.0  157.230020161
-150.0  37.0  184.33432214
-150.0  38.0  201.07800303
-150.0  39.0  205.9094274
-150.0  40.0  198.295215463
-150.0  41.0  178.741488233
-150.0  42.0  148.717708373
-150.0  43.0  110.492201385
-150.0  44.0  66.8970589482
-150.0  45.0  21.0469049135
-150.0  46.0 -23.9597352632
-150.0  47.0 -65.326401375
-150.0  48.0 -100.803683532
-150.0  49.0 -128.869518309
-150.0  50.0 -148.828081461
-150.0  51.0 -160.819206207
-150.0  52.0 -165.739651138
-150.0  53.0 -165.086714056
-150.0  54.0 -160.742688198
-150.0  55.0 -154.724660268
-150.0  56.0 -148.927539147
-150.0  57.0 -144.888637111
-150.0  58.0 -143.599566876
-150.0  59.0 -145.385944723
-150.0  60.0 -149.867961884
-150.0  61.0 -156.006086933
-150.0  62.0 -162.226917421
-150.0  63.0 -166.61548151
-150.0  64.0 -167.153016761
-150.0  65.0 -161.974189697
-150.0  66.0 -149.615401767
-150.0  67.0 -129.226504527
-150.0  68.0 -100.721856421
-150.0  69.0 -64.8528275113
-150.0  70.0 -23.1919612402
-150.0  71.0  21.9718029327
-150.0  72.0  67.8181068653
-150.0  73.0  111.243103657
-150.0  74.0  149.146295292
-150.0  75.0  178.727855059
-150.0  76.0  197.766513751
-150.0  77.0  204.849636048
-150.0  78.0  199.531559828
-150.0  79.0  182.403173464
-150.0  80.0  155.064370842
-150.0  81.0  120.000577953
-150.0  82.0  80.3740259463
-150.0  83.0  39.7488992298
-150.0  84.0  1.77606518839
-150.0  85.0 -30.132863125
-150.0  86.0 -53.1112684742
-150.0  87.0 -65.0941380573
-150.0  88.0 -65.0013640038
-150.0  89.0 -52.8306739206
-150.0  90.0 -29.651877952
-150.0  91.0  2.4963733542
-150.0  92.0  40.796803453
-150.0  93.0  81.9119607252
-150.0  94.0  122.285855715
-150.0  95.0  158.45992782
-150.0  96.0  187.373533471
-150.0  97.0  206.621112312
-150.0  98.0  214.642837428
-150.0  99.0  210.832395608
-150.0  100.0  195.553867927
-148.5 -100.0  190.863383429
-148.5 -99.0  177.379914667
-148.5 -98.0  155.578388565
-148.5 -97.0  127.336914574
-148.5 -96.0  95.1149476812
-148.5 -95.0  61.7497128019
-148.5 -94.0  30.2108165192
-148.5 -93.0  3.33585120099
-148.5 -92.0 -16.4279441373
-148.5 -91.0 -27.2511217948
-148.5 -90.0 -28.0964119585
-148.5 -89.0 -18.8228199216
-148.5 -88.0 -0.208844751665
-148.5 -87.0  26.1080423247
-148.5 -86.0  57.7704826266
-148.5 -85.0  91.9061489417
-148.5 -84.0  125.379454666
-148.5 -83.0  155.066554885
-148.5 -82.0  178.127984446
-148.5 -81.0  192.253624857
-148.5 -80.0  195.857497487
-148.5 -79.0  188.20485554
-148.5 -78.0  169.46068785
-148.5 -77.0  140.65638734
-148.5 -76.0  103.579214909
-148.5 -75.0  60.5965265728
-148.5 -74.0  14.4328091625
-148.5 -73.0 -32.0781996249
-148.5 -72.0 -76.2420456426
-148.5 -71.0 -115.728916819
-148.5 -70.0 -148.754771223
-148.5 -69.0 -174.201996833
-148.5 -68.0 -191.669718356
-148.5 -67.0 -201.451103641
-148.5 -66.0 -204.442409156
-148.5 -65.0 -201.995299139
-148.5 -64.0 -195.729501107
-148.5 -63.0 -187.326579753
-148.5 -62.0 -178.327166249
-148.5 -61.0 -169.953235287
-148.5 -60.0 -162.974074287
-148.5 -59.0 -157.629755017
-148.5 -58.0 -153.619701674
-148.5 -57.0 -150.156990972
-148.5 -56.0 -146.082030127
-148.5 -55.0 -140.022948357
-148.5 -54.0 -130.585046502
-148.5 -53.0 -116.548483054
-148.5 -52.0 -97.0523544267
-148.5 -51.0 -71.7445586579
-148.5 -50.0 -40.8801949218
-148.5 -49.0 -5.35641336654
-148.5 -48.0  33.3219225888
-148.5 -47.0  73.1443087944
-148.5 -46.0  111.755930226
-148.5 -45.0  146.663516381
-148.5 -44.0  175.466138302
-148.5 -43.0  196.088409352
-148.5 -42.0  206.99280744
-148.5 -41.0  207.349397062
-148.5 -40.0  197.144964712
-148.5 -39.0  177.219146098
-148.5 -38.0  149.221991423
-148.5 -37.0  115.494927772
-148.5 -36.0  78.8845091617
-148.5 -35.0  42.5049709367
-148.5 -34.0  9.47077426798
-148.5 -33.0 -17.376477127
-148.5 -32.0 -35.7214708252
-148.5 -31.0 -43.985207568
-148.5 -30.0 -41.471649367
-148.5 -29.0 -28.436773283
-148.5 -28.0 -6.07295640476
-148.5 -27.0  23.5905067623
-148.5 -26.0  57.8620985901
-148.5 -25.0  93.6222485464
-148.5 -24.0  127.595622735
-148.5 -23.0  156.636562025
-148.5 -22.0  178.001447817
-148.5 -21.0  189.583018754
-148.5 -20.0  190.085290316
-148.5 -19.0  179.12339995
-148.5 -18.0  157.239871232
-148.5 -17.0  125.836770313
-148.5 -16.0  87.0312437718
-148.5 -15.0  43.4491986125
-148.5 -14.0 -2.02229818556
-148.5 -13.0 -46.4995324104
-148.5 -12.0 -87.3578088276
-148.5 -11.0 -122.453660143
-148.5 -10.0 -150.292563064
-148.5 -9.0 -170.126774559
-148.5 -8.0 -181.97506267
-148.5 -7.0 -186.564065141
-148.5 -6.0 -185.198967593
-148.5 -5.0 -179.578348813
-148.5 -4.0 -171.573668213
-148.5 -3.0 -162.997394071
-148.5 -2.0 -155.384824713
-148.5 -1.0 -149.813120403
-148.5  0.0 -146.777086104
-148.5  1.0 -146.135219386
-148.5  2.0 -147.132071016
-148.5  3.0 -148.494818548
-148.5  4.0 -148.593962624
-148.5  5.0 -145.651051033
-148.5  6.0 -137.971053404
-148.5  7.0 -124.174016998
-148.5  8.0 -103.40026941
-148.5  9.0 -75.4657682859
-148.5  10.0 -40.9490253744
-148.5  11.0 -1.19788661426
-148.5  12.0  41.7473489467
-148.5  13.0  85.3092694057
-148.5  14.0  126.59360301
-148.5  15.0  162.653734603
