 h  k      q   F_exp F_model
 1 -1  0.111   85.45  -54.35
 1  0  0.109  100.00 -100.03
 1  1  0.122   44.36   47.64
 1  3  0.182   10.04   21.30
 2 -2  0.224   19.55  -22.94
 2 -1  0.217   80.40  -88.10
 2  0  0.218   30.88  -30.23
 2  1  0.228   42.97   31.20
 2  2  0.246   27.14  -27.72
 2  3  0.270   15.82   21.42
 2  4  0.298    9.57  -14.13
 2  5  0.329    6.54    7.57
 3 -2  0.326   36.43   44.41
 3 -1  0.324   50.71   50.30
 3  0  0.326   14.48  -10.22
 3  1  0.335    8.02   -4.78
 3  2  0.350   11.36   14.03
 3  3  0.368   14.96  -18.58
 3  4  0.392   14.07   18.72
 3  5  0.418    8.95  -15.46
