 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -55.11
 1  0  0.109  100.00 -100.17
 1  1  0.122   44.37   47.53
 1  3  0.182   10.04   20.76
 2 -2  0.224   19.55  -22.89
 2 -1  0.217   80.42  -86.72
 2  0  0.218   30.88  -30.28
 2  1  0.228   42.99   32.42
 2  2  0.246   27.15  -29.77
 2  3  0.270   15.83   23.86
 2  4  0.298    9.57  -16.44
 2  5  0.329    6.54    9.28
 3 -2  0.326   36.45   35.00
 3 -1  0.324   50.72   39.36
 3  0  0.326   14.48   -8.23
 3  1  0.335    8.02   -3.97
 3  2  0.350   11.36   11.92
 3  3  0.368   14.96  -16.26
 3  4  0.392   14.07   16.98
 3  5  0.418    8.96  -14.65
