 h  k     qx     qz      q    I_exp  I_model  sigma   chi^2
 1 -1 -0.043  0.102  0.111    11519    28471    75     51090
 1  0  0.000  0.109  0.109  5096159  5093465   847        10
 1  1  0.043  0.115  0.122     9929     8607    39      1149
 1  3  0.130  0.127  0.182      734      163     5     13031
 2 -2 -0.087  0.205  0.224     2051     1490    15      1400
 2 -1 -0.043  0.211  0.217    62373    51943    86     14708
 2  0  0.000  0.217  0.218   232679   242857   170      3584
 2  1  0.043  0.224  0.228     8285    15718    47     25014
 2  2  0.087  0.230  0.246     3362     3222    21        45
 2  3  0.130  0.236  0.270     1375      750    10      3901
 2  4  0.173  0.242  0.298      460      211     5      2483
 2  5  0.217  0.249  0.329      108       81     3        83
 3 -2 -0.087  0.314  0.326    11770     7922    32     14460
 3 -1 -0.043  0.320  0.324    30795    31299    64        62
 3  0  0.000  0.326  0.326    17739    35591    64     77809
 3  1  0.043  0.332  0.335      289      813    10      2751
 3  2  0.087  0.339  0.350     1268      831    10      1911
 3  3  0.130  0.345  0.368     1510      979    11      2328
 3  4  0.173  0.351  0.392     1170      661     9      3202
 3  5  0.217  0.357  0.418      650      218     5      7467

Total chi^2 =  226487
