x z dist ED
 49.7 -44.5 -50.0 -23.8429488199
 49.8 -44.4 -49.9 -22.3595237934
 49.8 -44.3 -49.8 -21.0745832034
 49.9 -44.2 -49.7 -19.983133149
 49.9 -44.2 -49.6 -19.0796615509
 50.0 -44.1 -49.5 -18.358173377
 50.0 -44.0 -49.4 -17.8122271339
 50.0 -43.9 -49.3 -17.4349724185
 50.1 -43.8 -49.2 -17.2191883257
 50.1 -43.7 -49.1 -17.1573225023
 50.2 -43.6 -49.0 -17.2415306408
 50.2 -43.5 -48.9 -17.4637162063
 50.3 -43.4 -48.8 -17.8155701913
 50.3 -43.4 -48.7 -18.2886106999
 50.4 -43.3 -48.6 -18.8742221629
 50.4 -43.2 -48.5 -19.5636939951
 50.5 -43.1 -48.4 -20.3482585101
 50.5 -43.0 -48.3 -21.2191279163
 50.5 -42.9 -48.2 -22.1675302269
 50.6 -42.8 -48.1 -23.1847439244
 50.6 -42.7 -48.0 -24.2621312321
 50.7 -42.6 -47.9 -25.3911698558
 50.7 -42.6 -47.8 -26.5634830669
 50.8 -42.5 -47.7 -27.7708680168
 50.8 -42.4 -47.6 -29.0053221776
 50.9 -42.3 -47.5 -30.2590678234
 50.9 -42.2 -47.4 -31.5245744741
 51.0 -42.1 -47.3 -32.7945792434
 51.0 -42.0 -47.2 -34.062105039
 51.0 -41.9 -47.1 -35.3204765837
 51.1 -41.8 -47.0 -36.5633342346
 51.1 -41.8 -46.9 -37.7846455943
 51.2 -41.7 -46.8 -38.9787149195
 51.2 -41.6 -46.7 -40.1401903464
 51.3 -41.5 -46.6 -41.2640689652
 51.3 -41.4 -46.5 -42.3456997875
 51.4 -41.3 -46.4 -43.3807846631
 51.4 -41.2 -46.3 -44.3653772128
 51.5 -41.1 -46.2 -45.2958798561
 51.5 -41.0 -46.1 -46.1690390213
 51.5 -40.9 -46.0 -46.981938634
 51.6 -40.9 -45.9 -47.7319919913
 51.6 -40.8 -45.8 -48.4169321324
 51.7 -40.7 -45.7 -49.0348008277
 51.7 -40.6 -45.6 -49.5839363089
 51.8 -40.5 -45.5 -50.062959872
 51.8 -40.4 -45.4 -50.4707614874
 51.9 -40.3 -45.3 -50.806484552
 51.9 -40.2 -45.2 -51.0695099244
 52.0 -40.1 -45.1 -51.2594393808
 52.0 -40.1 -45.0 -51.3760786332
 52.0 -40.0 -44.9 -51.4194200464
 52.1 -39.9 -44.8 -51.3896251932
 52.1 -39.8 -44.7 -51.2870073797
 52.2 -39.7 -44.6 -51.1120142718
 52.2 -39.6 -44.5 -50.8652107494
 52.3 -39.5 -44.4 -50.5472621081
 52.3 -39.4 -44.3 -50.1589177231
 52.4 -39.3 -44.2 -49.7009952835
 52.4 -39.3 -44.1 -49.1743656982
 52.5 -39.2 -44.0 -48.5799387642
 52.5 -39.1 -43.9 -47.9186496836
 52.5 -39.0 -43.8 -47.191446504
 52.6 -38.9 -43.7 -46.3992785481
 52.6 -38.8 -43.6 -45.5430858903
 52.7 -38.7 -43.5 -44.6237899262
 52.7 -38.6 -43.4 -43.6422850735
 52.8 -38.5 -43.3 -42.5994316308
