x z ED
-150.0 -100.0  232.222499299
-150.0 -99.0  236.536586885
-150.0 -98.0  222.665835572
-150.0 -97.0  184.282221094
-150.0 -96.0  124.866221742
-150.0 -95.0  58.9047875224
-150.0 -94.0  4.53741716891
-150.0 -93.0 -27.2717769026
-150.0 -92.0 -38.6487269
-150.0 -91.0 -40.9816483392
-150.0 -90.0 -44.2594402071
-150.0 -89.0 -48.0966485974
-150.0 -88.0 -41.7435525567
-150.0 -87.0 -13.1907449145
-150.0 -86.0  39.8705948597
-150.0 -85.0  105.992760116
-150.0 -84.0  166.054227257
-150.0 -83.0  204.687076055
-150.0 -82.0  218.255175331
-150.0 -81.0  213.741966321
-150.0 -80.0  200.41913508
-150.0 -79.0  181.75657096
-150.0 -78.0  154.204766437
-150.0 -77.0  113.206785784
-150.0 -76.0  60.5541367222
-150.0 -75.0  6.25155972867
-150.0 -74.0 -36.9794422351
-150.0 -73.0 -61.9770771782
-150.0 -72.0 -71.2638725973
-150.0 -71.0 -73.778329763
-150.0 -70.0 -77.3891606169
-150.0 -69.0 -83.8692022408
-150.0 -68.0 -90.5414216467
-150.0 -67.0 -96.5721912029
-150.0 -66.0 -107.420393089
-150.0 -65.0 -132.326624104
-150.0 -64.0 -175.948058449
-150.0 -63.0 -230.994069517
-150.0 -62.0 -278.862838629
-150.0 -61.0 -299.318095445
-150.0 -60.0 -282.886881258
-150.0 -59.0 -236.982763971
-150.0 -58.0 -181.142443193
-150.0 -57.0 -134.840173783
-150.0 -56.0 -106.717868342
-150.0 -55.0 -92.5409610697
-150.0 -54.0 -82.1565381028
-150.0 -53.0 -68.9503578647
-150.0 -52.0 -54.1165001668
-150.0 -51.0 -43.0687966907
-150.0 -50.0 -38.0840736473
-150.0 -49.0 -34.1236368451
-150.0 -48.0 -21.5970176887
-150.0 -47.0  6.38385485041
-150.0 -46.0  48.5428397203
-150.0 -45.0  96.3278385353
-150.0 -44.0  140.114116731
-150.0 -43.0  175.184338673
-150.0 -42.0  202.418451855
-150.0 -41.0  223.557264509
-150.0 -40.0  235.889325266
-150.0 -39.0  231.821170937
-150.0 -38.0  204.429471718
-150.0 -37.0  154.533576425
-150.0 -36.0  92.9703199545
-150.0 -35.0  35.3907441085
-150.0 -34.0 -6.89461192483
-150.0 -33.0 -32.9445188179
-150.0 -32.0 -50.2367678924
-150.0 -31.0 -66.218629792
-150.0 -30.0 -80.1489633629
-150.0 -29.0 -81.9407570352
-150.0 -28.0 -59.236262125
-150.0 -27.0 -7.44863159476
-150.0 -26.0  64.8479214716
-150.0 -25.0  139.221180465
-150.0 -24.0  196.873675656
-150.0 -23.0  227.497024743
-150.0 -22.0  231.752535143
-150.0 -21.0  216.908650609
-150.0 -20.0  190.165264233
-150.0 -19.0  155.054307901
-150.0 -18.0  112.803373684
-150.0 -17.0  66.0277808938
-150.0 -16.0  20.4640702949
-150.0 -15.0 -17.1868205209
-150.0 -14.0 -43.2782421428
-150.0 -13.0 -59.1856197503
-150.0 -12.0 -69.1895299531
-150.0 -11.0 -76.1345008151
-150.0 -10.0 -79.037881748
-150.0 -9.0 -75.3116392204
-150.0 -8.0 -66.0573736433
-150.0 -7.0 -59.6188074582
-150.0 -6.0 -69.2557317653
-150.0 -5.0 -105.234220997
-150.0 -4.0 -166.400406555
-150.0 -3.0 -237.520763811
-150.0 -2.0 -295.121008482
-150.0 -1.0 -318.753640597
-150.0  0.0 -300.866204531
-150.0  1.0 -249.461891553
-150.0  2.0 -182.652598355
-150.0  3.0 -119.300362028
-150.0  4.0 -71.6482732722
-150.0  5.0 -43.3748248228
-150.0  6.0 -32.2235137624
-150.0  7.0 -33.65894519
-150.0  8.0 -42.598593436
-150.0  9.0 -53.0576150099
-150.0  10.0 -57.8022849309
-150.0  11.0 -49.9089612433
-150.0  12.0 -25.8842147516
-150.0  13.0  12.054286067
-150.0  14.0  56.8037299872
-150.0  15.0  100.236555779
-150.0  16.0  137.450247806
-150.0  17.0  168.218683785
-150.0  18.0  194.547022952
-150.0  19.0  216.346742103
-150.0  20.0  228.865190374
-150.0  21.0  224.254832864
-150.0  22.0  196.469362707
-150.0  23.0  146.019540306
-150.0  24.0  81.0973483414
-150.0  25.0  14.2107625572
-150.0  26.0 -43.2802291025
-150.0  27.0 -84.9693136404
-150.0  28.0 -109.306354354
-150.0  29.0 -116.487934035
-150.0  30.0 -105.499070582
-150.0  31.0 -74.1171663499
-150.0  32.0 -22.0438593037
-150.0  33.0  45.4743501321
-150.0  34.0  116.889960354
-150.0  35.0  177.831680359
-150.0  36.0  217.002336741
-150.0  37.0  230.747694066
-150.0  38.0  223.35037912
-150.0  39.0  203.058227464
-150.0  40.0  176.754988004
-150.0  41.0  146.896177988
-150.0  42.0  112.424016039
-150.0  43.0  72.375286528
-150.0  44.0  29.0809491524
-150.0  45.0 -11.5147262764
-150.0  46.0 -42.4882485744
-150.0  47.0 -59.4100117982
-150.0  48.0 -62.2312689891
-150.0  49.0 -54.7586912929
-150.0  50.0 -42.8645005404
-150.0  51.0 -33.1880307962
-150.0  52.0 -32.8912967648
-150.0  53.0 -49.2907866254
-150.0  54.0 -87.7376346019
-150.0  55.0 -147.693812147
-150.0  56.0 -219.373216629
-150.0  57.0 -284.334199141
-150.0  58.0 -321.613341583
-150.0  59.0 -317.212814585
-150.0  60.0 -271.706421487
-150.0  61.0 -200.986828181
-150.0  62.0 -129.043316124
-150.0  63.0 -76.6765475508
-150.0  64.0 -52.686373154
-150.0  65.0 -52.3528286457
-150.0  66.0 -63.1537830482
-150.0  67.0 -73.1273660973
-150.0  68.0 -76.2758050443
-150.0  69.0 -72.3782134113
-150.0  70.0 -62.9982430925
-150.0  71.0 -47.8865728855
-150.0  72.0 -24.7632713579
-150.0  73.0  7.98568090482
-150.0  74.0  48.7428555303
-150.0  75.0  92.8327097455
-150.0  76.0  135.19049155
-150.0  77.0  172.761013877
-150.0  78.0  204.08064642
-150.0  79.0  226.348001198
-150.0  80.0  233.165243095
-150.0  81.0  216.201508452
-150.0  82.0  170.836490489
-150.0  83.0  101.923314969
-150.0  84.0  24.6704640334
-150.0  85.0 -41.2897375106
-150.0  86.0 -81.4081429751
-150.0  87.0 -92.9154296809
-150.0  88.0 -83.980198642
-150.0  89.0 -66.0617495666
-150.0  90.0 -45.2755971441
-150.0  91.0 -19.238122286
-150.0  92.0  18.5320237891
-150.0  93.0  70.5542215972
-150.0  94.0  130.364061531
-150.0  95.0  184.634685024
-150.0  96.0  220.730152438
-150.0  97.0  233.701435043
-150.0  98.0  227.434404265
-150.0  99.0  209.624231931
-150.0  100.0  185.257300867
-148.5 -100.0  229.982136226
-148.5 -99.0  239.315492491
-148.5 -98.0  232.232627712
-148.5 -97.0  200.618315717
-148.5 -96.0  144.975505821
-148.5 -95.0  77.7109466612
-148.5 -94.0  17.513144911
-148.5 -93.0 -21.6192136577
-148.5 -92.0 -38.3712511
-148.5 -91.0 -42.752724009
-148.5 -90.0 -46.3381051126
-148.5 -89.0 -51.8503892229
-148.5 -88.0 -50.4683800589
-148.5 -87.0 -29.0873476605
-148.5 -86.0  18.2214452909
-148.5 -85.0  83.6506843054
-148.5 -84.0  149.129984512
-148.5 -83.0  197.000741823
-148.5 -82.0  219.599508682
-148.5 -81.0  220.808120619
-148.5 -80.0  209.426010894
-148.5 -79.0  190.692745751
-148.5 -78.0  163.158997098
-148.5 -77.0  122.946884961
-148.5 -76.0  70.877119369
-148.5 -75.0  15.5957713718
-148.5 -74.0 -30.4450743686
-148.5 -73.0 -58.9068282764
-148.5 -72.0 -70.6856585435
-148.5 -71.0 -73.9832263578
-148.5 -70.0 -77.213980954
-148.5 -69.0 -83.0618229771
-148.5 -68.0 -88.8180574578
-148.5 -67.0 -92.3591375649
-148.5 -66.0 -97.8238253571
-148.5 -65.0 -114.970312114
-148.5 -64.0 -151.614243523
-148.5 -63.0 -204.939198481
-148.5 -62.0 -259.285946358
-148.5 -61.0 -293.435862763
-148.5 -60.0 -292.947907542
-148.5 -59.0 -258.839755275
-148.5 -58.0 -206.382609374
-148.5 -57.0 -155.107824971
-148.5 -56.0 -117.489455759
-148.5 -55.0 -94.2029825829
-148.5 -54.0 -78.2568430385
-148.5 -53.0 -63.3649437611
-148.5 -52.0 -49.2403385422
-148.5 -51.0 -39.9052460124
-148.5 -50.0 -37.4277161566
-148.5 -49.0 -37.3003430662
-148.5 -48.0 -29.9303224199
-148.5 -47.0 -7.17310245961
-148.5 -46.0  31.597479719
-148.5 -45.0  78.9593217836
-148.5 -44.0  124.739182349
-148.5 -43.0  162.507171026
-148.5 -42.0  191.83792006
-148.5 -41.0  214.831719213
-148.5 -40.0  230.550785285
-148.5 -39.0  232.897922879
-148.5 -38.0  214.396830971
-148.5 -37.0  172.972471045
-148.5 -36.0  115.845815648
-148.5 -35.0  56.730475076
-148.5 -34.0  8.01710300526
-148.5 -33.0 -26.0492054937
-148.5 -32.0 -49.7579795786
-148.5 -31.0 -69.5642199289
-148.5 -30.0 -86.1648963963
-148.5 -29.0 -91.6277042018
-148.5 -28.0 -74.2561371726
-148.5 -27.0 -27.7463278894
-148.5 -26.0  42.2631170191
-148.5 -25.0  119.237323061
-148.5 -24.0  183.707230642
-148.5 -23.0  222.533725012
-148.5 -22.0  233.379723219
-148.5 -21.0  222.317793567
-148.5 -20.0  197.581607179
-148.5 -19.0  164.629994405
-148.5 -18.0  125.614593423
-148.5 -17.0  82.2053177605
-148.5 -16.0  38.1450983002
-148.5 -15.0 -1.16813154483
-148.5 -14.0 -31.5396378552
-148.5 -13.0 -52.3048472629
-148.5 -12.0 -65.7114692984
-148.5 -11.0 -73.8957917137
-148.5 -10.0 -76.5388510801
-148.5 -9.0 -71.9549471321
-148.5 -8.0 -61.2388988335
-148.5 -7.0 -51.8374391463
-148.5 -6.0 -56.5059914171
-148.5 -5.0 -86.7944075541
-148.5 -4.0 -144.683559803
-148.5 -3.0 -218.208246482
-148.5 -2.0 -284.872785188
-148.5 -1.0 -321.642136257
-148.5  0.0 -315.852458852
-148.5  1.0 -270.721281905
-148.5  2.0 -202.657565085
-148.5  3.0 -132.678538257
-148.5  4.0 -77.372304208
-148.5  5.0 -44.1264434966
-148.5  6.0 -31.7943598679
-148.5  7.0 -34.4701680616
-148.5  8.0 -44.9957943169
-148.5  9.0 -56.4385487399
-148.5  10.0 -62.2089286279
-148.5  11.0 -56.5665101051
-148.5  12.0 -36.2877297842
-148.5  13.0 -2.43549285729
-148.5  14.0  39.630584742
-148.5  15.0  82.7503183924
-148.5  16.0  121.583087574
-148.5  17.0  154.723452154
-148.5  18.0  183.567755586
-148.5  19.0  208.675935062
-148.5  20.0  226.521469037
-148.5  21.0  229.522084228
-148.5  22.0  209.921360252
-148.5  23.0  165.130542627
-148.5  24.0  100.815562153
-148.5  25.0  29.4176777677
-148.5  26.0 -35.0528688726
-148.5  27.0 -82.5502294758
-148.5  28.0 -109.397135721
-148.5  29.0 -116.565627728
-148.5  30.0 -105.914478674
-148.5  31.0 -77.7907512868
-148.5  32.0 -31.9952736111
-148.5  33.0  28.8777731837
-148.5  34.0  96.8910365198
-148.5  35.0  159.762045804
-148.5  36.0  205.449477455
-148.5  37.0  227.453899338
-148.5  38.0  227.167220844
-148.5  39.0  211.625579918
-148.5  40.0  188.343578739
-148.5  41.0  160.981442101
-148.5  42.0  128.823083722
-148.5  43.0  90.0409681003
-148.5  44.0  45.8435499176
-148.5  45.0  2.06468309796
-148.5  46.0 -33.1013657332
-148.5  47.0 -53.4775372156
