 h  k      q   F_exp F_model
 1 -1  0.111   60.80  -80.49
 1  0  0.109  100.00 -104.21
 1  1  0.122   26.90   23.41
 1  2  0.000    0.00   -5.14
 1  3  0.182    7.60    1.22
 2 -2  0.224   15.10  -18.81
 2 -1  0.217   71.20  -65.70
 2  0  0.218   39.70  -37.15
 2  1  0.228   33.90   33.95
 2  2  0.246   22.70  -24.55
 2  3  0.270   14.20   14.36
 2  4  0.298    7.80   -8.18
 2  5  0.329    5.63    6.76
 2  6  0.363    4.11   -6.86
 3 -2  0.326   29.30   35.24
 3 -1  0.324   44.20   42.45
 3  0  0.326   12.00   -1.60
 3  1  0.000    0.00  -11.21
 3  2  0.350   10.50   14.76
 3  3  0.368   14.90  -12.56
 3  4  0.392   10.00    8.33
 3  5  0.418    9.55   -4.95
 3  6  0.446    5.56    3.19
 4 -3  0.437   23.02  -18.20
 4 -2  0.432   42.81  -48.70
 4 -1  0.431   22.59  -20.43
 4  0  0.435   16.21   11.57
 4  1  0.443    7.20   -1.95
 4  2  0.456    9.87   -4.80
 4  3  0.000    0.00    7.19
 4  4  0.493    3.02   -6.21
 4  5  0.514    4.14    3.96
 4  6  0.539    2.51   -2.04
 5 -3  0.541   15.59  -15.69
 5 -2  0.539   16.31  -19.45
 5 -1  0.540    7.48    0.50
 5  0  0.544    6.53    5.23
 5  1  0.551    6.37   -5.69
 6 -4  0.652    5.91   -1.77
 6 -3  0.648    5.94   -4.27
 6 -2  0.646    3.83   -1.62
 6 -1  0.648    3.45    0.79
 6  0  0.653    3.42   -0.09
 6  1  0.660    3.87   -0.30
 6  2  0.000    0.00    0.36
 6  3  0.684    3.48   -0.18
 6  4  0.700    3.38   -0.12
 7 -4  0.757    9.97   -9.85
 7 -3  0.754    8.13  -10.80
 7 -2  0.754    4.23    0.16
 7 -1  0.756    3.58    2.26
 7  0  0.760    2.81   -2.06
 8  0  0.000    0.00   -0.86
 9 -5  0.975    6.10   -3.55
 9 -4  0.973    5.60   -3.89
 9 -3  0.000    0.00    0.03
 9 -2  0.973    3.02    0.81
 9 -1  0.000    0.00   -0.72
 9  0  0.981    2.19    0.17
