 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111      410     3697   321        75
 1  0  0.000  0.109  0.109    89744    10000    97        78
 1  1  0.043  0.115  0.122       39      724    89         4
 1  2  0.087  0.121  0.000        1        0    16         3
 1  3  0.130  0.127  0.182        0       58     3       352
 2 -2 -0.087  0.205  0.224       22      228    16        60
 2 -1 -0.043  0.211  0.217      562     5069    56       182
 2  0  0.000  0.217  0.218     5703     1576    27        53
 2  1  0.043  0.224  0.228      159     1149    21         0
 2  2  0.087  0.230  0.246       43      515    14        40
 2  3  0.130  0.236  0.270       10      202     2         9
 2  4  0.173  0.242  0.298        3       61     3         4
 2  5  0.217  0.249  0.329        1       32     8         3
 2  6  0.260  0.255  0.363        1       17     3       116
 3 -2 -0.087  0.314  0.326      120      858    42        82
 3 -1 -0.043  0.320  0.324      356     1954    36        18
 3  0  0.000  0.326  0.326        7      144    10       196
 3  1  0.043  0.332  0.000       26        0    50         6
 3  2  0.087  0.339  0.350       23      110     5       397
 3  3  0.130  0.345  0.368       11      222     5       159
 3  4  0.173  0.351  0.392        4      100     2       149
 3  5  0.217  0.357  0.418        1       91     2       920
 3  6  0.260  0.364  0.446        0       31     4        22
 4 -3 -0.130  0.416  0.437       28      530    30        44
 4 -2 -0.087  0.422  0.432      309     1832    46       137
 4 -1 -0.043  0.429  0.431      110      510    40         5
 4  0  0.000  0.435  0.435      277      263     3      1623
 4  1  0.043  0.441  0.443        1       52     8        34
 4  2  0.087  0.447  0.456        3       97     5       190
 4  3  0.130  0.454  0.000        5        0     4       145
 4  4  0.173  0.460  0.493        3        9     2       300
 4  5  0.217  0.466  0.514        1       17     2         1
 4  6  0.260  0.472  0.539        0        6     7         0
 5 -3 -0.130  0.525  0.541       27      243    19         0
 5 -2 -0.087  0.531  0.539       62      266     7       236
 5 -1 -0.043  0.537  0.540        0       56     3       345
 5  0  0.000  0.544  0.544       45       43     1       480
 5  1  0.043  0.550  0.551       11       41     2        13
 6 -4 -0.173  0.627  0.652        0       35     2       175
 6 -3 -0.130  0.633  0.648        2       35     2        73
 6 -2 -0.087  0.640  0.646        1       15     3        22
 6 -1 -0.043  0.646  0.648        0       12     2        26
 6  0  0.000  0.652  0.653        0       12     1       169
 6  1  0.043  0.658  0.660        0       15     1       184
 6  2  0.087  0.665  0.000        0        0     1         0
 6  3  0.130  0.671  0.684        0       12     1       405
 6  4  0.173  0.677  0.700        0       11     1       203
 7 -4 -0.173  0.736  0.757       11       99     3         1
 7 -3 -0.130  0.742  0.754       18       66     3       234
 7 -2 -0.087  0.748  0.754        0       18     9         4
 7 -1 -0.043  0.755  0.756        2       13     1        35
 7  0  0.000  0.761  0.760        5        8     0        83
 8  0  0.000  0.870  0.000        1        0     1         1
 9 -5 -0.217  0.947  0.975        1       37     7        12
 9 -4 -0.173  0.953  0.973        2       31     6         8
 9 -3 -0.130  0.960  0.000        0        0    11         0
 9 -2 -0.087  0.966  0.973        0        9     3        11
 9 -1 -0.043  0.972  0.000        0        0     3         0
 9  0  0.000  0.978  0.981        0        5     3         3

Total chi^2 =  8131
