x z ED
-150.0 -100.0  274.901962256
-150.0 -99.0  269.801619882
-150.0 -98.0  235.989194392
-150.0 -97.0  178.277983379
-150.0 -96.0  110.504679653
-150.0 -95.0  50.9028769304
-150.0 -94.0  12.9670305304
-150.0 -93.0 -2.15391040577
-150.0 -92.0 -5.78098162193
-150.0 -91.0 -13.3727087082
-150.0 -90.0 -33.0313615731
-150.0 -89.0 -58.8326868571
-150.0 -88.0 -73.8155949159
-150.0 -87.0 -60.7109594675
-150.0 -86.0 -13.1367003778
-150.0 -85.0  60.0571236993
-150.0 -84.0  139.529087945
-150.0 -83.0  205.296960561
-150.0 -82.0  244.9535995
-150.0 -81.0  255.813320338
-150.0 -80.0  241.600192956
-150.0 -79.0  207.899195222
-150.0 -78.0  160.196400819
-150.0 -77.0  104.877034279
-150.0 -76.0  50.4004688602
-150.0 -75.0  5.81959503363
-150.0 -74.0 -23.2759883792
-150.0 -73.0 -38.2471014941
-150.0 -72.0 -46.898638675
-150.0 -71.0 -58.531701492
-150.0 -70.0 -77.8758827492
-150.0 -69.0 -102.491349246
-150.0 -68.0 -125.71045994
-150.0 -67.0 -142.787301654
-150.0 -66.0 -155.233312287
-150.0 -65.0 -169.647802123
-150.0 -64.0 -191.761997741
-150.0 -63.0 -220.399135717
-150.0 -62.0 -246.3592782
-150.0 -61.0 -257.524548495
-150.0 -60.0 -246.639314334
-150.0 -59.0 -216.078447642
-150.0 -58.0 -176.17518183
-150.0 -57.0 -138.550510999
-150.0 -56.0 -109.532154461
-150.0 -55.0 -88.3573151519
-150.0 -54.0 -70.8491076139
-150.0 -53.0 -54.9185155061
-150.0 -52.0 -43.0285079162
-150.0 -51.0 -39.5348621224
-150.0 -50.0 -45.2333623676
-150.0 -49.0 -53.8772572027
-150.0 -48.0 -53.9418861756
-150.0 -47.0 -34.7687200748
-150.0 -46.0  7.20779789278
-150.0 -45.0  66.4516079374
-150.0 -44.0  131.540163705
-150.0 -43.0  190.781351319
-150.0 -42.0  236.118769642
-150.0 -41.0  263.300536871
-150.0 -40.0  269.757134458
-150.0 -39.0  253.416011013
-150.0 -38.0  214.277682164
-150.0 -37.0  157.344169657
-150.0 -36.0  93.4548898624
-150.0 -35.0  35.8027596194
-150.0 -34.0 -6.41681952405
-150.0 -33.0 -32.7297361005
-150.0 -32.0 -50.4193974734
-150.0 -31.0 -67.8091250843
-150.0 -30.0 -86.3238590338
-150.0 -29.0 -97.3413944409
-150.0 -28.0 -86.73589994
-150.0 -27.0 -44.4531516021
-150.0 -26.0  27.3861588444
-150.0 -25.0  113.505316073
-150.0 -24.0  192.30362971
-150.0 -23.0  245.852692943
-150.0 -22.0  266.638212991
-150.0 -21.0  257.539981062
-150.0 -20.0  226.630973169
-150.0 -19.0  181.627178612
-150.0 -18.0  127.941256414
-150.0 -17.0  70.4474955112
-150.0 -16.0  15.7278143892
-150.0 -15.0 -28.4667404676
-150.0 -14.0 -56.7398358371
-150.0 -13.0 -69.5100529765
-150.0 -12.0 -72.9508160911
-150.0 -11.0 -74.8566556288
-150.0 -10.0 -79.5649052712
-150.0 -9.0 -86.1782144963
-150.0 -8.0 -91.6799058365
-150.0 -7.0 -96.219307725
-150.0 -6.0 -105.597910484
-150.0 -5.0 -127.977717597
-150.0 -4.0 -166.682918329
-150.0 -3.0 -214.725325898
-150.0 -2.0 -256.054328925
-150.0 -1.0 -273.691958057
-150.0  0.0 -259.546099823
-150.0  1.0 -219.092848396
-150.0  2.0 -167.689256201
-150.0  3.0 -121.323978699
-150.0  4.0 -88.4482085608
-150.0  5.0 -68.2298701287
-150.0  6.0 -55.3186401868
-150.0  7.0 -46.2811604231
-150.0  8.0 -42.1455120647
-150.0  9.0 -45.3302676698
-150.0  10.0 -54.2550941041
-150.0  11.0 -60.9163598136
-150.0  12.0 -54.1035258221
-150.0  13.0 -26.0605996491
-150.0  14.0  22.5628169718
-150.0  15.0  83.2086868723
-150.0  16.0  144.596680845
-150.0  17.0  198.158549705
-150.0  18.0  239.53807636
-150.0  19.0  265.843548945
-150.0  20.0  272.340748944
-150.0  21.0  252.804884037
-150.0  22.0  204.247984422
