x z ED
-150.0 -100.0  690.266418267
-150.0 -99.0  706.978742372
-150.0 -98.0  672.795677345
-150.0 -97.0  570.161509031
-150.0 -96.0  407.195556525
-150.0 -95.0  221.358585577
-150.0 -94.0  60.7594372683
-150.0 -93.0 -43.8055670114
-150.0 -92.0 -94.2651828136
-150.0 -91.0 -115.647396474
-150.0 -90.0 -129.17290933
-150.0 -89.0 -130.337256957
-150.0 -88.0 -90.6778137837
-150.0 -87.0  17.2606004727
-150.0 -86.0  191.509436963
-150.0 -85.0  392.049026392
-150.0 -84.0  559.906281123
-150.0 -83.0  650.179589837
-150.0 -82.0  654.596687829
-150.0 -81.0  598.072676982
-150.0 -80.0  514.429414439
-150.0 -79.0  421.941621244
-150.0 -78.0  317.457436217
-150.0 -77.0  190.979008131
-150.0 -76.0  45.4418988177
-150.0 -75.0 -96.757746508
-150.0 -74.0 -206.242972813
-150.0 -73.0 -266.896578031
-150.0 -72.0 -286.12954282
-150.0 -71.0 -286.745552377
-150.0 -70.0 -288.457573617
-150.0 -69.0 -296.024472359
-150.0 -68.0 -304.372881727
-150.0 -67.0 -314.824953797
-150.0 -66.0 -345.279628027
-150.0 -65.0 -421.460780356
-150.0 -64.0 -553.207385152
-150.0 -63.0 -714.912069665
-150.0 -62.0 -848.992216764
-150.0 -61.0 -894.618804662
-150.0 -60.0 -823.727099972
-150.0 -59.0 -659.071372153
-150.0 -58.0 -461.185910199
-150.0 -57.0 -293.447921841
-150.0 -56.0 -189.625490271
-150.0 -55.0 -144.779977517
-150.0 -54.0 -131.653133676
-150.0 -53.0 -126.040580459
-150.0 -52.0 -120.598029981
-150.0 -51.0 -119.01340121
-150.0 -50.0 -119.998589798
-150.0 -49.0 -108.254795901
-150.0 -48.0 -61.7198056838
-150.0 -47.0  31.2403454697
-150.0 -46.0  160.423420368
-150.0 -45.0  298.923314343
-150.0 -44.0  420.882873592
-150.0 -43.0  516.675553837
-150.0 -42.0  592.490254681
-150.0 -41.0  655.11817055
-150.0 -40.0  696.176387424
-150.0 -39.0  691.170048193
-150.0 -38.0  616.304860153
-150.0 -37.0  470.261834148
