x z dist ED
 50.2 -40.4 -50.0 -223.620746937
 50.2 -40.3 -49.9 -224.962348586
 50.2 -40.2 -49.8 -226.029209781
 50.2 -40.1 -49.7 -226.800015953
 50.1 -40.1 -49.6 -227.255624393
 50.1 -40.0 -49.5 -227.379169669
 50.1 -39.9 -49.4 -227.156150232
 50.1 -39.8 -49.3 -226.574495451
 50.1 -39.7 -49.2 -225.624612479
 50.0 -39.6 -49.1 -224.299412526
 50.0 -39.5 -49.0 -222.594316293
 50.0 -39.4 -48.9 -220.507238504
 50.0 -39.3 -48.8 -218.038551663
 50.0 -39.2 -48.7 -215.191029324
 49.9 -39.1 -48.6 -211.96976938
 49.9 -39.0 -48.5 -208.382098015
 49.9 -38.9 -48.4 -204.437455176
 49.9 -38.8 -48.3 -200.147262551
 49.9 -38.7 -48.2 -195.524775228
 49.8 -38.6 -48.1 -190.584918352
 49.8 -38.5 -48.0 -185.344110217
 49.8 -38.4 -47.9 -179.820073384
 49.8 -38.3 -47.8 -174.031635518
 49.8 -38.2 -47.7 -167.998521718
 49.7 -38.1 -47.6 -161.741140235
 49.7 -38.0 -47.5 -155.280363495
 49.7 -37.9 -47.4 -148.637306437
 49.7 -37.8 -47.3 -141.833104174
 49.7 -37.7 -47.2 -134.888691017
 49.6 -37.6 -47.1 -127.824582897
 49.6 -37.5 -47.0 -120.66066519
 49.6 -37.4 -46.9 -113.415987928
 49.6 -37.3 -46.8 -106.108570287
 49.5 -37.2 -46.7 -98.7552162174
 49.5 -37.1 -46.6 -91.3713429381
 49.5 -37.0 -46.5 -83.9708239521
 49.5 -36.9 -46.4 -76.5658480872
 49.5 -36.8 -46.3 -69.1667959462
 49.4 -36.7 -46.2 -61.7821349945
 49.4 -36.6 -46.1 -54.4183343508
 49.4 -36.5 -46.0 -47.0798001794
 49.4 -36.4 -45.9 -39.7688323953
 49.4 -36.3 -45.8 -32.4856032123
 49.3 -36.2 -45.7 -25.2281578653
 49.3 -36.1 -45.6 -17.9924376437
 49.3 -36.0 -45.5 -10.7723251725
 49.3 -35.9 -45.4 -3.55971167748
 49.3 -35.8 -45.3  3.65541422732
 49.2 -35.7 -45.2  10.884856888
 49.2 -35.6 -45.1  18.142083942
 49.2 -35.5 -45.0  25.4420776658
 49.2 -35.5 -44.9  32.8011685449
 49.2 -35.4 -44.8  40.2368524428
 49.1 -35.3 -44.7  47.7675928947
 49.1 -35.2 -44.6  55.4126101994
 49.1 -35.1 -44.5  63.1916591063
 49.1 -35.0 -44.4  71.1247970098
 49.1 -34.9 -44.3  79.2321446595
 49.0 -34.8 -44.2  87.5336414739
 49.0 -34.7 -44.1  96.0487976069
 49.0 -34.6 -44.0  104.79644496
 49.0 -34.5 -43.9  113.794489358
 49.0 -34.4 -43.8  123.059666109
 48.9 -34.3 -43.7  132.607301154
 48.9 -34.2 -43.6  142.451079993
 48.9 -34.1 -43.5  152.602826488
 48.9 -34.0 -43.4  163.07229362
 48.9 -33.9 -43.3  173.866968138
 48.8 -33.8 -43.2  184.991890977
 48.8 -33.7 -43.1  196.449495162
 48.8 -33.6 -43.0  208.239462807
 48.8 -33.5 -42.9  220.358602645
 48.8 -33.4 -42.8  232.800749362
 48.7 -33.3 -42.7  245.556685859
 48.7 -33.2 -42.6  258.614089326
 48.7 -33.1 -42.5  271.957501875
 48.7 -33.0 -42.4  285.568326234
 48.7 -32.9 -42.3  299.424846823
 48.6 -32.8 -42.2  313.502276306
 48.6 -32.7 -42.1  327.772827516
 48.6 -32.6 -42.0  342.205810423
 48.6 -32.5 -41.9  356.767753626
 48.5 -32.4 -41.8  371.422549623
 48.5 -32.3 -41.7  386.131622929
 48.5 -32.2 -41.6  400.854119921
 48.5 -32.1 -41.5  415.547119089
 48.5 -32.0 -41.4  430.165860223
 48.4 -31.9 -41.3  444.663990886
 48.4 -31.8 -41.2  458.993828399
 48.4 -31.7 -41.1  473.106635398
 48.4 -31.6 -41.0  486.95290695
 48.4 -31.5 -40.9  500.482667079
 48.3 -31.4 -40.8  513.645772498
 48.3 -31.3 -40.7  526.392221254
 48.3 -31.2 -40.6  538.672463984
 48.3 -31.1 -40.5  550.437715416
 48.3 -31.0 -40.4  561.640263779
 48.2 -30.9 -40.3  572.233775771
 48.2 -30.9 -40.2  582.173594788
 48.2 -30.8 -40.1  591.417030162
 48.2 -30.7 -40.0  599.923635217
 48.2 -30.6 -39.9  607.655472064
 48.1 -30.5 -39.8  614.577361138
 48.1 -30.4 -39.7  620.657113612
 48.1 -30.3 -39.6  625.865744961
 48.1 -30.2 -39.5  630.177668102
 48.1 -30.1 -39.4  633.570864685
 48.0 -30.0 -39.3  636.027033299
 48.0 -29.9 -39.2  637.531713542
 48.0 -29.8 -39.1  638.074385077
 48.0 -29.7 -39.0  637.64854101
 48.0 -29.6 -38.9  636.251735134
