x z ED
-145.0  0.0 -691.2
-144.0  0.3 -691.9
-143.0  0.6 -694.0
-142.0  0.9 -697.3
-141.0  1.2 -701.3
-140.0  1.4 -705.7
-139.0  1.6 -710.2
-138.0  1.9 -714.4
-137.0  2.1 -718.1
-136.0  2.4 -721.1
-135.0  2.6 -723.6
-134.0  2.8 -725.7
-133.0  3.1 -727.5
-132.0  3.4 -729.6
-131.0  3.7 -732.6
-130.0  4.1 -737.2
-129.0  4.5 -744.0
-128.0  4.9 -753.2
-127.0  5.2 -764.5
-126.0  5.5 -777.4
-125.0  5.8 -791.1
-124.0  5.9 -804.8
-123.0  6.2 -818.1
-122.0  6.3 -830.1
-121.0  6.4 -840.5
-120.0  6.6 -849.0
-119.0  6.7 -855.3
-118.0  6.8 -859.5
-117.0  6.9 -861.3
-116.0  6.9 -861.0
-115.0  7.0 -858.4
-114.0  7.1 -853.7
-113.0  7.1 -847.2
-112.0  7.2 -838.8
-111.0  7.2 -828.8
-110.0  7.4 -817.3
-109.0  7.4 -804.6
-108.0  7.4 -790.6
-107.0  7.5 -775.4
-106.0  7.6 -759.3
-105.0  7.7 -742.4
-104.0  7.7 -724.5
-103.0  7.8 -705.9
-102.0  7.9 -686.7
-101.0  8.0 -666.7
-100.0  8.1 -646.3
-99.0  8.1 -625.3
-98.0  8.2 -604.0
-97.0  8.3 -582.3
-96.0  8.2 -560.5
-95.0  8.3 -538.8
-94.0  8.3 -517.1
-93.0  8.4 -495.8
-92.0  8.3 -475.0
-91.0  8.2 -454.9
-90.0  8.0 -436.0
-89.0  7.6 -419.0
-88.0  6.4 -407.3
-87.0  5.1 -405.0
-86.0  4.9 -405.3
-85.0  4.8 -405.2
-84.0  4.9 -404.3
-83.0  4.9 -402.1
-82.0  4.9 -398.5
-81.0  5.0 -393.1
-80.0  5.1 -385.8
-79.0  5.1 -376.3
-78.0  5.2 -364.4
-77.0  5.2 -350.0
-76.0  5.2 -332.9
-75.0  5.3 -313.3
-74.0  5.1 -291.1
-73.0  5.0 -266.9
-72.0 -5.0 -266.9
-71.0 -5.1 -291.1
-70.0 -5.3 -313.3
-69.0 -5.2 -332.9
-68.0 -5.2 -350.0
-67.0 -5.2 -364.4
-66.0 -5.1 -376.3
-65.0 -5.1 -385.8
-64.0 -5.0 -393.1
-63.0 -4.9 -398.5
-62.0 -4.9 -402.1
-61.0 -4.9 -404.3
-60.0 -4.8 -405.2
-59.0 -4.9 -405.3
-58.0 -5.1 -405.0
-57.0 -6.4 -407.3
-56.0 -7.6 -419.0
-55.0 -8.0 -436.0
-54.0 -8.2 -454.9
-53.0 -8.3 -475.0
-52.0 -8.4 -495.8
-51.0 -8.3 -517.1
-50.0 -8.3 -538.8
-49.0 -8.2 -560.5
-48.0 -8.3 -582.3
-47.0 -8.2 -604.0
-46.0 -8.1 -625.3
-45.0 -8.1 -646.3
-44.0 -8.0 -666.7
-43.0 -7.9 -686.7
-42.0 -7.8 -705.9
-41.0 -7.7 -724.5
-40.0 -7.7 -742.4
-39.0 -7.6 -759.3
-38.0 -7.5 -775.4
-37.0 -7.4 -790.6
-36.0 -7.4 -804.6
-35.0 -7.4 -817.3
-34.0 -7.2 -828.8
-33.0 -7.2 -838.8
-32.0 -7.1 -847.2
-31.0 -7.1 -853.7
-30.0 -7.0 -858.4
-29.0 -6.9 -861.0
-28.0 -6.9 -861.3
-27.0 -6.8 -859.5
-26.0 -6.7 -855.3
-25.0 -6.6 -849.0
-24.0 -6.4 -840.5
-23.0 -6.3 -830.1
-22.0 -6.2 -818.1
-21.0 -5.9 -804.8
-20.0 -5.8 -791.1
-19.0 -5.5 -777.4
-18.0 -5.2 -764.5
-17.0 -4.9 -753.2
