x z dist ED
 74.2 -50.0 -50.0 -288.830235738
 74.2 -49.9 -49.9 -286.580047018
 74.2 -49.8 -49.8 -284.242664259
 74.2 -49.7 -49.7 -281.809240316
 74.2 -49.6 -49.6 -279.27138061
 74.2 -49.5 -49.5 -276.621234572
 74.2 -49.4 -49.4 -273.851581501
 74.2 -49.3 -49.3 -270.955910029
 74.2 -49.2 -49.2 -267.928490439
 74.2 -49.1 -49.1 -264.76443917
 74.2 -49.0 -49.0 -261.459774887
 74.2 -48.9 -48.9 -258.011465613
 74.2 -48.8 -48.8 -254.417466464
 74.2 -48.7 -48.7 -250.676747651
 74.2 -48.6 -48.6 -246.789312494
 74.2 -48.5 -48.5 -242.756205275
 74.2 -48.4 -48.4 -238.579508883
 74.2 -48.3 -48.3 -234.262332263
 74.2 -48.2 -48.2 -229.808787821
 74.2 -48.1 -48.1 -225.223959
 74.2 -48.0 -48.0 -220.513858345
 74.2 -47.9 -47.9 -215.685376469
 74.2 -47.8 -47.8 -210.746222431
 74.2 -47.7 -47.7 -205.704856082
 74.2 -47.6 -47.6 -200.570413053
 74.2 -47.5 -47.5 -195.352623111
 74.2 -47.4 -47.4 -190.061722668
 74.2 -47.3 -47.3 -184.70836229
 74.1 -47.2 -47.2 -179.303510112
 74.1 -47.1 -47.1 -173.858352081
 74.1 -47.0 -47.0 -168.384190004
 74.1 -46.9 -46.9 -162.892338382
 74.1 -46.8 -46.8 -157.394021042
 74.1 -46.7 -46.7 -151.900268551
 74.1 -46.6 -46.6 -146.421817436
 74.1 -46.5 -46.5 -140.969012163
 74.1 -46.4 -46.4 -135.551710861
 74.1 -46.3 -46.3 -130.179195682
 74.1 -46.2 -46.2 -124.860088701
 74.1 -46.1 -46.1 -119.602274164
 74.1 -46.0 -46.0 -114.412827871
 74.1 -45.9 -45.9 -109.297954366
 74.1 -45.8 -45.8 -104.262932593
 74.1 -45.7 -45.7 -99.3120705349
 74.1 -45.6 -45.6 -94.4486693184
 74.1 -45.5 -45.5 -89.6749971468
 74.1 -45.4 -45.4 -84.9922733384
 74.1 -45.3 -45.3 -80.4006626576
 74.1 -45.2 -45.2 -75.899280019
 74.1 -45.1 -45.1 -71.4862055528
 74.1 -45.0 -45.0 -67.1585099144
 74.1 -44.9 -44.9 -62.9122896287
 74.1 -44.8 -44.8 -58.7427121585
 74.1 -44.7 -44.7 -54.6440702968
 74.1 -44.6 -44.6 -50.6098453883
 74.1 -44.5 -44.5 -46.6327788041
 74.0 -44.4 -44.4 -42.7049510096
 74.0 -44.3 -44.3 -38.8178674945
 74.0 -44.2 -44.2 -34.9625507638
 74.0 -44.1 -44.1 -31.1296375297
 74.0 -44.0 -44.0 -27.3094801925
 74.0 -43.9 -43.9 -23.4922516536
 74.0 -43.8 -43.8 -19.6680524717
 74.0 -43.7 -43.7 -15.8270193436
 74.0 -43.6 -43.6 -11.9594338806
 74.0 -43.5 -43.5 -8.05583064047
 74.0 -43.4 -43.4 -4.10710338066
 74.0 -43.3 -43.3 -0.104608513337
 74.0 -43.2 -43.2  3.95973523779
 74.0 -43.1 -43.1  8.0933519427
 74.0 -43.0 -43.0  12.302919257
 74.0 -42.9 -42.9  16.5942857734
 74.0 -42.8 -42.8  20.9723957468
 74.0 -42.7 -42.7  25.4412219413
 74.0 -42.6 -42.6  30.0037072721
 74.0 -42.5 -42.5  34.6617158356
 74.0 -42.4 -42.4  39.4159938356
 74.0 -42.3 -42.3  44.2661408198
 74.0 -42.2 -42.2  49.2105915475
 74.0 -42.1 -42.1  54.2466087114
 74.0 -42.0 -42.0  59.3702866314
 74.0 -41.9 -41.9  64.5765659412
 74.0 -41.8 -41.8  69.8592591806
 74.0 -41.7 -41.7  75.2110871085
 74.0 -41.6 -41.6  80.6237254454
 73.9 -41.5 -41.5  86.0878616624
 73.9 -41.4 -41.4  91.593261331
 73.9 -41.3 -41.3  97.1288434632
 73.9 -41.2 -41.2  102.682764182
 73.9 -41.1 -41.1  108.242507985
 73.9 -41.0 -41.0  113.794985784
 73.9 -40.9 -40.9  119.32663885
 73.9 -40.8 -40.8  124.823547722
 73.9 -40.7 -40.7  130.271545096
 73.9 -40.6 -40.6  135.656331666
 73.9 -40.5 -40.5  140.963593863
 73.9 -40.4 -40.4  146.179122417
 73.9 -40.3 -40.3  151.288930644
 73.9 -40.2 -40.2  156.279371371
 73.9 -40.1 -40.1  161.137251424
 73.9 -40.0 -40.0  165.849942609
 73.9 -39.9 -39.9  170.405488152
 73.9 -39.8 -39.8  174.79270361
 73.9 -39.7 -39.7  179.001271298
 73.9 -39.6 -39.6  183.021827348
 73.9 -39.5 -39.5  186.846040567
 73.9 -39.4 -39.4  190.466682356
 73.9 -39.3 -39.3  193.877686996
 73.9 -39.2 -39.2  197.074201738
 73.9 -39.1 -39.1  200.052626187
 73.9 -39.0 -39.0  202.810640596
 73.9 -38.9 -38.9  205.347222761
 73.9 -38.8 -38.8  207.662653333
 73.9 -38.7 -38.7  209.758509467
 73.8 -38.6 -38.6  211.637646809
 73.8 -38.5 -38.5  213.304169973
 73.8 -38.4 -38.4  214.763391715
 73.8 -38.3 -38.3  216.02178117
 73.8 -38.2 -38.2  217.086901563
 73.8 -38.1 -38.1  217.967337955
 73.8 -38.0 -38.0  218.672615625
 73.8 -37.9 -37.9  219.213109834
 73.8 -37.8 -37.8  219.599947745
 73.8 -37.7 -37.7  219.844903375
 73.8 -37.6 -37.6  219.960286518
 73.8 -37.5 -37.5  219.958826629
 73.8 -37.4 -37.4  219.853552711
 73.8 -37.3 -37.3  219.657670283
 73.8 -37.2 -37.2  219.384436539
 73.8 -37.1 -37.1  219.04703483
 73.8 -37.0 -37.0  218.658449594
 73.8 -36.9 -36.9  218.231342886
 73.8 -36.8 -36.8  217.777933615
 73.8 -36.7 -36.7  217.309880597
 73.8 -36.6 -36.6  216.83817049
 73.8 -36.5 -36.5  216.373011638
 73.8 -36.4 -36.4  215.923734793
 73.8 -36.3 -36.3  215.498701644
 73.8 -36.2 -36.2  215.105221973
 73.8 -36.1 -36.1  214.749480235
 73.8 -36.0 -36.0  214.436472224
 73.8 -35.9 -35.9  214.169952429
 73.7 -35.8 -35.8  213.952392585
 73.7 -35.7 -35.7  213.784951808
 73.7 -35.6 -35.6  213.667458611
 73.7 -35.5 -35.5  213.598404997
 73.7 -35.4 -35.4  213.574952706
 73.7 -35.3 -35.3  213.592951581
 73.7 -35.2 -35.2  213.646969928
 73.7 -35.1 -35.1  213.730336616
 73.7 -35.0 -35.0  213.835194572
 73.7 -34.9 -34.9  213.95256521
 73.7 -34.8 -34.8  214.072423262
 73.7 -34.7 -34.7  214.183781341
 73.7 -34.6 -34.6  214.274783533
 73.7 -34.5 -34.5  214.332807182
 73.7 -34.4 -34.4  214.344572002
 73.7 -34.3 -34.3  214.296255553
 73.7 -34.2 -34.2  214.173614083
 73.7 -34.1 -34.1  213.962107679
 73.7 -34.0 -34.0  213.647028635
 73.7 -33.9 -33.9  213.213631918
 73.7 -33.8 -33.8  212.647266594
 73.7 -33.7 -33.7  211.933507075
 73.7 -33.6 -33.6  211.058283037
 73.7 -33.5 -33.5  210.008006886
 73.7 -33.4 -33.4  208.769697668
 73.7 -33.3 -33.3  207.331100347
 73.7 -33.2 -33.2  205.680799431
 73.7 -33.1 -33.1  203.808325966
 73.7 -33.0 -33.0  201.704256978
 73.6 -32.9 -32.9  199.360306527
 73.6 -32.8 -32.8  196.769407607
 73.6 -32.7 -32.7  193.925784192
 73.6 -32.6 -32.6  190.825012851
 73.6 -32.5 -32.5  187.46407342
 73.6 -32.4 -32.4  183.841388335
 73.6 -32.3 -32.3  179.956850325
 73.6 -32.2 -32.2  175.811838276
 73.6 -32.1 -32.1  171.40922117
 73.6 -32.0 -32.0  166.753350133
 73.6 -31.9 -31.9  161.850038691
 73.6 -31.8 -31.8  156.706531502
 73.6 -31.7 -31.7  151.331461863
 73.6 -31.6 -31.6  145.734798434
 73.6 -31.5 -31.5  139.92778172
 73.6 -31.4 -31.4  133.922850897
 73.6 -31.3 -31.3  127.733561707
 73.6 -31.2 -31.2  121.374496179
 73.6 -31.1 -31.1  114.861165029
 73.6 -31.0 -31.0  108.209903637
 73.6 -30.9 -30.9  101.437762559
 73.6 -30.8 -30.8  94.562393583
 73.6 -30.7 -30.7  87.6019323418
 73.6 -30.6 -30.6  80.5748785613
 73.6 -30.5 -30.5  73.4999750012
 73.6 -30.4 -30.4  66.3960861679
 73.6 -30.3 -30.3  59.2820778677
 73.6 -30.2 -30.2  52.1766986526
 73.6 -30.1 -30.1  45.0984641832
 73.5 -30.0 -30.0  38.0655455026
 73.5 -29.9 -29.9  31.095662164
 73.5 -29.8 -29.8  24.2059811077
 73.5 -29.7 -29.7  17.413022116
 73.5 -29.6 -29.6  10.7325706106
 73.5 -29.5 -29.5  4.17959847685
 73.5 -29.4 -29.4 -2.23180648047
 73.5 -29.3 -29.3 -8.48850193231
 73.5 -29.2 -29.2 -14.5783428477
 73.5 -29.1 -29.1 -20.4902234132
 73.5 -29.0 -29.0 -26.2141088182
 73.5 -28.9 -28.9 -31.7410567739
 73.5 -28.8 -28.8 -37.0632287365
 73.5 -28.7 -28.7 -42.1738909017
 73.5 -28.6 -28.6 -47.0674051398
 73.5 -28.5 -28.5 -51.7392101376
 73.5 -28.4 -28.4 -56.1857931039
 73.5 -28.3 -28.3 -60.4046524903
 73.5 -28.2 -28.2 -64.3942522589
 73.5 -28.1 -28.1 -68.1539683121
 73.5 -28.0 -28.0 -71.6840277704
 73.5 -27.9 -27.9 -74.98544185
 73.5 -27.8 -27.8 -78.0599331517
 73.5 -27.7 -27.7 -80.9098582208
 73.5 -27.6 -27.6 -83.53812628
 73.5 -27.5 -27.5 -85.9481150687
 73.5 -27.4 -27.4 -88.1435847444
 73.5 -27.3 -27.3 -90.128590816
 73.4 -27.2 -27.2 -91.9073970814
 73.4 -27.1 -27.1 -93.4843895345
 73.4 -27.0 -27.0 -94.8639921907
 73.4 -26.9 -26.9 -96.0505857569
 73.4 -26.8 -26.8 -97.0484300318
 73.4 -26.7 -26.7 -97.861590884
 73.4 -26.6 -26.6 -98.4938725981
 73.4 -26.5 -26.5 -98.9487563234
 73.4 -26.4 -26.4 -99.2293452882
 73.4 -26.3 -26.3 -99.3383173701
 73.4 -26.2 -26.2 -99.2778855342
 73.4 -26.1 -26.1 -99.0497665617
 73.4 -26.0 -26.0 -98.6551584062
 73.4 -25.9 -25.9 -98.0947264185
 73.4 -25.8 -25.8 -97.3685985877
 73.4 -25.7 -25.7 -96.4763698474
 73.4 -25.6 -25.6 -95.4171154
 73.4 -25.5 -25.5 -94.1894129135
 73.4 -25.4 -25.4 -92.7913733493
 73.4 -25.3 -25.3 -91.2206800881
 73.4 -25.2 -25.2 -89.4746359269
 73.4 -25.1 -25.1 -87.5502174381
 73.4 -25.0 -25.0 -85.4441360975
 73.4 -24.9 -24.9 -83.1529055132
 73.4 -24.8 -24.8 -80.672914021
 73.4 -24.7 -24.7 -78.0005018462
 73.4 -24.6 -24.6 -75.132041982
 73.4 -24.5 -24.5 -72.0640238885
 73.4 -24.4 -24.4 -68.793139077
 73.3 -24.3 -24.3 -65.3163676239
 73.3 -24.2 -24.2 -61.6310646337
 73.3 -24.1 -24.1 -57.7350456697
 73.3 -24.0 -24.0 -53.6266701688
 73.3 -23.9 -23.9 -49.3049218715
 73.3 -23.8 -23.8 -44.7694853207
 73.3 -23.7 -23.7 -40.0208175129
 73.3 -23.6 -23.6 -35.0602138285
 73.3 -23.5 -23.5 -29.8898674178
 73.3 -23.4 -23.4 -24.512921277
 73.3 -23.3 -23.3 -18.9335123183
 73.3 -23.2 -23.2 -13.1568068089
 73.3 -23.1 -23.1 -7.18902663731
 73.3 -23.0 -23.0 -1.03746595249
 73.3 -22.9 -22.9  5.28950218846
 73.3 -22.8 -22.8  11.7824294298
 73.3 -22.7 -22.7  18.4308061504
 73.3 -22.6 -22.6  25.2230859867
 73.3 -22.5 -22.5  32.1467208038
 73.3 -22.4 -22.4  39.1882059737
 73.3 -22.3 -22.3  46.3331357133
 73.3 -22.2 -22.2  53.5662681329
 73.3 -22.1 -22.1  60.871599548
 73.3 -22.0 -22.0  68.2324475113
 73.3 -21.9 -21.9  75.6315419283
 73.3 -21.8 -21.8  83.0511235376
 73.3 -21.7 -21.7  90.4730489538
 73.3 -21.6 -21.6  97.8789014015
 73.3 -21.5 -21.5  105.250106201
 73.2 -21.4 -21.4  112.568050016
 73.2 -21.3 -21.3  119.81420281
 73.2 -21.2 -21.2  126.970241454
 73.2 -21.1 -21.1  134.01817385
 73.2 -21.0 -21.0  140.940462476
 73.2 -20.9 -20.9  147.720146197
 73.2 -20.8 -20.8  154.340959228
 73.2 -20.7 -20.7  160.787446126
 73.2 -20.6 -20.6  167.045071742
 73.2 -20.5 -20.5  173.100325045
 73.2 -20.4 -20.4  178.940815857
 73.2 -20.3 -20.3  184.555363496
 73.2 -20.2 -20.2  189.934076489
 73.2 -20.1 -20.1  195.0684225
 73.2 -20.0 -20.0  199.951287766
 73.2 -19.9 -19.9  204.577025389
 73.2 -19.8 -19.8  208.941491938
 73.2 -19.7 -19.7  213.042071908
 73.2 -19.6 -19.6  216.877689711
 73.2 -19.5 -19.5  220.44880895
 73.2 -19.4 -19.4  223.757418879
 73.2 -19.3 -19.3  226.807008033
 73.2 -19.2 -19.2  229.60252515
 73.2 -19.1 -19.1  232.150327612
 73.2 -19.0 -19.0  234.45811775
 73.2 -18.9 -18.9  236.534867472
 73.2 -18.8 -18.8  238.390731774
 73.2 -18.7 -18.7  240.036951811
 73.1 -18.6 -18.6  241.485748284
 73.1 -18.5 -18.5  242.750206016
 73.1 -18.4 -18.4  243.844150652
 73.1 -18.3 -18.3  244.782018516
 73.1 -18.2 -18.2  245.578720702
 73.1 -18.1 -18.1  246.249502565
 73.1 -18.0 -18.0  246.809799793
 73.1 -17.9 -17.9  247.275092313
 73.1 -17.8 -17.8  247.660757285
 73.1 -17.7 -17.7  247.981922469
 73.1 -17.6 -17.6  248.253321244
 73.1 -17.5 -17.5  248.489150569
 73.1 -17.4 -17.4  248.70293313
 73.1 -17.3 -17.3  248.907384921
 73.1 -17.2 -17.2  249.11428943
 73.1 -17.1 -17.1  249.334379588
 73.1 -17.0 -17.0  249.577228533
 73.1 -16.9 -16.9  249.851150217
 73.1 -16.8 -16.8  250.163110763
 73.1 -16.7 -16.7  250.518651402
 73.1 -16.6 -16.6  250.92182374
 73.1 -16.5 -16.5  251.375137972
 73.1 -16.4 -16.4  251.879524569
 73.1 -16.3 -16.3  252.434309834
 73.1 -16.2 -16.2  253.037205624
 73.1 -16.1 -16.1  253.684313389
 73.1 -16.0 -16.0  254.370142566
 73.1 -15.9 -15.9  255.087643243
 73.1 -15.8 -15.8  255.828252879
 73.0 -15.7 -15.7  256.581956739
 73.0 -15.6 -15.6  257.337361591
 73.0 -15.5 -15.5  258.081782085
 73.0 -15.4 -15.4  258.801339131
 73.0 -15.3 -15.3  259.481069482
 73.0 -15.2 -15.2  260.105045616
 73.0 -15.1 -15.1  260.656504949
 73.0 -15.0 -15.0  261.117987293
 73.0 -14.9 -14.9  261.471479424
 73.0 -14.8 -14.8  261.698565538
 73.0 -14.7 -14.7  261.780582349
 73.0 -14.6 -14.6  261.698777497
 73.0 -14.5 -14.5  261.434469958
 73.0 -14.4 -14.4  260.969211063
 73.0 -14.3 -14.3  260.284944786
 73.0 -14.2 -14.2  259.364165925
 73.0 -14.1 -14.1  258.19007483
 73.0 -14.0 -14.0  256.746727357
 73.0 -13.9 -13.9  255.019178778
 73.0 -13.8 -13.8  252.993620397
 73.0 -13.7 -13.7  250.657507728
 73.0 -13.6 -13.6  247.999679118
 73.0 -13.5 -13.5  245.010463811
 73.0 -13.4 -13.4  241.681778527
 73.0 -13.3 -13.3  238.007211727
 73.0 -13.2 -13.2  233.982094842
 73.0 -13.1 -13.1  229.603559866
 73.0 -13.0 -13.0  224.870582804
 73.0 -12.9 -12.9  219.784012634
 72.9 -12.8 -12.8  214.346585504
 72.9 -12.7 -12.7  208.562924069
 72.9 -12.6 -12.6  202.439521978
 72.9 -12.5 -12.5  195.984713629
 72.9 -12.4 -12.4  189.208629476
 72.9 -12.3 -12.3  182.123137268
 72.9 -12.2 -12.2  174.741769721
 72.9 -12.1 -12.1  167.079639255
 72.9 -12.0 -12.0  159.153340525
 72.9 -11.9 -11.9  150.980841584
 72.9 -11.8 -11.8  142.581364604
 72.9 -11.7 -11.7  133.975257185
 72.9 -11.6 -11.6  125.183855336
 72.9 -11.5 -11.5  116.229339308
 72.9 -11.4 -11.4  107.134583488
 72.9 -11.3 -11.3  97.9230016377
 72.9 -11.2 -11.2  88.6183887743
 72.9 -11.1 -11.1  79.2447610267
 72.9 -11.0 -11.0  69.8261948097
 72.9 -10.9 -10.9  60.3866666574
 72.9 -10.8 -10.8  50.9498950486
 72.9 -10.7 -10.7  41.53918553
 72.9 -10.6 -10.6  32.1772804113
 72.9 -10.5 -10.5  22.8862142578
 72.9 -10.4 -10.4  13.687176352
 72.9 -10.3 -10.3  4.60038122622
 72.9 -10.2 -10.2 -4.35505170714
 72.9 -10.1 -10.1 -13.1612084854
 72.8 -10.0 -10.0 -21.801480038
 72.8 -9.9 -9.9 -30.260649993
 72.8 -9.8 -9.8 -38.5249702085
 72.8 -9.7 -9.7 -46.5822234976
 72.8 -9.6 -9.6 -54.4217731352
 72.8 -9.5 -9.5 -62.034598853
 72.8 -9.4 -9.4 -69.4133191501
 72.8 -9.3 -9.3 -76.5521998689
 72.8 -9.2 -9.2 -83.4471491089
 72.8 -9.1 -9.1 -90.0956986705
 72.8 -9.0 -9.0 -96.4969723413
 72.8 -8.9 -8.9 -102.651641449
 72.8 -8.8 -8.8 -108.561868223
 72.8 -8.7 -8.7 -114.231237595
 72.8 -8.6 -8.6 -119.664678195
 72.8 -8.5 -8.5 -124.868373365
 72.8 -8.4 -8.4 -129.849663097
 72.8 -8.3 -8.3 -134.61693791
 72.8 -8.2 -8.2 -139.179525695
 72.8 -8.1 -8.1 -143.547572646
 72.8 -8.0 -8.0 -147.731919439
 72.8 -7.9 -7.9 -151.743973832
 72.8 -7.8 -7.8 -155.59558091
 72.8 -7.7 -7.7 -159.298892184
 72.8 -7.6 -7.6 -162.866234769
 72.8 -7.5 -7.5 -166.309981854
 72.8 -7.4 -7.4 -169.642425648
 72.8 -7.3 -7.3 -172.87565395
 72.8 -7.2 -7.2 -176.021431464
 72.7 -7.1 -7.1 -179.0910869
 72.7 -7.0 -7.0 -182.095406868
 72.7 -6.9 -6.9 -185.044537469
 72.7 -6.8 -6.8 -187.94789444
 72.7 -6.7 -6.7 -190.81408258
 72.7 -6.6 -6.6 -193.650825145
 72.7 -6.5 -6.5 -196.46490373
 72.7 -6.4 -6.4 -199.262109134
 72.7 -6.3 -6.3 -202.047203511
 72.7 -6.2 -6.2 -204.823894067
 72.7 -6.1 -6.1 -207.594818412
 72.7 -6.0 -6.0 -210.361541576
 72.7 -5.9 -5.9 -213.124564591
 72.7 -5.8 -5.8 -215.88334441
 72.7 -5.7 -5.7 -218.636324851
 72.7 -5.6 -5.6 -221.38097814
 72.7 -5.5 -5.5 -224.113856512
 72.7 -5.4 -5.4 -226.830653266
 72.7 -5.3 -5.3 -229.526272549
 72.7 -5.2 -5.2 -232.194907099
 72.7 -5.1 -5.1 -234.830123058
 72.7 -5.0 -5.0 -237.424950964
 72.7 -4.9 -4.9 -239.97198191
 72.7 -4.8 -4.8 -242.463467871
 72.7 -4.7 -4.7 -244.89142512
 72.7 -4.6 -4.6 -247.247739669
 72.7 -4.5 -4.5 -249.524273623
 72.7 -4.4 -4.4 -251.712971352
 72.7 -4.3 -4.3 -253.805964392
 72.6 -4.2 -4.2 -255.795674
 72.6 -4.1 -4.1 -257.674910317
 72.6 -4.0 -4.0 -259.436967126
 72.6 -3.9 -3.9 -261.075711261
 72.6 -3.8 -3.8 -262.585665756
 72.6 -3.7 -3.7 -263.962085894
 72.6 -3.6 -3.6 -265.201027412
 72.6 -3.5 -3.5 -266.299406165
 72.6 -3.4 -3.4 -267.255048664
 72.6 -3.3 -3.3 -268.066732987
 72.6 -3.2 -3.2 -268.734219656
 72.6 -3.1 -3.1 -269.258272195
 72.6 -3.0 -3.0 -269.640667138
 72.6 -2.9 -2.9 -269.884193435
 72.6 -2.8 -2.8 -269.992641236
 72.6 -2.7 -2.7 -269.97078019
 72.6 -2.6 -2.6 -269.824327476
 72.6 -2.5 -2.5 -269.55990589
 72.6 -2.4 -2.4 -269.184992416
 72.6 -2.3 -2.3 -268.707857789
 72.6 -2.2 -2.2 -268.137497661
 72.6 -2.1 -2.1 -267.483556058
 72.6 -2.0 -2.0 -266.756241888
 72.6 -1.9 -1.9 -265.96623933
 72.6 -1.8 -1.8 -265.124613006
 72.6 -1.7 -1.7 -264.242708854
 72.6 -1.6 -1.6 -263.332051715
 72.6 -1.5 -1.5 -262.404240623
 72.5 -1.4 -1.4 -261.470842848
 72.5 -1.3 -1.3 -260.543287742
 72.5 -1.2 -1.2 -259.632761423
 72.5 -1.1 -1.1 -258.750103353
 72.5 -1.0 -1.0 -257.905705829
 72.5 -0.9 -0.9 -257.109417368
 72.5 -0.8 -0.8 -256.37045095
 72.5 -0.7 -0.7 -255.697298018
 72.5 -0.6 -0.6 -255.097649092
 72.5 -0.5 -0.5 -254.578321761
 72.5 -0.4 -0.4 -254.145196784
 72.5 -0.3 -0.3 -253.803162915
 72.5 -0.2 -0.2 -253.556070997
 72.5 -0.1 -0.1 -253.406697784
 72.5  0.0  0.0 -253.356719842
 72.5  0.1  0.1 -253.406697784
 72.5  0.2  0.2 -253.556070997
 72.5  0.3  0.3 -253.803162915
 72.5  0.4  0.4 -254.145196784
 72.5  0.5  0.5 -254.578321761
 72.5  0.6  0.6 -255.097649092
 72.5  0.7  0.7 -255.697298018
 72.5  0.8  0.8 -256.37045095
 72.5  0.9  0.9 -257.109417368
 72.5  1.0  1.0 -257.905705829
 72.5  1.1  1.1 -258.750103353
 72.5  1.2  1.2 -259.632761423
 72.5  1.3  1.3 -260.543287742
 72.5  1.4  1.4 -261.470842848
 72.4  1.5  1.5 -262.404240623
 72.4  1.6  1.6 -263.332051715
 72.4  1.7  1.7 -264.242708854
 72.4  1.8  1.8 -265.124613006
 72.4  1.9  1.9 -265.96623933
 72.4  2.0  2.0 -266.756241888
 72.4  2.1  2.1 -267.483556058
 72.4  2.2  2.2 -268.137497661
 72.4  2.3  2.3 -268.707857789
 72.4  2.4  2.4 -269.184992416
 72.4  2.5  2.5 -269.55990589
 72.4  2.6  2.6 -269.824327476
 72.4  2.7  2.7 -269.97078019
 72.4  2.8  2.8 -269.992641236
 72.4  2.9  2.9 -269.884193435
 72.4  3.0  3.0 -269.640667138
 72.4  3.1  3.1 -269.258272195
 72.4  3.2  3.2 -268.734219656
 72.4  3.3  3.3 -268.066732987
