 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     6058    53061  4604        19
 1  0  0.000  0.109  0.109  1480741    71178   692       176
 1  1  0.043  0.115  0.122     1041    13230  1625        25
 1  3  0.130  0.127  0.182       42      549    29         0
 2 -2 -0.087  0.205  0.224      424     2300   164         0
 2 -1 -0.043  0.211  0.217     8871    41161   453      1511
 2  0  0.000  0.217  0.218    90987     5882   100       300
 2  1  0.043  0.224  0.228     3046    11103   202       294
 2  2  0.087  0.230  0.246      962     4324   116        10
 2  3  0.130  0.236  0.270      220     1524    11        14
 2  4  0.173  0.242  0.298       20      605    30       204
 2  5  0.217  0.249  0.329        0      226    61        13
 2  6  0.260  0.255  0.363        7      120    20         2
 3 -2 -0.087  0.314  0.326     2088     7846   386         1
 3 -1 -0.043  0.320  0.324     6098    14986   274       246
 3  0  0.000  0.326  0.326     1206     1234    87       156
 3  1  0.043  0.332  0.335      245        0  10000         0
 3  2  0.087  0.339  0.350      372      738    36       184
 3  3  0.130  0.345  0.368      280     1312    30         3
 3  4  0.173  0.351  0.392      154     1199    30        51
 3  5  0.217  0.357  0.418       77      649    16         8
 3  6  0.260  0.364  0.446       48      220    31        52
 4 -3 -0.130  0.416  0.437      754     3771   212        12
 4 -2 -0.087  0.422  0.432     5567    13042   328        28
 4 -1 -0.043  0.429  0.431     1846     3632   287        18
 4  0  0.000  0.435  0.435     7868     1870    22       609
 4  1  0.043  0.441  0.443      255      369    59         1
 4  2  0.087  0.447  0.456        1      693    38       327
 4  3  0.130  0.454  0.000       22        0  10000         0
 4  4  0.173  0.460  0.493       37       65    12        90
 4  5  0.217  0.466  0.514       36      122    11        68
 4  6  0.260  0.472  0.539       36       45    50        18
 5 -3 -0.130  0.525  0.541      653     1731   137         7
 5 -2 -0.087  0.531  0.539     1416     1894    52       442
 5 -1 -0.043  0.537  0.540       39      399    21       280
 5  0  0.000  0.544  0.544      861      304     5       694
 5  1  0.043  0.550  0.551      526      289    16       234
 6 -4 -0.173  0.627  0.652        9      248    17       153
 6 -3 -0.130  0.633  0.648       43      251    14        90
 6 -2 -0.087  0.640  0.646        8      105    19        24
 6 -1 -0.043  0.646  0.648        7       85    16        25
 6  0  0.000  0.652  0.653        5       84     6       160
 6  1  0.043  0.658  0.660        0      106     8       186
 6  2  0.087  0.665  0.671        1        0  10000         0
 6  3  0.130  0.671  0.684        1       86     4       365
 6  4  0.173  0.677  0.700        1       81     6       182
 7 -4 -0.173  0.736  0.757      363      707    20       416
 7 -3 -0.130  0.742  0.754      486      470    24       722
 7 -2 -0.087  0.748  0.754        9      128    62         3
 7 -1 -0.043  0.755  0.756       50       91    10        32
 7  0  0.000  0.761  0.760      311       56     3       152
 9 -5 -0.217  0.947  0.975       71      265    50         1
 9 -4 -0.173  0.953  0.973       84      224    40         0
 9 -3 -0.130  0.960  0.972        2        0  10000         0
 9 -2 -0.087  0.966  0.973        6       65    19        10
 9 -1 -0.043  0.972  0.976       31        0  10000         0
 9  0  0.000  0.978  0.981       38       34    20         1

Total chi^2 =  8620
