 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -65.59
 1  0  0.109  100.00  -94.22
 1  1  0.122   43.11   27.51
 1  3  0.182    8.79    6.02
 2 -2  0.224   17.97  -20.03
 2 -1  0.217   76.04  -58.94
 2  0  0.218   28.75  -31.86
 2  1  0.228   39.50   30.87
 2  2  0.246   24.65  -24.28
 2  3  0.270   14.63   14.76
 2  4  0.298    9.22   -6.19
 2  5  0.329    5.63    2.12
 2  6  0.363    4.11   -4.18
 3 -2  0.326   33.20   33.47
 3 -1  0.324   45.88   38.32
 3  0  0.326   13.17   -4.34
 3  1  0.335    0.00   -7.23
 3  2  0.350   10.18   12.67
 3  3  0.368   13.58  -13.90
 3  4  0.392   12.98   12.55
 3  5  0.418    9.55  -10.47
 3  6  0.446    5.56    9.03
 4 -3  0.437   23.02  -19.40
 4 -2  0.432   42.81  -44.49
 4 -1  0.431   22.59  -18.58
 4  0  0.435   16.21   14.00
 4  1  0.443    7.20   -7.79
 4  2  0.456    9.87    2.00
 4  3  0.000    0.00    2.11
 4  4  0.493    3.02   -4.31
 4  5  0.514    4.14    5.22
 4  6  0.539    2.52   -5.76
 5 -3  0.541   15.60  -18.35
 5 -2  0.539   16.31  -20.87
 5 -1  0.540    7.49    1.90
 5  0  0.544    6.54    5.27
 5  1  0.551    6.37   -8.69
 6 -4  0.652    5.91   -1.82
 6 -3  0.648    5.94   -3.84
 6 -2  0.646    3.84   -1.48
 6 -1  0.648    3.45    1.10
 6  0  0.653    3.43   -0.61
 6  1  0.660    3.87    0.12
 6  2  0.671    0.00    0.34
 6  3  0.684    3.49   -0.66
 6  4  0.700    3.38    0.76
 7 -4  0.757    9.97  -12.17
 7 -3  0.754    8.13  -12.50
 7 -2  0.754    4.24    1.25
 7 -1  0.756    3.58    2.28
 7  0  0.760    2.82   -3.56
 9 -5  0.975    6.10   -5.28
 9 -4  0.973    5.60   -5.38
 9 -3  0.972    0.00    0.56
 9 -2  0.973    3.02    1.01
 9 -1  0.976    0.00   -1.61
 9  0  0.981    2.19    1.50
