 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -54.35
 1  0  0.109  100.00 -100.03
 1  1  0.122   44.37   47.65
 1  2  0.000    0.00  -32.53
 1  3  0.182   10.04   21.31
 2 -2  0.224   19.55  -22.94
 2 -1  0.217   80.42  -88.13
 2  0  0.218   30.88  -30.23
 2  1  0.228   42.99   31.20
 2  2  0.246   27.15  -27.73
 2  3  0.270   15.83   21.42
 2  4  0.298    9.57  -14.13
 2  5  0.329    6.54    7.57
 3 -2  0.326   36.45   44.43
 3 -1  0.324   50.72   50.31
 3  0  0.326   14.48  -10.23
 3  1  0.335    8.02   -4.77
 3  2  0.350   11.36   14.03
 3  3  0.368   14.96  -18.58
 3  4  0.392   14.07   18.72
 3  5  0.418    8.96  -15.47
