 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -83.44
 1  0  0.109  100.00 -100.03
 1  1  0.122   44.37   27.59
 1  2  0.000    0.00   -7.72
 1  3  0.182   10.04   -0.84
 2 -2  0.224   19.55  -26.68
 2 -1  0.217   80.42  -74.67
 2  0  0.218   30.88  -30.99
 2  1  0.228   42.99   34.00
 2  2  0.246   27.15  -31.38
 2  3  0.270   15.83   24.70
 2  4  0.298    9.57  -15.62
 2  5  0.329    6.54    6.30
 3 -2  0.326   36.45   47.15
 3 -1  0.324   50.72   48.91
 3  0  0.326   14.48  -11.53
 3  1  0.335    8.02   -2.43
 3  2  0.350   11.36   10.96
 3  3  0.368   14.96  -15.57
 3  4  0.392   14.07   16.65
 3  5  0.418    8.96  -14.83
 4 -3  0.437   25.87  -25.69
 4 -2  0.432   47.09  -54.21
 4 -1  0.431   24.92  -16.39
 4  0  0.435   18.29   16.30
 4  1  0.443    8.65  -12.40
 4  2  0.456   10.57    7.06
 4  4  0.493    3.42   -2.69
 4  5  0.514    4.66    5.40
 4  6  0.539    2.83   -6.31
