 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -45.11
 1  0  0.109  100.00  -97.31
 1  1  0.122   44.37   49.34
 1  2  0.000    0.00  -40.72
 1  3  0.182   10.04   37.04
 2 -2  0.224   19.55  -15.43
 2 -1  0.217   80.42 -114.08
 2  0  0.218   30.88  -32.14
 2  1  0.228   42.99   29.30
 2  2  0.246   27.15  -27.29
 2  3  0.270   15.83   24.72
 2  4  0.298    9.57  -21.55
 2  5  0.329    6.54   17.99
 3 -2  0.326   36.45   34.89
 3 -1  0.324   50.72   52.75
 3  0  0.326   14.48  -13.89
 3  1  0.335    8.02    3.97
 3  2  0.350   11.36    2.12
 3  3  0.368   14.96   -6.56
 3  4  0.392   14.07    9.75
 3  5  0.418    8.96  -11.75
 4 -3  0.437   25.87   -5.32
 4 -2  0.432   47.09  -62.79
 4 -1  0.431   24.92  -23.94
 4  0  0.435   18.29   21.32
 4  1  0.443    8.65  -19.73
 4  2  0.456   10.57   16.99
 4  4  0.493    3.42    6.88
 4  5  0.514    4.66    0.12
 4  6  0.539    2.83   -7.86
