 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -83.25
 1  0  0.109  100.00 -100.03
 1  1  0.122   44.37   27.63
 1  2  0.000    0.00   -7.78
 1  3  0.182   10.04   -0.71
 2 -2  0.224   19.55  -26.74
 2 -1  0.217   80.42  -74.84
 2  0  0.218   30.88  -31.08
 2  1  0.228   42.99   34.11
 2  2  0.246   27.15  -31.42
 2  3  0.270   15.83   24.62
 2  4  0.298    9.57  -15.47
 2  5  0.329    6.54    6.19
 3 -2  0.326   36.45   47.30
 3 -1  0.324   50.72   49.01
 3  0  0.326   14.48  -11.52
 3  1  0.335    8.02   -2.54
 3  2  0.350   11.36   11.10
 3  3  0.368   14.96  -15.66
 3  4  0.392   14.07   16.63
 3  5  0.418    8.96  -14.67
 4 -3  0.437   25.87  -25.76
 4 -2  0.432   47.09  -54.20
 4 -1  0.431   24.92  -16.32
 4  0  0.435   18.29   16.23
 4  1  0.443    8.65  -12.28
 4  2  0.456   10.57    6.88
 4  4  0.493    3.42   -2.86
 4  5  0.514    4.66    5.49
 4  6  0.539    2.83   -6.28
 5 -3  0.541   17.38  -17.17
 5 -2  0.539   18.55  -17.28
 5 -1  0.540    8.68    4.94
 5  0  0.544    7.39    0.68
 5  1  0.551    7.56   -4.80
