 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -45.86
 1  0  0.109  100.00  -98.31
 1  1  0.122   44.37   26.25
 1  2  0.000    0.00   -7.13
 1  3  0.182   10.04    1.35
 2 -2  0.224   19.55   -2.02
 2 -1  0.217   80.42  -16.25
 2  0  0.218   30.88  -30.33
 2  1  0.228   42.99   43.33
 2  2  0.246   27.15  -41.63
 2  3  0.270   15.83   27.02
 2  4  0.298    9.57  -11.18
 2  5  0.329    6.54    2.04
 3 -2  0.326   36.45  -47.96
 3 -1  0.324   50.72  -49.90
 3  0  0.326   14.48   -3.43
 3  1  0.335    8.02    4.33
 3  2  0.350   11.36   -5.94
 3  3  0.368   14.96   14.31
 3  4  0.392   14.07  -19.41
 3  5  0.418    8.96   14.62
 4 -3  0.437   25.87   -4.73
 4 -2  0.432   47.09  -38.77
 4 -1  0.431   24.92  -44.10
 4  0  0.435   18.29   21.58
 4  1  0.443    8.65    9.30
 4  2  0.456   10.57  -25.43
 4  4  0.493    3.42   -7.53
 4  5  0.514    4.66    2.80
 4  6  0.539    2.83   -3.63
 5 -3  0.541   17.38  -31.73
 5 -2  0.539   18.55  -23.33
 5 -1  0.540    8.68   -1.66
 5  0  0.544    7.39    3.50
 5  1  0.551    7.56   -5.05
