 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -56.45
 1  0  0.109  100.00  -91.21
 1  1  0.122   44.37   36.54
 1  2  0.000    0.00  -15.80
 1  3  0.182   10.04    4.48
 2 -2  0.224   19.55  -18.37
 2 -1  0.217   80.42  -60.26
 2  0  0.218   30.88  -34.81
 2  1  0.228   42.99   52.70
 2  2  0.246   27.15  -54.11
 2  3  0.270   15.83   40.42
 2  4  0.298    9.57  -19.44
 2  5  0.329    6.54    1.70
 3 -2  0.326   36.45   28.78
 3 -1  0.324   50.72   30.86
 3  0  0.326   14.48   -5.93
 3  1  0.335    8.02  -10.54
 3  2  0.350   11.36   19.05
 3  3  0.368   14.96  -17.78
 3  4  0.392   14.07   10.32
 3  5  0.418    8.96   -3.08
 4 -3  0.437   25.87  -57.59
 4 -2  0.432   47.09  -96.16
 4 -1  0.431   24.92  -23.10
 4  0  0.435   18.29   25.79
 4  1  0.443    8.65   -8.47
 4  2  0.456   10.57  -10.27
 4  4  0.493    3.42  -14.63
 4  5  0.514    4.66    5.83
 4  6  0.539    2.83    0.06
 5 -3  0.541   17.38  -26.81
 5 -2  0.539   18.55  -28.20
 5 -1  0.540    8.68   10.72
 5  0  0.544    7.39    8.35
 5  1  0.551    7.56  -19.47
