 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.40
 1  0  0.109  100.00 -100.24
 1  1  0.122   44.37   38.98
 1  2  0.000    0.00  -26.48
 1  3  0.182   10.04   19.87
 2 -2  0.224   19.55   -4.81
 2 -1  0.217   80.42  -81.59
 2  0  0.218   30.88  -29.68
 2  1  0.228   42.99   24.42
 2  2  0.246   27.15  -22.60
 2  3  0.270   15.83   20.90
 2  4  0.298    9.57  -18.80
 2  5  0.329    6.54   16.22
 3 -2  0.326   36.45   28.10
 3 -1  0.324   50.72   49.56
 3  0  0.326   14.48   -7.48
 3  1  0.335    8.02   -0.89
 3  2  0.350   11.36    5.59
 3  3  0.368   14.96   -8.79
 3  4  0.392   14.07   10.89
 3  5  0.418    8.96  -12.02
 4 -3  0.437   25.87    1.22
 4 -2  0.432   47.09  -52.99
 4 -1  0.431   24.92  -26.01
 4  0  0.435   18.29   14.87
 4  1  0.443    8.65   -9.76
 4  2  0.456   10.57    5.42
 4  4  0.493    3.42   -2.90
 4  5  0.514    4.66    6.64
 4  6  0.539    2.83   -9.80
 5 -3  0.541   17.38  -12.02
 5 -2  0.539   18.55  -27.24
 5 -1  0.540    8.68    1.26
 5  0  0.544    7.39    1.96
 5  1  0.551    7.56   -3.14
