 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.34
 1  0  0.109  100.00 -100.28
 1  1  0.122   44.37   38.94
 1  2  0.000    0.00  -26.47
 1  3  0.182   10.04   19.90
 2 -2  0.224   19.55   -4.63
 2 -1  0.217   80.42  -81.71
 2  0  0.218   30.88  -29.73
 2  1  0.228   42.99   24.32
 2  2  0.246   27.15  -22.45
 2  3  0.270   15.83   20.74
 2  4  0.298    9.57  -18.65
 2  5  0.329    6.54   16.11
 3 -2  0.326   36.45   27.46
 3 -1  0.324   50.72   48.77
 3  0  0.326   14.48   -7.32
 3  1  0.335    8.02   -0.85
 3  2  0.350   11.36    5.42
 3  3  0.368   14.96   -8.52
 3  4  0.392   14.07   10.57
 3  5  0.418    8.96  -11.68
 4 -3  0.437   25.87    1.39
 4 -2  0.432   47.09  -52.20
 4 -1  0.431   24.92  -25.82
 4  0  0.435   18.29   14.68
 4  1  0.443    8.65   -9.62
 4  2  0.456   10.57    5.37
 4  4  0.493    3.42   -2.75
 4  5  0.514    4.66    6.42
 4  6  0.539    2.83   -9.52
 5 -3  0.541   17.38  -11.60
 5 -2  0.539   18.55  -26.68
 5 -1  0.540    8.68    1.18
 5  0  0.544    7.39    1.92
 5  1  0.551    7.56   -3.06
 6 -4  0.652    6.34    0.36
 6 -3  0.648    6.32   -3.39
 6 -2  0.646    4.31   -2.36
 6 -1  0.647    1.38    1.07
 6  0  0.653    4.16   -0.58
 6  1  0.659    1.52    0.22
 6  3  0.684   10.66   -0.32
 6  4  0.700   11.95    0.49
