 h  k      q   F_exp F_model
 1 -2  0.000    0.00   -1.27
 1 -1  0.111   86.60  -84.68
 1  0  0.109  100.00 -100.14
 1  1  0.122   43.16   26.01
 1  2  0.000    0.00   -5.93
 1  3  0.182    8.84   -1.50
 1  4  0.000    0.00    2.47
 2 -3  0.000    0.00   11.11
 2 -2  0.224   18.01  -23.17
 2 -1  0.217   75.72  -64.37
 2  0  0.218   28.75  -29.74
 2  1  0.228   39.73   34.24
 2  2  0.246   24.83  -31.65
 2  3  0.270   14.72   23.81
 2  4  0.298    9.24  -13.26
 2  5  0.329    5.72    3.25
 2  6  0.363    4.17    3.07
 2  7  0.000    0.00   -3.64
 3 -3  0.000    0.00    0.73
 3 -2  0.326   33.20   39.22
 3 -1  0.324   46.21   41.26
 3  0  0.326   13.19   -9.69
 3  1  0.335    0.00   -3.37
 3  2  0.350   10.23   11.30
 3  3  0.368   13.65  -14.94
 3  4  0.392   13.07   14.69
 3  5  0.418    9.59  -11.59
 3  6  0.446    5.63    7.18
 3  7  0.000    0.00   -3.06
 4 -4  0.000    0.00   14.98
 4 -3  0.437   23.00  -26.33
 4 -2  0.432   42.73  -49.82
 4 -1  0.431   22.62  -15.06
 4  0  0.435   16.23   15.23
 4  1  0.443    7.24  -10.95
 4  2  0.456    9.97    5.28
 4  3  0.000    0.00   -0.10
 4  4  0.493    3.00   -3.34
 4  5  0.514    4.17    4.57
 4  6  0.539    2.56   -3.90
 4  7  0.000    0.00    2.17
 5 -4  0.000    0.00   -1.08
 5 -3  0.541   15.51  -19.08
 5 -2  0.539   16.33  -18.67
 5 -1  0.540    7.59    5.57
 5  0  0.544    6.54    1.09
 5  1  0.551    6.67   -6.06
 6 -4  0.652    5.90   -4.19
 6 -3  0.648    5.94   -6.92
 6 -2  0.646    3.87   -1.69
 6 -1  0.648    3.46    2.00
 6  0  0.653    3.43   -1.60
 6  1  0.660    3.85    0.90
 6  2  0.671    0.00   -0.11
 6  3  0.684    3.54   -0.62
 6  4  0.700    3.43    1.19
 7 -4  0.757    9.98  -10.33
 7 -3  0.754    8.16   -8.28
 7 -2  0.754    4.28    2.71
 7 -1  0.756    3.65    0.03
 7  0  0.760    2.82   -1.86
 7  1  0.000    0.00    2.84
 8 -1  0.000    0.00   -2.49
 8  0  0.000    0.00    1.63
 8  1  0.000    0.00   -0.44
 9 -6  0.000    0.00   -0.94
 9 -5  0.975    6.15   -5.91
 9 -4  0.973    5.62   -4.40
 9 -3  0.972    0.00    1.75
 9 -2  0.973    3.05   -0.23
 9 -1  0.976    0.00   -0.92
 9  0  0.981    2.18    1.65
 9  1  0.000    0.00   -1.89
