 h  k     qx     qz      q    I_exp   I_model  sigma   chi^2
 1 -2 -0.087  0.096  0.000        1        0  100000         0
 1 -1 -0.043  0.102  0.111      845     1041    24        64
 1  0  0.000  0.109  0.109   170703   181391  2698        16
 1  1  0.043  0.115  0.122      113      290    12       214
 1  2  0.087  0.121  0.000        5        0  100000         0
 1  3  0.130  0.127  0.182        0        4     2         9
 1  4  0.173  0.134  0.000        0        0  100000         0
 2 -3 -0.130  0.199  0.000       10        0  100000         0
 2 -2 -0.087  0.205  0.224       75       45     4        54
 2 -1 -0.043  0.211  0.217     1101     1640    49       123
 2  0  0.000  0.217  0.218     7579     7496   235         0
 2  1  0.043  0.224  0.228      346      478    13       106
 2  2  0.087  0.230  0.246      153       96     6       101
 2  3  0.130  0.236  0.270       61       23     3       182
 2  4  0.173  0.242  0.298       16        7     2        33
 2  5  0.217  0.249  0.329        2        2     1         0
 2  6  0.260  0.255  0.363        0        1     1         3
 2  7  0.303  0.261  0.000        0        0  100000         0
 3 -3 -0.130  0.307  0.000        0        0  100000         0
 3 -2 -0.087  0.314  0.326      301      234     8        62
 3 -1 -0.043  0.320  0.324      670      925    17       228
 3  0  0.000  0.326  0.326      542     1052    17       922
 3  1  0.043  0.332  0.335        5        0  100000         0
 3  2  0.087  0.339  0.350       29       24     3         3
 3  3  0.130  0.345  0.368       33       29     3         2
 3  4  0.173  0.351  0.392       24       20     2         2
 3  5  0.217  0.357  0.418       12        9     2         3
 3  6  0.260  0.364  0.446        4        3     1         2
 3  7  0.303  0.370  0.000        1        0  100000         0
 4 -4 -0.173  0.410  0.000       29        0  100000         0
 4 -3 -0.130  0.416  0.437      144       99     5        71
 4 -2 -0.087  0.422  0.432      712      522    12       249
 4 -1 -0.043  0.429  0.431      126      297     9       351
 4  0  0.000  0.435  0.435     1078     1194    17        45
 4  1  0.043  0.441  0.443       73       31     3       205
 4  2  0.087  0.447  0.456        8       30     3        59
 4  3  0.130  0.454  0.000        0        0  100000         0
 4  4  0.173  0.460  0.493        2        1     1         2
 4  5  0.217  0.466  0.514        3        2     1         1
 4  6  0.260  0.472  0.539        2        1     0         6
 4  7  0.303  0.479  0.000        0        0  100000         0
 5 -4 -0.173  0.519  0.000        1        0  100000         0
 5 -3 -0.130  0.525  0.541       95       57     4        97
 5 -2 -0.087  0.531  0.539      136       96     5        64
 5 -1 -0.043  0.537  0.540       28       42     3        19
 5  0  0.000  0.544  0.544        5      155     6       611
 5  1  0.043  0.550  0.551       33       33     3         0
 6 -4 -0.173  0.627  0.652        2        7     1        14
 6 -3 -0.130  0.633  0.648        6       10     2         8
 6 -2 -0.087  0.640  0.646        0        6     1        22
 6 -1 -0.043  0.646  0.648        1       10     2        35
 6  0  0.000  0.652  0.653        2       36     3       136
 6  1  0.043  0.658  0.660        0       13     2        53
 6  2  0.087  0.665  0.671        0        0  100000         0
 6  3  0.130  0.671  0.684        0        4     1        14
 6  4  0.173  0.677  0.700        0        3     1        11
 7 -4 -0.173  0.736  0.757       56       25     2       156
 7 -3 -0.130  0.742  0.754       44       22     2        91
 7 -2 -0.087  0.748  0.754        8        9     2         1
 7 -1 -0.043  0.755  0.756        0       14     2        57
 7  0  0.000  0.761  0.760       17       21     2         3
 7  1  0.043  0.767  0.000       16        0  100000         0
 8 -1 -0.043  0.863  0.000       10        0  100000         0
 8  0  0.000  0.870  0.000        9        0  100000         0
 8  1  0.043  0.876  0.000        0        0  100000         0
 9 -6 -0.260  0.941  0.000        0        0  100000         0
 9 -5 -0.217  0.947  0.975       11       10     2         1
 9 -4 -0.173  0.953  0.973        7       10     2         5
 9 -3 -0.130  0.960  0.972        2        0  100000         0
 9 -2 -0.087  0.966  0.973        0        6     1        25
 9 -1 -0.043  0.972  0.976        1        0  100000         0
 9  0  0.000  0.978  0.981        5       10     2         8
 9  1  0.043  0.985  0.000        4        0  100000         0

Total chi^2 =  4548
