 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -2 -0.087  0.096  0.000        0        0  100000         0
 1 -1 -0.043  0.102  0.111      995     1041    24         4
 1  0  0.000  0.109  0.109   181911   181391  2698         0
 1  1  0.043  0.115  0.122      105      290    12       233
 1  2  0.087  0.121  0.000        3        0  100000         0
 1  3  0.130  0.127  0.182        0        4     2         8
 1  4  0.173  0.134  0.000        0        0  100000         0
 2 -3 -0.130  0.199  0.000       11        0  100000         0
 2 -2 -0.087  0.205  0.224       74       45     4        52
 2 -1 -0.043  0.211  0.217     1185     1640    49        87
 2  0  0.000  0.217  0.218     8020     7496   235         5
 2  1  0.043  0.224  0.228      355      478    13        91
 2  2  0.087  0.230  0.246      156       96     6       110
 2  3  0.130  0.236  0.270       60       23     3       178
 2  4  0.173  0.242  0.298       14        7     2        22
 2  5  0.217  0.249  0.329        1        2     1         3
 2  6  0.260  0.255  0.363        1        1     1         1
 2  7  0.303  0.261  0.000        1        0  100000         0
 3 -3 -0.130  0.307  0.000        0        0  100000         0
 3 -2 -0.087  0.314  0.326      327      234     8       119
 3 -1 -0.043  0.320  0.324      737      925    17       123
 3  0  0.000  0.326  0.326      568     1052    17       829
 3  1  0.043  0.332  0.335        5        0  100000         0
 3  2  0.087  0.339  0.350       29       24     3         4
 3  3  0.130  0.345  0.368       35       29     3         4
 3  4  0.173  0.351  0.392       26       20     2         5
 3  5  0.217  0.357  0.418       13        9     2         7
 3  6  0.260  0.364  0.446        4        3     1         3
 3  7  0.303  0.370  0.000        1        0  100000         0
 4 -4 -0.173  0.410  0.000       31        0  100000         0
 4 -3 -0.130  0.416  0.437      130       99     5        34
 4 -2 -0.087  0.422  0.432      710      522    12       245
 4 -1 -0.043  0.429  0.431      132      297     9       330
 4  0  0.000  0.435  0.435     1052     1194    17        67
 4  1  0.043  0.441  0.443       72       31     3       193
 4  2  0.087  0.447  0.456        8       30     3        56
 4  3  0.130  0.454  0.000        0        0  100000         0
 4  4  0.173  0.460  0.493        2        1     1         0
 4  5  0.217  0.466  0.514        3        2     1         0
 4  6  0.260  0.472  0.539        2        1     0         5
 4  7  0.303  0.479  0.000        0        0  100000         0
 5 -4 -0.173  0.519  0.000        0        0  100000         0
 5 -3 -0.130  0.525  0.541       86       57     4        56
 5 -2 -0.087  0.531  0.539      125       96     5        35
 5 -1 -0.043  0.537  0.540       23       42     3        34
 5  0  0.000  0.544  0.544        4      155     6       613
 5  1  0.043  0.550  0.551       27       33     3         4
 6 -4 -0.173  0.627  0.652        4        7     1         7
 6 -3 -0.130  0.633  0.648       14       10     2         5
 6 -2 -0.087  0.640  0.646        1        6     1        16
 6 -1 -0.043  0.646  0.648        4       10     2        19
 6  0  0.000  0.652  0.653        8       36     3        92
 6  1  0.043  0.658  0.660        1       13     2        48
 6  2  0.087  0.665  0.671        0        0  100000         0
 6  3  0.130  0.671  0.684        0        4     1        14
 6  4  0.173  0.677  0.700        0        3     1         9
 7 -4 -0.173  0.736  0.757       27       25     2         1
 7 -3 -0.130  0.742  0.754       23       22     2         0
 7 -2 -0.087  0.748  0.754        4        9     2        14
 7 -1 -0.043  0.755  0.756        0       14     2        57
 7  0  0.000  0.761  0.760        9       21     2        28
 7  1  0.043  0.767  0.000        8        0  100000         0
 8 -1 -0.043  0.863  0.000        7        0  100000         0
 8  0  0.000  0.870  0.000        6        0  100000         0
 8  1  0.043  0.876  0.000        0        0  100000         0
 9 -6 -0.260  0.941  0.000        0        0  100000         0
 9 -5 -0.217  0.947  0.975        9       10     2         0
 9 -4 -0.173  0.953  0.973        6       10     2         6
 9 -3 -0.130  0.960  0.972        1        0  100000         0
 9 -2 -0.087  0.966  0.973        0        6     1        26
 9 -1 -0.043  0.972  0.976        1        0  100000         0
 9  0  0.000  0.978  0.981        5       10     2         7
 9  1  0.043  0.985  0.000        5        0  100000         0

Total chi^2 =  3909
