 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -88.22
 1  0  0.109  100.00 -100.03
 1  1  0.122   44.37   29.49
 1  3  0.182   10.04   -1.58
 2 -2  0.224   19.55  -13.37
 2 -1  0.217   80.42  -84.28
 2  0  0.218   30.88  -30.22
 2  1  0.228   42.99   35.88
 2  2  0.246   27.15  -35.86
 2  3  0.270   15.83   25.60
 2  4  0.298    9.57   -7.15
 2  5  0.329    6.54  -10.63
 3 -2  0.326   36.45   44.21
 3 -1  0.324   50.72   53.06
 3  0  0.326   14.48  -10.89
 3  1  0.335    8.02   -3.73
 3  2  0.350   11.36   13.09
 3  3  0.368   14.96  -16.18
 3  4  0.392   14.07   12.50
 3  5  0.418    8.96   -5.07
