 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -93.18
 1  0  0.109  100.00 -100.02
 1  1  0.122   44.37   24.69
 1  3  0.182   10.04   -0.77
 2 -2  0.224   19.55  -23.58
 2 -1  0.217   80.42  -76.54
 2  0  0.218   30.88  -30.74
 2  1  0.228   42.99   37.16
 2  2  0.246   27.15  -34.22
 2  3  0.270   15.83   24.85
 2  4  0.298    9.57  -12.99
 2  5  0.329    6.54    3.15
 3 -2  0.326   36.45   46.46
 3 -1  0.324   50.72   48.35
 3  0  0.326   14.48  -12.68
 3  1  0.335    8.02   -2.68
 3  2  0.350   11.36   11.28
 3  3  0.368   14.96  -13.95
 3  4  0.392   14.07   11.89
 3  5  0.418    8.96   -7.44
