x z ED
-150.0 -100.0  769.567150081
-150.0 -99.0  749.27739505
-150.0 -98.0  662.072849702
-150.0 -97.0  507.04788875
-150.0 -96.0  308.830013972
-150.0 -95.0  115.994813879
-150.0 -94.0 -20.9892937688
-150.0 -93.0 -78.2216306575
-150.0 -92.0 -71.4118349115
-150.0 -91.0 -41.9046965657
-150.0 -90.0 -24.8893834824
-150.0 -89.0 -23.5698473953
-150.0 -88.0 -9.09341892239
-150.0 -87.0  53.8591465508
-150.0 -86.0  175.951203599
-150.0 -85.0  330.744167588
-150.0 -84.0  470.074288581
-150.0 -83.0  554.514847011
-150.0 -82.0  575.131201992
-150.0 -81.0  551.001189948
-150.0 -80.0  507.135175216
-150.0 -79.0  452.631167464
-150.0 -78.0  376.98603718
-150.0 -77.0  265.899071423
-150.0 -76.0  121.183428203
-150.0 -75.0 -33.3843247625
-150.0 -74.0 -165.519225386
-150.0 -73.0 -255.448223989
-150.0 -72.0 -306.509923251
-150.0 -71.0 -336.988312614
-150.0 -70.0 -361.595053969
-150.0 -69.0 -379.99222438
-150.0 -68.0 -382.952845288
-150.0 -67.0 -370.132122402
-150.0 -66.0 -361.749843562
-150.0 -65.0 -390.532620807
-150.0 -64.0 -477.237634629
-150.0 -63.0 -608.668008926
-150.0 -62.0 -737.532325996
-150.0 -61.0 -807.457885185
-150.0 -60.0 -786.555688131
-150.0 -59.0 -685.453255397
-150.0 -58.0 -547.086679651
-150.0 -57.0 -416.862840475
-150.0 -56.0 -316.05291365
-150.0 -55.0 -237.286402477
-150.0 -54.0 -162.50280611
-150.0 -53.0 -86.0151091815
-150.0 -52.0 -22.6248620064
-150.0 -51.0  5.50352626327
-150.0 -50.0 -8.74397284804
-150.0 -49.0 -45.229635599
-150.0 -48.0 -65.1869065844
-150.0 -47.0 -34.0389121046
-150.0 -46.0  59.185378281
-150.0 -45.0  199.426065102
-150.0 -44.0  359.018193313
-150.0 -43.0  513.459094017
-150.0 -42.0  646.400157466
-150.0 -41.0  742.76634124
-150.0 -40.0  781.192306384
-150.0 -39.0  738.095398185
-150.0 -38.0  604.34446816
-150.0 -37.0  401.682440181
-150.0 -36.0  182.587336292
-150.0 -35.0  8.37412000188
-150.0 -34.0 -82.2952249298
-150.0 -33.0 -93.0093711368
-150.0 -32.0 -62.8967272488
-150.0 -31.0 -37.8401243581
-150.0 -30.0 -39.7754821194
-150.0 -29.0 -55.1051732013
-150.0 -28.0 -48.6218409686
-150.0 -27.0  9.18783269375
-150.0 -26.0  121.823763365
-150.0 -25.0  266.276045422
-150.0 -24.0  409.031242588
-150.0 -23.0  523.792000943
-150.0 -22.0  597.808100036
-150.0 -21.0  625.683165894
-150.0 -20.0  600.707349466
-150.0 -19.0  514.666918483
-150.0 -18.0  367.650255476
-150.0 -17.0  178.567726502
-150.0 -16.0 -15.1835861443
-150.0 -15.0 -172.038870314
-150.0 -14.0 -265.783653877
-150.0 -13.0 -296.44623188
-150.0 -12.0 -285.070871094
-150.0 -11.0 -257.382645383
-150.0 -10.0 -229.586058819
-150.0 -9.0 -206.678810266
-150.0 -8.0 -192.267827229
-150.0 -7.0 -198.685817644
-150.0 -6.0 -245.914180481
-150.0 -5.0 -347.757560258
-150.0 -4.0 -495.578308082
-150.0 -3.0 -653.648158627
-150.0 -2.0 -772.365418839
-150.0 -1.0 -812.220025937
-150.0  0.0 -763.019530927
-150.0  1.0 -646.089466323
-150.0  2.0 -499.336264585
-150.0  3.0 -356.707564234
-150.0  4.0 -235.98046187
-150.0  5.0 -140.798420974
-150.0  6.0 -71.3960489542
-150.0  7.0 -32.6354052661
-150.0  8.0 -31.8656293249
-150.0  9.0 -68.8017667948
-150.0  10.0 -126.871189651
-150.0  11.0 -174.579479593
-150.0  12.0 -177.583343299
-150.0  13.0 -113.993123107
-150.0  14.0  16.6008086469
-150.0  15.0  194.710100428
-150.0  16.0  389.852580178
-150.0  17.0  569.690063621
-150.0  18.0  704.830883423
-150.0  19.0  770.500892249
-150.0  20.0  749.639681623
-150.0  21.0  639.708298718
-150.0  22.0  459.696875672
-150.0  23.0  250.106344092
-150.0  24.0  61.2907279229
-150.0  25.0 -66.5236241074
-150.0  26.0 -120.833510693
-150.0  27.0 -120.714925304
-150.0  28.0 -103.199426713
-150.0  29.0 -99.561207521
-150.0  30.0 -115.819048169
-150.0  31.0 -129.40354494
-150.0  32.0 -103.73369015
-150.0  33.0 -11.299592963
-150.0  34.0  148.811345261
-150.0  35.0  348.486794047
-150.0  36.0  542.814179385
-150.0  37.0  688.167105255
-150.0  38.0  755.903443518
-150.0  39.0  736.678892277
-150.0  40.0  637.46154512
-150.0  41.0  476.784493776
-150.0  42.0  281.777111408
-150.0  43.0  85.9220666324
-150.0  44.0 -75.9676984958
-150.0  45.0 -176.915044214
-150.0  46.0 -207.634436252
-150.0  47.0 -180.738275526
-150.0  48.0 -125.230319008
-150.0  49.0 -73.516516334
-150.0  50.0 -48.6149486631
-150.0  51.0 -59.2042354034
-150.0  52.0 -104.192641073
-150.0  53.0 -181.125828758
-150.0  54.0 -289.983312081
-150.0  55.0 -428.298635747
-150.0  56.0 -581.789115238
-150.0  57.0 -720.001178937
-150.0  58.0 -803.996589157
-150.0  59.0 -804.093180208
-150.0  60.0 -716.9521869
-150.0  61.0 -570.029478958
-150.0  62.0 -409.248489016
-150.0  63.0 -277.204050481
-150.0  64.0 -195.644296946
-150.0  65.0 -162.41373704
-150.0  66.0 -162.196913006
-150.0  67.0 -180.698723238
-150.0  68.0 -210.805819541
-150.0  69.0 -247.329456809
-150.0  70.0 -277.303104342
-150.0  71.0 -276.869754078
-150.0  72.0 -220.197166263
-150.0  73.0 -95.3054743265
-150.0  74.0  84.9561881402
-150.0  75.0  285.639488179
-150.0  76.0  464.825543453
-150.0  77.0  590.773139957
-150.0  78.0  650.112919421
-150.0  79.0  644.194390526
-150.0  80.0  580.316498185
-150.0  81.0  467.425587899
-150.0  82.0  319.683250568
-150.0  83.0  161.94267694
-150.0  84.0  27.5502249467
-150.0  85.0 -54.9531213362
-150.0  86.0 -78.5420108575
-150.0  87.0 -64.0402643632
-150.0  88.0 -47.7538874526
-150.0  89.0 -56.0601890103
-150.0  90.0 -84.2109076924
-150.0  91.0 -95.7727937802
