x z dist ED
 10.2 -48.9 -50.0 -229.104723619
 10.2 -48.8 -49.9 -229.012332149
 10.2 -48.7 -49.8 -228.831155134
 10.2 -48.6 -49.7 -228.556492412
 10.1 -48.6 -49.6 -228.18446061
 10.1 -48.5 -49.5 -227.711887064
 10.1 -48.4 -49.4 -227.136200018
 10.1 -48.3 -49.3 -226.455316563
 10.1 -48.2 -49.2 -225.667529733
 10.0 -48.1 -49.1 -224.771396194
 10.0 -48.0 -49.0 -223.765625898
 10.0 -47.9 -48.9 -222.648975035
 10.0 -47.8 -48.8 -221.420143565
 10.0 -47.7 -48.7 -220.077678527
 9.9 -47.6 -48.6 -218.619884233
 9.9 -47.5 -48.5 -217.044740382
 9.9 -47.4 -48.4 -215.349828987
 9.9 -47.3 -48.3 -213.53227095
 9.9 -47.2 -48.2 -211.588672926
 9.8 -47.1 -48.1 -209.515085076
 9.8 -47.0 -48.0 -207.306970102
 9.8 -46.9 -47.9 -204.959183875
 9.8 -46.8 -47.8 -202.465967811
 9.8 -46.7 -47.7 -199.820953023
 9.7 -46.6 -47.6 -197.017176124
 9.7 -46.5 -47.5 -194.047106464
 9.7 -46.4 -47.4 -190.902684413
 9.7 -46.3 -47.3 -187.5753702
 9.7 -46.2 -47.2 -184.056202715
 9.6 -46.1 -47.1 -180.335867536
 9.6 -46.0 -47.0 -176.404773387
 9.6 -45.9 -46.9 -172.253136097
 9.6 -45.8 -46.8 -167.871069086
 9.5 -45.7 -46.7 -163.248679323
 9.5 -45.6 -46.6 -158.376167627
 9.5 -45.5 -46.5 -153.243932161
 9.5 -45.4 -46.4 -147.842673926
 9.5 -45.3 -46.3 -142.163503038
 9.4 -45.2 -46.2 -136.198044571
 9.4 -45.1 -46.1 -129.938542752
 9.4 -45.0 -46.0 -123.377962322
 9.4 -44.9 -45.9 -116.510085887
 9.4 -44.8 -45.8 -109.32960616
 9.3 -44.7 -45.7 -101.832212021
 9.3 -44.6 -45.6 -94.0146674064
 9.3 -44.5 -45.5 -85.8748821157
 9.3 -44.4 -45.4 -77.4119737019
 9.3 -44.3 -45.3 -68.6263197195
 9.2 -44.2 -45.2 -59.5195996978
 9.2 -44.1 -45.1 -50.094826324
 9.2 -44.0 -45.0 -40.3563654325
 9.2 -44.0 -44.9 -30.3099445166
 9.2 -43.9 -44.8 -19.9626496033
 9.1 -43.8 -44.7 -9.32291045273
 9.1 -43.7 -44.6  1.59952583031
 9.1 -43.6 -44.5  12.7936325611
 9.1 -43.5 -44.4  24.2471522864
 9.1 -43.4 -44.3  35.9466561929
 9.0 -43.3 -44.2  47.8776135521
 9.0 -43.2 -44.1  60.0244705338
 9.0 -43.1 -44.0  72.3707376205
 9.0 -43.0 -43.9  84.8990847651
 9.0 -42.9 -43.8  97.5914433492
 8.9 -42.8 -43.7  110.42911393
 8.9 -42.7 -43.6  123.392878699
 8.9 -42.6 -43.5  136.463117525
