 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -77.05
 1  0  0.109  100.00  -99.99
 1  1  0.122   43.11   25.19
 1  2  0.000    0.00   -6.85
 1  3  0.182    8.79    2.03
 2 -2  0.224   17.97  -20.36
 2 -1  0.217   76.04  -66.49
 2  0  0.218   28.75  -32.97
 2  1  0.228   39.50   31.52
 2  2  0.246   24.65  -23.90
 2  3  0.270   14.63   14.93
 2  4  0.298    9.22   -8.87
 2  5  0.329    5.63    6.97
 2  6  0.363    4.11   -7.14
 3 -2  0.326   33.20   40.58
 3 -1  0.324   45.88   44.86
 3  0  0.326   13.17   -4.03
 3  1  0.000    0.00   -9.62
 3  2  0.350   10.18   14.27
 3  3  0.368   13.58  -13.09
 3  4  0.392   12.98    9.36
 3  5  0.418    9.55   -5.90
 3  6  0.446    5.56    3.89
 4 -3  0.437   23.02  -21.69
 4 -2  0.432   42.81  -53.14
 4 -1  0.431   22.59  -19.01
 4  0  0.435   16.21   12.57
 4  1  0.443    7.20   -3.70
 4  2  0.456    9.87   -3.32
 4  3  0.000    0.00    6.52
 4  4  0.493    3.02   -6.29
 4  5  0.514    4.14    4.39
 4  6  0.539    2.52   -2.44
 5 -3  0.541   15.60  -16.37
 5 -2  0.539   16.31  -19.28
 5 -1  0.540    7.49    2.04
 5  0  0.544    6.54    4.60
 5  1  0.551    6.37   -6.44
 6 -4  0.652    5.91    2.22
 6 -3  0.648    5.94    6.65
 6 -2  0.646    3.84    2.76
 6 -1  0.648    3.45   -2.22
 6  0  0.653    3.43    0.74
 6  1  0.660    3.87    0.79
 6  2  0.671    0.00   -1.54
 6  3  0.684    3.49    1.20
 6  4  0.700    3.38   -0.08
 7 -4  0.757    9.97   -9.69
 7 -3  0.754    8.13   -9.56
 7 -2  0.754    4.24    1.00
 7 -1  0.756    3.58    1.70
 7  0  0.760    2.82   -2.11
 8  0  0.000    0.00    0.07
 9 -5  0.975    6.10   -7.27
 9 -4  0.973    5.60   -6.62
 9 -3  0.000    0.00    0.74
 9 -2  0.973    3.02    1.03
 9 -1  0.000    0.00   -1.25
 9  0  0.981    2.19    0.60
 9  1  0.000    0.00    0.23
