x z dist ED
 10.2 -48.9 -50.0 -368.843774177
 10.2 -48.8 -49.9 -362.805174162
 10.2 -48.7 -49.8 -356.584494109
 10.2 -48.6 -49.7 -350.182255302
 10.1 -48.6 -49.6 -343.599158662
 10.1 -48.5 -49.5 -336.836085875
 10.1 -48.4 -49.4 -329.894100323
 10.1 -48.3 -49.3 -322.774447819
 10.1 -48.2 -49.2 -315.478557142
 10.0 -48.1 -49.1 -308.008040384
 10.0 -48.0 -49.0 -300.364693082
 10.0 -47.9 -48.9 -292.550494162
 10.0 -47.8 -48.8 -284.567605671
 10.0 -47.7 -48.7 -276.418372318
 9.9 -47.6 -48.6 -268.105320804
 9.9 -47.5 -48.5 -259.631158954
 9.9 -47.4 -48.4 -250.998774646
 9.9 -47.3 -48.3 -242.211234539
 9.9 -47.2 -48.2 -233.271782599
 9.8 -47.1 -48.1 -224.183838426
 9.8 -47.0 -48.0 -214.950995383
 9.8 -46.9 -47.9 -205.577018524
 9.8 -46.8 -47.8 -196.065842329
 9.8 -46.7 -47.7 -186.421568242
 9.7 -46.6 -47.6 -176.648462019
 9.7 -46.5 -47.5 -166.750950884
 9.7 -46.4 -47.4 -156.733620496
 9.7 -46.3 -47.3 -146.601211734
 9.7 -46.2 -47.2 -136.358617293
 9.6 -46.1 -47.1 -126.010878106
 9.6 -46.0 -47.0 -115.56317959
 9.6 -45.9 -46.9 -105.02084771
 9.6 -45.8 -46.8 -94.3893448829
 9.5 -45.7 -46.7 -83.6742657114
 9.5 -45.6 -46.6 -72.8813325542
 9.5 -45.5 -46.5 -62.0163909408
 9.5 -45.4 -46.4 -51.085404831
 9.5 -45.3 -46.3 -40.0944517261
 9.4 -45.2 -46.2 -29.0497176339
 9.4 -45.1 -46.1 -17.9574918955
 9.4 -45.0 -46.0 -6.82416187565
 9.4 -44.9 -45.9  4.34379247596
 9.4 -44.8 -45.8  15.5398041884
 9.3 -44.7 -45.7  26.7572249523
 9.3 -44.6 -45.6  37.9893309166
 9.3 -44.5 -45.5  49.2293285934
 9.3 -44.4 -45.4  60.4703608648
 9.3 -44.3 -45.3  71.7055130864
 9.2 -44.2 -45.2  82.927819281
 9.2 -44.1 -45.1  94.130268417
 9.2 -44.0 -45.0  105.305810764
 9.2 -44.0 -44.9  116.44736432
 9.2 -43.9 -44.8  127.547821307
 9.1 -43.8 -44.7  138.600054718
 9.1 -43.7 -44.6  149.596924925
 9.1 -43.6 -44.5  160.531286327
