x z dist ED
 49.7 -44.5 -50.0 -215.237428957
 49.8 -44.4 -49.9 -210.611229922
 49.8 -44.3 -49.8 -206.427881982
 49.9 -44.2 -49.7 -202.677428075
 49.9 -44.2 -49.6 -199.348844563
 50.0 -44.1 -49.5 -196.43011894
 50.0 -44.0 -49.4 -193.908329508
 50.0 -43.9 -49.3 -191.769726553
 50.1 -43.8 -49.2 -189.999814567
 50.1 -43.7 -49.1 -188.583435043
 50.2 -43.6 -49.0 -187.504849404
 50.2 -43.5 -48.9 -186.747821596
 50.3 -43.4 -48.8 -186.295699929
 50.3 -43.4 -48.7 -186.13149773
 50.4 -43.3 -48.6 -186.237972408
 50.4 -43.2 -48.5 -186.597702531
 50.5 -43.1 -48.4 -187.193162555
 50.5 -43.0 -48.3 -188.006794854
 50.5 -42.9 -48.2 -189.021078719
 50.6 -42.8 -48.1 -190.218596047
 50.6 -42.7 -48.0 -191.582093417
 50.7 -42.6 -47.9 -193.094540351
 50.7 -42.6 -47.8 -194.739183505
 50.8 -42.5 -47.7 -196.499596637
 50.8 -42.4 -47.6 -198.359726187
 50.9 -42.3 -47.5 -200.30393235
 50.9 -42.2 -47.4 -202.317025557
 51.0 -42.1 -47.3 -204.384298305
 51.0 -42.0 -47.2 -206.491552315
 51.0 -41.9 -47.1 -208.625121022
 51.1 -41.8 -47.0 -210.771887442
 51.1 -41.8 -46.9 -212.919297475
 51.2 -41.7 -46.8 -215.055368756
 51.2 -41.6 -46.7 -217.168695173
 51.3 -41.5 -46.6 -219.248447206
 51.3 -41.4 -46.5 -221.284368267
 51.4 -41.3 -46.4 -223.266767259
 51.4 -41.2 -46.3 -225.186507552
 51.5 -41.1 -46.2 -227.034992649
 51.5 -41.0 -46.1 -228.804148799
 51.5 -40.9 -46.0 -230.486404827
 51.6 -40.9 -45.9 -232.074669492
 51.6 -40.8 -45.8 -233.56230667
 51.7 -40.7 -45.7 -234.943108681
 51.7 -40.6 -45.6 -236.211268082
 51.8 -40.5 -45.5 -237.361348249
 51.8 -40.4 -45.4 -238.38825309
 51.9 -40.3 -45.3 -239.287196199
 51.9 -40.2 -45.2 -240.05366979
 52.0 -40.1 -45.1 -240.683413726
 52.0 -40.1 -45.0 -241.172384961
 52.0 -40.0 -44.9 -241.516727686
 52.1 -39.9 -44.8 -241.712744482
 52.1 -39.8 -44.7 -241.756868752
 52.2 -39.7 -44.6 -241.64563869
 52.2 -39.6 -44.5 -241.375673031
 52.3 -39.5 -44.4 -240.943648814
 52.3 -39.4 -44.3 -240.346281339
 52.4 -39.3 -44.2 -239.580306524
 52.4 -39.3 -44.1 -238.642465799
 52.5 -39.2 -44.0 -237.529493677
 52.5 -39.1 -43.9 -236.238108105
 52.5 -39.0 -43.8 -234.765003682
 52.6 -38.9 -43.7 -233.106847788
 52.6 -38.8 -43.6 -231.260279658
 52.7 -38.7 -43.5 -229.221912407
 52.7 -38.6 -43.4 -226.988337962
 52.8 -38.5 -43.3 -224.556134877
 52.8 -38.5 -43.2 -221.921878925
 52.9 -38.4 -43.1 -219.08215639
 52.9 -38.3 -43.0 -216.033579912
 53.0 -38.2 -42.9 -212.772806759
 53.0 -38.1 -42.8 -209.296559337
 53.0 -38.0 -42.7 -205.601647754
 53.1 -37.9 -42.6 -201.684994243
 53.1 -37.8 -42.5 -197.543659198
 53.2 -37.7 -42.4 -193.174868604
 53.2 -37.7 -42.3 -188.576042587
 53.3 -37.6 -42.2 -183.744824851
 53.3 -37.5 -42.1 -178.679112698
 53.4 -37.4 -42.0 -173.377087373
 53.4 -37.3 -41.9 -167.837244452
 53.5 -37.2 -41.8 -162.058423976
 53.5 -37.1 -41.7 -156.039840056
 53.5 -37.0 -41.6 -149.781109668
 53.6 -36.9 -41.5 -143.282280358
 53.6 -36.9 -41.4 -136.543856587
 53.7 -36.8 -41.3 -129.566824455
 53.7 -36.7 -41.2 -122.352674559
 53.8 -36.6 -41.1 -114.903422745
 53.8 -36.5 -41.0 -107.221628527
 53.9 -36.4 -40.9 -99.3104109871
 53.9 -36.3 -40.8 -91.1734619439
 54.0 -36.2 -40.7 -82.8150562501
 54.0 -36.1 -40.6 -74.2400590565
 54.1 -36.1 -40.5 -65.4539299287
 54.1 -36.0 -40.4 -56.4627237168
 54.1 -35.9 -40.3 -47.2730881045
 54.2 -35.8 -40.2 -37.8922577882
 54.2 -35.7 -40.1 -28.3280452645
 54.3 -35.6 -40.0 -18.5888282286
 54.3 -35.5 -39.9 -8.68353361285
 54.4 -35.4 -39.8  1.37838168082
 54.4 -35.3 -39.7  11.5869532716
 54.5 -35.3 -39.6  21.9317349104
 54.5 -35.2 -39.5  32.4018270791
 54.6 -35.1 -39.4  42.9859084249
 54.6 -35.0 -39.3  53.6722698542
 54.6 -34.9 -39.2  64.4488510887
 54.7 -34.8 -39.1  75.3032794662
 54.7 -34.7 -39.0  86.2229107511
 54.8 -34.6 -38.9  97.1948717023
 54.8 -34.5 -38.8  108.206104132
 54.9 -34.5 -38.7  119.243410176
 54.9 -34.4 -38.6  130.293498484
 55.0 -34.3 -38.5  141.343031031
 55.0 -34.2 -38.4  152.378670245
 55.1 -34.1 -38.3  163.387126142
 55.1 -34.0 -38.2  174.355203154
 55.1 -33.9 -38.1  185.269846335
 55.2 -33.8 -38.0  196.118186653
 55.2 -33.7 -37.9  206.887585037
 55.3 -33.7 -37.8  217.56567491
 55.3 -33.6 -37.7  228.140402904
 55.4 -33.5 -37.6  238.600067483
 55.4 -33.4 -37.5  248.933355227
 55.5 -33.3 -37.4  259.129374507
 55.5 -33.2 -37.3  269.177686353
 55.6 -33.1 -37.2  279.068332275
 55.6 -33.0 -37.1  288.791858879
 55.6 -32.9 -37.0  298.339339094
 55.7 -32.8 -36.9  307.702389877
 55.7 -32.8 -36.8  316.873186277
 55.8 -32.7 -36.7  325.84447178
 55.8 -32.6 -36.6  334.609564855
 55.9 -32.5 -36.5  343.162361679
 55.9 -32.4 -36.4  351.497335027
 56.0 -32.3 -36.3  359.60952936
 56.0 -32.2 -36.2  367.494552139
 56.1 -32.1 -36.1  375.148561465
 56.1 -32.0 -36.0  382.568250132
 56.1 -32.0 -35.9  389.750826236
 56.2 -31.9 -35.8  396.693990488
 56.2 -31.8 -35.7  403.395910422
 56.3 -31.7 -35.6  409.855191697
 56.3 -31.6 -35.5  416.070846724
 56.4 -31.5 -35.4  422.042260871
 56.4 -31.4 -35.3  427.769156505
 56.5 -31.3 -35.2  433.251555168
 56.5 -31.2 -35.1  438.489738179
 56.6 -31.2 -35.0  443.484205982
 56.6 -31.1 -34.9  448.235636564
 56.6 -31.0 -34.8  452.74484327
 56.7 -30.9 -34.7  457.012732368
 56.7 -30.8 -34.6  461.040260696
 56.8 -30.7 -34.5  464.828393744
 56.8 -30.6 -34.4  468.378064513
 56.9 -30.5 -34.3  471.690133487
 56.9 -30.4 -34.2  474.765350059
 57.0 -30.4 -34.1  477.604315739
 57.0 -30.3 -34.0  480.207449447
 57.1 -30.2 -33.9  482.574955205
 57.1 -30.1 -33.8  484.706792509
 57.1 -30.0 -33.7  486.602649649
 57.2 -29.9 -33.6  488.261920225
 57.2 -29.8 -33.5  489.683683093
 57.3 -29.7 -33.4  490.866685931
 57.3 -29.6 -33.3  491.80933262
 57.4 -29.6 -33.2  492.509674574
 57.4 -29.5 -33.1  492.965406167
 57.5 -29.4 -33.0  493.17386432
 57.5 -29.3 -32.9  493.132032351
 57.6 -29.2 -32.8  492.836548089
 57.6 -29.1 -32.7  492.283716287
 57.6 -29.0 -32.6  491.46952528
