x z ED
-150.0 -100.0  566.421531395
-150.0 -99.0  519.903690863
-150.0 -98.0  453.308497431
-150.0 -97.0  372.7042726
-150.0 -96.0  285.253978131
-150.0 -95.0  198.603123747
-150.0 -94.0  120.21774154
-150.0 -93.0  56.7340494026
-150.0 -92.0  13.3802623748
-150.0 -91.0 -6.47601031876
-150.0 -90.0 -1.61347361978
-150.0 -89.0  26.9493575759
-150.0 -88.0  76.0599479605
-150.0 -87.0  140.725194088
-150.0 -86.0  214.563588494
-150.0 -85.0  290.372834108
-150.0 -84.0  360.759678739
-150.0 -83.0  418.77398784
-150.0 -82.0  458.489889132
-150.0 -81.0  475.483007678
-150.0 -80.0  467.163652716
-150.0 -79.0  432.940173255
-150.0 -78.0  374.203113231
-150.0 -77.0  294.137652771
-150.0 -76.0  197.387503289
-150.0 -75.0  89.6064696513
-150.0 -74.0 -23.0568664517
-150.0 -73.0 -134.491224592
-150.0 -72.0 -239.121576292
-150.0 -71.0 -332.330037871
-150.0 -70.0 -410.762854969
-150.0 -69.0 -472.499845612
-150.0 -68.0 -517.076767839
-150.0 -67.0 -545.365658844
-150.0 -66.0 -559.331847331
-150.0 -65.0 -561.697786747
-150.0 -64.0 -555.55205425
-150.0 -63.0 -543.946102906
-150.0 -62.0 -529.521328243
-150.0 -61.0 -514.204811765
-150.0 -60.0 -499.004222481
-150.0 -59.0 -483.921619744
-150.0 -58.0 -467.993387555
-150.0 -57.0 -449.45047115
-150.0 -56.0 -425.980742899
-150.0 -55.0 -395.06487352
-150.0 -54.0 -354.349512274
-150.0 -53.0 -302.017593122
-150.0 -52.0 -237.115549237
-150.0 -51.0 -159.801131791
-150.0 -50.0 -71.4830191281
-150.0 -49.0  25.1662333586
-150.0 -48.0  126.3300836
-150.0 -47.0  227.293888517
-150.0 -46.0  322.797379217
-150.0 -45.0  407.463410445
-150.0 -44.0  476.26445406
-150.0 -43.0  524.983590918
-150.0 -42.0  550.6260316
-150.0 -41.0  551.74059534
-150.0 -40.0  528.617852728
-150.0 -39.0  483.342185835
-150.0 -38.0  419.687923711
-150.0 -37.0  342.863823318
-150.0 -36.0  259.124205542
-150.0 -35.0  175.27772439
-150.0 -34.0  98.1348466988
-150.0 -33.0  33.9416635652
-150.0 -32.0 -12.1500351362
-150.0 -31.0 -36.5287169068
-150.0 -30.0 -37.4440351381
-150.0 -29.0 -15.1722169715
-150.0 -28.0  27.9910597548
-150.0 -27.0  87.9119296712
-150.0 -26.0  158.959626412
-150.0 -25.0  234.478986203
-150.0 -24.0  307.353121553
-150.0 -23.0  370.606616604
-150.0 -22.0  417.995502636
-150.0 -21.0  444.531145336
-150.0 -20.0  446.891006962
-150.0 -19.0  423.679553131
-150.0 -18.0  375.516432491
-150.0 -17.0  304.945184921
-150.0 -16.0  216.172604363
-150.0 -15.0  114.66487162
-150.0 -14.0  6.64011584783
-150.0 -13.0 -101.49318852
-150.0 -12.0 -203.697625544
-150.0 -11.0 -294.81404765
-150.0 -10.0 -370.966305304
-150.0 -9.0 -429.825735803
-150.0 -8.0 -470.711980019
-150.0 -7.0 -494.523417302
-150.0 -6.0 -503.507947503
-150.0 -5.0 -500.901234449
-150.0 -4.0 -490.473169124
-150.0 -3.0 -476.032783079
-150.0 -2.0 -460.94612251
-150.0 -1.0 -447.720182337
-150.0  0.0 -437.698981908
-150.0  1.0 -430.90590819
-150.0  2.0 -426.050752191
-150.0  3.0 -420.702022975
-150.0  4.0 -411.606993402
-150.0  5.0 -395.125424686
