x z dist ED
 10.2 -48.9 -50.0 -162.021257106
 10.2 -48.8 -49.9 -159.490656991
 10.2 -48.7 -49.8 -157.165063949
 10.2 -48.6 -49.7 -155.057125628
 10.1 -48.6 -49.6 -153.178648665
 10.1 -48.5 -49.5 -151.540392955
 10.1 -48.4 -49.4 -150.151873763
 10.1 -48.3 -49.3 -149.021173696
 10.1 -48.2 -49.2 -148.154766441
 10.0 -48.1 -49.1 -147.557354095
 10.0 -48.0 -49.0 -147.231719749
 10.0 -47.9 -48.9 -147.178596854
 10.0 -47.8 -48.8 -147.396556731
 10.0 -47.7 -48.7 -147.881915415
 9.9 -47.6 -48.6 -148.628660833
 9.9 -47.5 -48.5 -149.628401135
 9.9 -47.4 -48.4 -150.870334765
 9.9 -47.3 -48.3 -152.341242698
 9.9 -47.2 -48.2 -154.025503009
 9.8 -47.1 -48.1 -155.905127775
 9.8 -47.0 -48.0 -157.959822068
 9.8 -46.9 -47.9 -160.1670646
 9.8 -46.8 -47.8 -162.502209392
 9.8 -46.7 -47.7 -164.938607617
 9.7 -46.6 -47.6 -167.4477486
 9.7 -46.5 -47.5 -169.99941878
 9.7 -46.4 -47.4 -172.561877258
 9.7 -46.3 -47.3 -175.102046419
 9.7 -46.2 -47.2 -177.585715975
 9.6 -46.1 -47.1 -179.977758649
 9.6 -46.0 -47.0 -182.242355633
 9.6 -45.9 -46.9 -184.343229834
 9.6 -45.8 -46.8 -186.243884902
 9.5 -45.7 -46.7 -187.90784794
 9.5 -45.6 -46.6 -189.298913811
 9.5 -45.5 -46.5 -190.381388904
 9.5 -45.4 -46.4 -191.120332282
 9.5 -45.3 -46.3 -191.481792128
 9.4 -45.2 -46.2 -191.433035476
 9.4 -45.1 -46.1 -190.942769282
 9.4 -45.0 -46.0 -189.981350973
 9.4 -44.9 -45.9 -188.520986723
 9.4 -44.8 -45.8 -186.535915833
 9.3 -44.7 -45.7 -184.002579695
 9.3 -44.6 -45.6 -180.899774037
 9.3 -44.5 -45.5 -177.20878322
 9.3 -44.4 -45.4 -172.913495614
 9.3 -44.3 -45.3 -168.000499208
 9.2 -44.2 -45.2 -162.459156803
 9.2 -44.1 -45.1 -156.281660366
 9.2 -44.0 -45.0 -149.463064266
 9.2 -44.0 -44.9 -142.001297353
 9.2 -43.9 -44.8 -133.897154015
 9.1 -43.8 -44.7 -125.15426455
 9.1 -43.7 -44.6 -115.779045375
 9.1 -43.6 -44.5 -105.780629792
 9.1 -43.5 -44.4 -95.1707801746
 9.1 -43.4 -44.3 -83.9637826392
 9.0 -43.3 -44.2 -72.1763254028
 9.0 -43.2 -44.1 -59.827362163
 9.0 -43.1 -44.0 -46.9379619803
 9.0 -43.0 -43.9 -33.5311472423
 9.0 -42.9 -43.8 -19.6317213906
 8.9 -42.8 -43.7 -5.26608816765
 8.9 -42.7 -43.6  9.53793579842
 8.9 -42.6 -43.5  24.7513132095
 8.9 -42.5 -43.4  40.3439812309
 8.9 -42.4 -43.3  56.2850476542
 8.8 -42.3 -43.2  72.5429862154
 8.8 -42.2 -43.1  89.0858292287
 8.8 -42.1 -43.0  105.881355747
 8.8 -42.0 -42.9  122.897273528
 8.8 -41.9 -42.8  140.101393179
 8.7 -41.8 -42.7  157.461792939
 8.7 -41.7 -42.6  174.946972692
 8.7 -41.6 -42.5  192.525995935
 8.7 -41.5 -42.4  210.168618543
 8.7 -41.4 -42.3  227.845403364
 8.6 -41.3 -42.2  245.527819824
 8.6 -41.2 -42.1  263.188327871
 8.6 -41.1 -42.0  280.800445817
 8.6 -41.0 -41.9  298.338801762
 8.5 -40.9 -41.8  315.779168508
