x z ED
-150.0 -100.0  727.394621887
-150.0 -99.0  703.556522929
-150.0 -98.0  617.939085693
-150.0 -97.0  477.986654868
-150.0 -96.0  311.784719529
-150.0 -95.0  159.649094811
-150.0 -94.0  53.4008413833
-150.0 -93.0 -2.1266073152
-150.0 -92.0 -30.2300780709
-150.0 -91.0 -63.1680139012
-150.0 -90.0 -115.489105262
-150.0 -89.0 -169.446648894
-150.0 -88.0 -184.022787453
-150.0 -87.0 -121.978391991
-150.0 -86.0  23.8198236047
-150.0 -85.0  222.821688847
-150.0 -84.0  422.233737098
-150.0 -83.0  573.690657104
-150.0 -82.0  653.008102529
-150.0 -81.0  662.118657793
-150.0 -80.0  616.444962948
-150.0 -79.0  530.584638094
-150.0 -78.0  413.426323628
-150.0 -77.0  273.503194736
-150.0 -76.0  125.983546632
-150.0 -75.0 -7.92656985113
-150.0 -74.0 -110.392271207
-150.0 -73.0 -177.371031108
-150.0 -72.0 -220.421651157
-150.0 -71.0 -257.353316916
-150.0 -70.0 -298.944019998
-150.0 -69.0 -342.751495273
-150.0 -68.0 -379.238138599
-150.0 -67.0 -404.72925513
-150.0 -66.0 -429.269449428
-150.0 -65.0 -471.095404019
-150.0 -64.0 -540.650269421
-150.0 -63.0 -626.70995834
-150.0 -62.0 -697.015859406
-150.0 -61.0 -715.323836026
-150.0 -60.0 -663.946400199
-150.0 -59.0 -555.860528299
-150.0 -58.0 -427.507171508
-150.0 -57.0 -317.306738487
-150.0 -56.0 -245.035118175
-150.0 -55.0 -205.873060772
-150.0 -54.0 -181.433297806
-150.0 -53.0 -157.487650101
-150.0 -52.0 -134.112730291
-150.0 -51.0 -121.185511361
-150.0 -50.0 -124.375121586
-150.0 -49.0 -134.147298919
-150.0 -48.0 -127.274098132
-150.0 -47.0 -79.9017340917
-150.0 -46.0  17.8785378887
-150.0 -45.0  156.572943951
-150.0 -44.0  313.672464097
-150.0 -43.0  465.287959379
-150.0 -42.0  593.479058354
-150.0 -41.0  685.181338172
-150.0 -40.0  727.227384444
-150.0 -39.0  705.77538631
-150.0 -38.0  613.910903405
-150.0 -37.0  462.229941809
-150.0 -36.0  282.06225881
-150.0 -35.0  115.00765178
-150.0 -34.0 -6.80953432871
-150.0 -33.0 -76.5734420866
-150.0 -32.0 -112.506301668
-150.0 -31.0 -140.375785839
-150.0 -30.0 -170.731949785
-150.0 -29.0 -187.608389765
-150.0 -28.0 -157.667554554
-150.0 -27.0 -53.9425324565
-150.0 -26.0  122.429251552
-150.0 -25.0  337.617216883
-150.0 -24.0  540.336828696
-150.0 -23.0  685.776909007
-150.0 -22.0  752.246879076
-150.0 -21.0  741.750110452
-150.0 -20.0  668.436406949
-150.0 -19.0  546.845065219
-150.0 -18.0  389.209668767
-150.0 -17.0  211.0800887
-150.0 -16.0  36.287649633
-150.0 -15.0 -107.001012349
-150.0 -14.0 -198.613759133
-150.0 -13.0 -237.74028745
-150.0 -12.0 -243.26199863
-150.0 -11.0 -241.41697525
-150.0 -10.0 -249.742624856
-150.0 -9.0 -269.698685813
-150.0 -8.0 -293.323366817
-150.0 -7.0 -317.338365372
-150.0 -6.0 -351.427392153
-150.0 -5.0 -412.039947443
-150.0 -4.0 -505.621160794
-150.0 -3.0 -615.261125944
-150.0 -2.0 -703.567147884
-150.0 -1.0 -732.363618688
-150.0  0.0 -686.145159178
-150.0  1.0 -582.233489535
-150.0  2.0 -459.945320998
-150.0  3.0 -356.647457559
-150.0  4.0 -288.09162858
-150.0  5.0 -246.389368405
-150.0  6.0 -214.783097566
-150.0  7.0 -185.486621242
-150.0  8.0 -165.537278291
-150.0  9.0 -166.500906214
-150.0  10.0 -187.733427293
-150.0  11.0 -208.287056156
-150.0  12.0 -195.271796577
-150.0  13.0 -122.898112958
-150.0  14.0  12.0858300225
-150.0  15.0  189.463193872
-150.0  16.0  378.04392426
-150.0  17.0  550.313869337
-150.0  18.0  688.043269137
-150.0  19.0  777.383865879
-150.0  20.0  802.317095525
-150.0  21.0  746.792699567
