x z dist ED
 49.7 -44.5 -50.0 -282.721195881
 49.8 -44.4 -49.9 -275.667094104
 49.8 -44.3 -49.8 -268.870524778
 49.9 -44.2 -49.7 -262.328577074
 49.9 -44.2 -49.6 -256.038086467
 50.0 -44.1 -49.5 -249.995669076
 50.0 -44.0 -49.4 -244.197753386
 50.0 -43.9 -49.3 -238.640609207
 50.1 -43.8 -49.2 -233.320373757
 50.1 -43.7 -49.1 -228.233074794
 50.2 -43.6 -49.0 -223.374650746
 50.2 -43.5 -48.9 -218.740967821
 50.3 -43.4 -48.8 -214.327834086
 50.3 -43.4 -48.7 -210.131010575
 50.4 -43.3 -48.6 -206.146219469
 50.4 -43.2 -48.5 -202.369149443
 50.5 -43.1 -48.4 -198.795458288
 50.5 -43.0 -48.3 -195.420772947
 50.5 -42.9 -48.2 -192.240687121
 50.6 -42.8 -48.1 -189.250756614
 50.6 -42.7 -48.0 -186.446492621
 50.7 -42.6 -47.9 -183.82335316
 50.7 -42.6 -47.8 -181.376732879
 50.8 -42.5 -47.7 -179.101951461
 50.8 -42.4 -47.6 -176.99424089
 50.9 -42.3 -47.5 -175.048731802
 50.9 -42.2 -47.4 -173.260439203
 51.0 -42.1 -47.3 -171.624247797
 51.0 -42.0 -47.2 -170.134897181
 51.0 -41.9 -47.1 -168.786967174
 51.1 -41.8 -47.0 -167.574863518
 51.1 -41.8 -46.9 -166.492804204
 51.2 -41.7 -46.8 -165.534806655
 51.2 -41.6 -46.7 -164.694675998
 51.3 -41.5 -46.6 -163.965994626
 51.3 -41.4 -46.5 -163.34211326
 51.4 -41.3 -46.4 -162.81614369
 51.4 -41.2 -46.3 -162.380953356
 51.5 -41.1 -46.2 -162.029161924
 51.5 -41.0 -46.1 -161.75313998
 51.5 -40.9 -46.0 -161.545009946
 51.6 -40.9 -45.9 -161.396649313
 51.6 -40.8 -45.8 -161.299696239
 51.7 -40.7 -45.7 -161.245557567
 51.7 -40.6 -45.6 -161.225419277
 51.8 -40.5 -45.5 -161.230259358
 51.8 -40.4 -45.4 -161.250863088
 51.9 -40.3 -45.3 -161.277840664
 51.9 -40.2 -45.2 -161.301647108
 52.0 -40.1 -45.1 -161.312604363
 52.0 -40.1 -45.0 -161.300925468
 52.0 -40.0 -44.9 -161.256740672
 52.1 -39.9 -44.8 -161.170125344
 52.1 -39.8 -44.7 -161.031129515
 52.2 -39.7 -44.6 -160.82980886
 52.2 -39.6 -44.5 -160.556256939
 52.3 -39.5 -44.4 -160.200638476
 52.3 -39.4 -44.3 -159.753223471
 52.4 -39.3 -44.2 -159.204421906
 52.4 -39.3 -44.1 -158.544818822
 52.5 -39.2 -44.0 -157.765209526
 52.5 -39.1 -43.9 -156.856634685
 52.5 -39.0 -43.8 -155.81041507
 52.6 -38.9 -43.7 -154.618185702
 52.6 -38.8 -43.6 -153.271929174
 52.7 -38.7 -43.5 -151.764007902
 52.7 -38.6 -43.4 -150.087195094
 52.8 -38.5 -43.3 -148.234704208
 52.8 -38.5 -43.2 -146.200216689
 52.9 -38.4 -43.1 -143.977907813
 52.9 -38.3 -43.0 -141.562470418
 53.0 -38.2 -42.9 -138.94913639
 53.0 -38.1 -42.8 -136.133695732
 53.0 -38.0 -42.7 -133.112513087
 53.1 -37.9 -42.6 -129.882541597
 53.1 -37.8 -42.5 -126.441334012
 53.2 -37.7 -42.4 -122.787050948
 53.2 -37.7 -42.3 -118.918466268
 53.3 -37.6 -42.2 -114.834969523
 53.3 -37.5 -42.1 -110.536565449
 53.4 -37.4 -42.0 -106.023870531
 53.4 -37.3 -41.9 -101.298106654
 53.5 -37.2 -41.8 -96.3610918832
 53.5 -37.1 -41.7 -91.2152284537
 53.5 -37.0 -41.6 -85.8634880526
 53.6 -36.9 -41.5 -80.3093944937
 53.6 -36.9 -41.4 -74.5570039177
 53.7 -36.8 -41.3 -68.6108826554
 53.7 -36.7 -41.2 -62.4760829135
 53.8 -36.6 -41.1 -56.1581164537
