x z dist ED
 10.2 -48.9 -50.0 -154.485258644
 10.2 -48.8 -49.9 -152.150551543
 10.2 -48.7 -49.8 -150.004021687
 10.2 -48.6 -49.7 -148.054303025
 10.1 -48.6 -49.6 -146.309731858
 10.1 -48.5 -49.5 -144.778181152
 10.1 -48.4 -49.4 -143.466895871
 10.1 -48.3 -49.3 -142.382331011
 10.1 -48.2 -49.2 -141.529994015
 10.0 -48.1 -49.1 -140.914293164
 10.0 -48.0 -49.0 -140.538393528
 10.0 -47.9 -48.9 -140.40408196
 10.0 -47.8 -48.8 -140.511642532
 10.0 -47.7 -48.7 -140.859743738
 9.9 -47.6 -48.6 -141.445338655
 9.9 -47.5 -48.5 -142.263579132
 9.9 -47.4 -48.4 -143.307744974
 9.9 -47.3 -48.3 -144.569188915
 9.9 -47.2 -48.2 -146.037298052
 9.8 -47.1 -48.1 -147.699472249
 9.8 -47.0 -48.0 -149.541119872
 9.8 -46.9 -47.9 -151.545671052
 9.8 -46.8 -47.8 -153.694608509
 9.8 -46.7 -47.7 -155.967515833
 9.7 -46.6 -47.6 -158.342142923
 9.7 -46.5 -47.5 -160.794488166
 9.7 -46.4 -47.4 -163.298896769
 9.7 -46.3 -47.3 -165.828174518
 9.7 -46.2 -47.2 -168.35371609
 9.6 -46.1 -47.1 -170.845646946
 9.6 -46.0 -47.0 -173.272977678
 9.6 -45.9 -46.9 -175.603769588
 9.6 -45.8 -46.8 -177.805310204
 9.5 -45.7 -46.7 -179.84429731
 9.5 -45.6 -46.6 -181.687030031
 9.5 -45.5 -46.5 -183.299605452
 9.5 -45.4 -46.4 -184.648119183
 9.5 -45.3 -46.3 -185.698868291
 9.4 -45.2 -46.2 -186.418554969
 9.4 -45.1 -46.1 -186.774489347
 9.4 -45.0 -46.0 -186.734789839
 9.4 -44.9 -45.9 -186.26857946
 9.4 -44.8 -45.8 -185.346176602
 9.3 -44.7 -45.7 -183.939278791
 9.3 -44.6 -45.6 -182.021138044
 9.3 -44.5 -45.5 -179.566726504
 9.3 -44.4 -45.4 -176.55289114
 9.3 -44.3 -45.3 -172.958496402
 9.2 -44.2 -45.2 -168.764553819
 9.2 -44.1 -45.1 -163.954337672
 9.2 -44.0 -45.0 -158.513485979
 9.2 -44.0 -44.9 -152.430086179
 9.2 -43.9 -44.8 -145.694745032
 9.1 -43.8 -44.7 -138.300642398
 9.1 -43.7 -44.6 -130.243568683
 9.1 -43.6 -44.5 -121.521945919
 9.1 -43.5 -44.4 -112.136832531
 9.1 -43.4 -44.3 -102.091912049
 9.0 -43.3 -44.2 -91.393466093
 9.0 -43.2 -44.1 -80.0503321355
 9.0 -43.1 -44.0 -68.0738466472
 9.0 -43.0 -43.9 -55.4777743522
 9.0 -42.9 -43.8 -42.2782244279
 8.9 -42.8 -43.7 -28.4935545813
 8.9 -42.7 -43.6 -14.144264022
 8.9 -42.6 -43.5  0.747123572096
 8.9 -42.5 -43.4  16.1561859342
 8.9 -42.4 -43.3  32.0567357185
 8.8 -42.3 -43.2  48.4209603862
 8.8 -42.2 -43.1  65.2195671856
 8.8 -42.1 -43.0  82.4219319289
 8.8 -42.0 -42.9  99.9962502695
 8.8 -41.9 -42.8  117.909690191
 8.7 -41.8 -42.7  136.128544447
 8.7 -41.7 -42.6  154.618381729
 8.7 -41.6 -42.5  173.344195371
 8.7 -41.5 -42.4  192.270548497
 8.7 -41.4 -42.3  211.361714534
 8.6 -41.3 -42.2  230.581812139
 8.6 -41.2 -42.1  249.894933657
 8.6 -41.1 -42.0  269.26526631
 8.6 -41.0 -41.9  288.657205448
 8.5 -40.9 -41.8  308.035459279
 8.5 -40.8 -41.7  327.36514461
 8.5 -40.7 -41.6  346.611873254
 8.5 -40.6 -41.5  365.741828864
 8.5 -40.5 -41.4  384.721834085
 8.4 -40.4 -41.3  403.519408019
 8.4 -40.3 -41.2  422.102814116
 8.4 -40.2 -41.1  440.441098726
 8.4 -40.1 -41.0  458.50412064
 8.4 -40.0 -40.9  476.262572049
 8.3 -39.9 -40.8  493.687991465
 8.3 -39.8 -40.7  510.752769209
 8.3 -39.7 -40.6  527.430146172
 8.3 -39.6 -40.5  543.694206605
 8.3 -39.5 -40.4  559.51986578
 8.2 -39.4 -40.3  574.882853372
 8.2 -39.4 -40.2  589.759693505
 8.2 -39.3 -40.1  604.127682375
 8.2 -39.2 -40.0  617.964864424
 8.2 -39.1 -39.9  631.250008004
 8.1 -39.0 -39.8  643.962581494
 8.1 -38.9 -39.7  656.082730786
 8.1 -38.8 -39.6  667.591259035
 8.1 -38.7 -39.5  678.469609526
 8.1 -38.6 -39.4  688.699852452
 8.0 -38.5 -39.3  698.264676325
 8.0 -38.4 -39.2  707.147384694
 8.0 -38.3 -39.1  715.331898716
 8.0 -38.2 -39.0  722.802766093
 8.0 -38.1 -38.9  729.545176732
 7.9 -38.0 -38.8  735.544985425
 7.9 -37.9 -38.7  740.788741726
 7.9 -37.8 -38.6  745.263727074
 7.9 -37.7 -38.5  748.957999125
 7.9 -37.6 -38.4  751.860443123
 7.8 -37.5 -38.3  753.960830038
 7.8 -37.4 -38.2  755.249881066
 7.8 -37.3 -38.1  755.719338021
 7.8 -37.2 -38.0  755.362038981
 7.8 -37.1 -37.9  754.171998512
 7.7 -37.0 -37.8  752.144491662
 7.7 -36.9 -37.7  749.276140838
 7.7 -36.8 -37.6  745.56500462
 7.7 -36.7 -37.5  741.010667473
 7.6 -36.6 -37.4  735.614329277
