x z ED
-150.0 -100.0  703.492696047
-150.0 -99.0  690.443633069
-150.0 -98.0  625.747237168
-150.0 -97.0  503.839662941
-150.0 -96.0  340.688089521
-150.0 -95.0  174.515058536
-150.0 -94.0  46.675531939
-150.0 -93.0 -24.0806255309
-150.0 -92.0 -52.9268514564
-150.0 -91.0 -74.7790653219
-150.0 -90.0 -113.91685113
-150.0 -89.0 -160.828042711
-150.0 -88.0 -175.35968659
-150.0 -87.0 -115.203927529
-150.0 -86.0  31.2010436629
-150.0 -85.0  232.048755769
-150.0 -84.0  429.009958292
-150.0 -83.0  570.396735215
-150.0 -82.0  636.102624117
-150.0 -81.0  637.914184135
-150.0 -80.0  599.07096746
-150.0 -79.0  532.483845318
-150.0 -78.0  435.556587807
-150.0 -77.0  303.409624474
-150.0 -76.0  145.88776369
-150.0 -75.0 -8.96947958602
-150.0 -74.0 -129.550886919
-150.0 -73.0 -201.32261256
-150.0 -72.0 -235.641690522
-150.0 -71.0 -258.928219051
-150.0 -70.0 -291.409376186
-150.0 -69.0 -333.653077486
-150.0 -68.0 -372.101535726
-150.0 -67.0 -397.797666997
-150.0 -66.0 -420.364262221
-150.0 -65.0 -462.948152524
-150.0 -64.0 -540.597679423
-150.0 -63.0 -640.15616685
-150.0 -62.0 -720.459843856
-150.0 -61.0 -736.013346265
-150.0 -60.0 -667.875577641
-150.0 -59.0 -538.388150759
-150.0 -58.0 -397.93656291
-150.0 -57.0 -293.184941685
-150.0 -56.0 -240.173468367
-150.0 -55.0 -221.22513972
-150.0 -54.0 -205.624045159
-150.0 -53.0 -175.963325537
-150.0 -52.0 -139.198449888
-150.0 -51.0 -115.315477518
-150.0 -50.0 -115.099295662
-150.0 -49.0 -126.49203665
-150.0 -48.0 -120.6026436
-150.0 -47.0 -71.5137939036
-150.0 -46.0  26.8342291695
-150.0 -45.0  159.543374297
-150.0 -44.0  303.931051723
-150.0 -43.0  443.560048662
-150.0 -42.0  570.535696813
-150.0 -41.0  675.78261064
-150.0 -40.0  739.345620062
-150.0 -39.0  733.6888426
-150.0 -38.0  641.212287586
-150.0 -37.0  472.932154476
-150.0 -36.0  271.38244436
-150.0 -35.0  91.6744724588
-150.0 -34.0 -27.9762086742
-150.0 -33.0 -85.3753279595
-150.0 -32.0 -108.885852335
-150.0 -31.0 -131.299114989
-150.0 -30.0 -162.489133774
-150.0 -29.0 -180.966801454
-150.0 -28.0 -149.867880731
-150.0 -27.0 -44.6768671974
-150.0 -26.0  127.790921625
-150.0 -25.0  331.614777689
-150.0 -24.0  521.127493365
-150.0 -23.0  661.695796075
-150.0 -22.0  737.988621535
-150.0 -21.0  748.089285517
-150.0 -20.0  693.457837966
-150.0 -19.0  576.123035785
-150.0 -18.0  405.398624765
-150.0 -17.0  205.73949679
-150.0 -16.0  14.9319465315
-150.0 -15.0 -130.100283814
-150.0 -14.0 -211.14836688
-150.0 -13.0 -236.913469357
-150.0 -12.0 -234.861795404
-150.0 -11.0 -232.627713494
-150.0 -10.0 -242.896024058
-150.0 -9.0 -262.444130466
-150.0 -8.0 -284.151580978
-150.0 -7.0 -310.164520984
-150.0 -6.0 -353.851480239
-150.0 -5.0 -428.11544367
-150.0 -4.0 -529.731848798
-150.0 -3.0 -633.558206993
-150.0 -2.0 -703.143783369
-150.0 -1.0 -711.318795288
-150.0  0.0 -656.196648267
-150.0  1.0 -561.188666136
-150.0  2.0 -459.521956483
-150.0  3.0 -374.944538608
-150.0  4.0 -312.202316584
-150.0  5.0 -262.464864632
-150.0  6.0 -217.207185652
-150.0  7.0 -178.312776855
-150.0  8.0 -156.365492452
-150.0  9.0 -159.246350867
-150.0  10.0 -180.886826496
-150.0  11.0 -199.4977944
-150.0  12.0 -186.871593351
-150.0  13.0 -122.071294866
-150.0  14.0 -0.448777724827
-150.0  15.0  166.363922408
-150.0  16.0  356.688221159
-150.0  17.0  544.973277426
-150.0  18.0  704.232225134
-150.0  19.0  806.661836445
-150.0  20.0  827.338526543
-150.0  21.0  753.131874632
-150.0  22.0  592.736258423
-150.0  23.0  379.730416069
-150.0  24.0  163.1571076
-150.0  25.0 -11.7283441757
-150.0  26.0 -122.079646516
-150.0  27.0 -173.849537662
-150.0  28.0 -191.531120874
-150.0  29.0 -197.722878865
-150.0  30.0 -195.919573028
-150.0  31.0 -167.84710834
-150.0  32.0 -86.9009004422
