x z dist ED
 49.7 -44.5 -50.0 -291.883994014
 49.8 -44.4 -49.9 -286.182418724
 49.8 -44.3 -49.8 -280.716467287
 49.9 -44.2 -49.7 -275.477143936
 49.9 -44.2 -49.6 -270.45523445
 50.0 -44.1 -49.5 -265.641368579
 50.0 -44.0 -49.4 -261.026079895
 50.0 -43.9 -49.3 -256.599862775
 50.1 -43.8 -49.2 -252.353226296
 50.1 -43.7 -49.1 -248.276744824
 50.2 -43.6 -49.0 -244.36110511
 50.2 -43.5 -48.9 -240.597149736
 50.3 -43.4 -48.8 -236.975916809
 50.3 -43.4 -48.7 -233.488675782
 50.4 -43.3 -48.6 -230.126959368
 50.4 -43.2 -48.5 -226.882591492
 50.5 -43.1 -48.4 -223.747711291
 50.5 -43.0 -48.3 -220.714793176
 50.5 -42.9 -48.2 -217.776663015
 50.6 -42.8 -48.1 -214.926510508
 50.6 -42.7 -48.0 -212.157897852
 50.7 -42.6 -47.9 -209.464764825
 50.7 -42.6 -47.8 -206.841430426
 50.8 -42.5 -47.7 -204.282591236
 50.8 -42.4 -47.6 -201.783316685
 50.9 -42.3 -47.5 -199.339041408
 50.9 -42.2 -47.4 -196.94555492
 51.0 -42.1 -47.3 -194.598988801
 51.0 -42.0 -47.2 -192.295801651
 51.0 -41.9 -47.1 -190.032762029
 51.1 -41.8 -47.0 -187.806929637
 51.1 -41.8 -46.9 -185.615634971
 51.2 -41.7 -46.8 -183.456457717
 51.2 -41.6 -46.7 -181.327204105
 51.3 -41.5 -46.6 -179.225883492
 51.3 -41.4 -46.5 -177.150684395
 51.4 -41.3 -46.4 -175.099950213
 51.4 -41.2 -46.3 -173.072154868
 51.5 -41.1 -46.2 -171.065878571
 51.5 -41.0 -46.1 -169.079783923
 51.5 -40.9 -46.0 -167.112592551
 51.6 -40.9 -45.9 -165.163062445
 51.6 -40.8 -45.8 -163.229966173
 51.7 -40.7 -45.7 -161.312070125
 51.7 -40.6 -45.6 -159.408114914
 51.8 -40.5 -45.5 -157.516797068
 51.8 -40.4 -45.4 -155.636752096
 51.9 -40.3 -45.3 -153.76653904
 51.9 -40.2 -45.2 -151.904626563
 52.0 -40.1 -45.1 -150.049380635
 52.0 -40.1 -45.0 -148.199053856
 52.0 -40.0 -44.9 -146.35177643
 52.1 -39.9 -44.8 -144.50554881
 52.1 -39.8 -44.7 -142.658235983
 52.2 -39.7 -44.6 -140.807563394
 52.2 -39.6 -44.5 -138.95111446
 52.3 -39.5 -44.4 -137.08632962
 52.3 -39.4 -44.3 -135.210506876
 52.4 -39.3 -44.2 -133.320803744
 52.4 -39.3 -44.1 -131.414240527
 52.5 -39.2 -44.0 -129.487704839
 52.5 -39.1 -43.9 -127.537957272
 52.5 -39.0 -43.8 -125.561638112
 52.6 -38.9 -43.7 -123.555274989
 52.6 -38.8 -43.6 -121.515291369
 52.7 -38.7 -43.5 -119.438015761
 52.7 -38.6 -43.4 -117.319691542
 52.8 -38.5 -43.3 -115.156487283
 52.8 -38.5 -43.2 -112.944507469
 52.9 -38.4 -43.1 -110.679803516
 52.9 -38.3 -43.0 -108.358384971
 53.0 -38.2 -42.9 -105.976230811
 53.0 -38.1 -42.8 -103.529300749
 53.0 -38.0 -42.7 -101.013546462
 53.1 -37.9 -42.6 -98.424922663
 53.1 -37.8 -42.5 -95.7593979596
 53.2 -37.7 -42.4 -93.0129654324
 53.2 -37.7 -42.3 -90.1816528869
 53.3 -37.6 -42.2 -87.2615327384
 53.3 -37.5 -42.1 -84.2487315004
 53.4 -37.4 -42.0 -81.1394388548
 53.4 -37.3 -41.9 -77.9299162923
 53.5 -37.2 -41.8 -74.6165053224
 53.5 -37.1 -41.7 -71.1956352591
 53.5 -37.0 -41.6 -67.6638305994
 53.6 -36.9 -41.5 -64.0177180177
 53.6 -36.9 -41.4 -60.2540330095
 53.7 -36.8 -41.3 -56.3696262235
 53.7 -36.7 -41.2 -52.3614695266
 53.8 -36.6 -41.1 -48.2266618547
 53.8 -36.5 -41.0 -43.9624349044
 53.9 -36.4 -40.9 -39.5661587254
 53.9 -36.3 -40.8 -35.0353472763
 54.0 -36.2 -40.7 -30.3676640086
 54.0 -36.1 -40.6 -25.5609275439
 54.1 -36.1 -40.5 -20.6131175092
 54.1 -36.0 -40.4 -15.5223805945
 54.1 -35.9 -40.3 -10.2870368938
 54.2 -35.8 -40.2 -4.90558658779
 54.2 -35.7 -40.1  0.623282978337
 54.3 -35.6 -40.0  6.3006897732
 54.3 -35.5 -39.9  12.1275490716
 54.4 -35.4 -39.8  18.1045649261
 54.4 -35.3 -39.7  24.2322210902
 54.5 -35.3 -39.6  30.510771375
 54.5 -35.2 -39.5  36.9402294296
 54.6 -35.1 -39.4  43.5203579463
 54.6 -35.0 -39.3  50.2506573008
 54.6 -34.9 -39.2  57.1303536491
 54.7 -34.8 -39.1  64.1583865131
 54.7 -34.7 -39.0  71.3333958989
 54.8 -34.6 -38.9  78.6537090012
 54.8 -34.5 -38.8  86.1173265596
 54.9 -34.5 -38.7  93.7219089436
 54.9 -34.4 -38.6  101.464762051
 55.0 -34.3 -38.5  109.342823118
 55.0 -34.2 -38.4  117.35264655
 55.1 -34.1 -38.3  125.490389877
 55.1 -34.0 -38.2  133.751799974
 55.1 -33.9 -38.1  142.132199663
 55.2 -33.8 -38.0  150.626474837
 55.2 -33.7 -37.9  159.229062255
 55.3 -33.7 -37.8  167.933938146
 55.3 -33.6 -37.7  176.734607775
 55.4 -33.5 -37.6  185.624096125
 55.4 -33.4 -37.5  194.594939844
 55.5 -33.3 -37.4  203.639180615
 55.5 -33.2 -37.3  212.748360087
 55.6 -33.1 -37.2  221.913516526
 55.6 -33.0 -37.1  231.125183323
 55.6 -32.9 -37.0  240.373389494
 55.7 -32.8 -36.9  249.647662298
 55.7 -32.8 -36.8  258.937032097
 55.8 -32.7 -36.7  268.230039575
 55.8 -32.6 -36.6  277.51474539
 55.9 -32.5 -36.5  286.778742378
 55.9 -32.4 -36.4  296.009170351
 56.0 -32.3 -36.3  305.192733574
 56.0 -32.2 -36.2  314.315720939
