 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -52.49
 1  0  0.109  100.00  -90.61
 1  1  0.122   44.37   48.14
 1  2  0.000    0.00  -13.39
 1  3  0.182   10.04   -1.61
 2 -2  0.224   19.55  -35.52
 2 -1  0.217   80.42  -52.48
 2  0  0.218   30.88  -30.42
 2  1  0.228   42.99   78.43
 2  2  0.246   27.15  -64.90
 2  3  0.270   15.83   18.89
 2  4  0.298    9.57    9.67
 2  5  0.329    6.54   -7.08
 3 -2  0.326   36.45   14.88
 3 -1  0.324   50.72    8.43
 3  0  0.326   14.48   -5.49
 3  1  0.335    8.02  -10.52
 3  2  0.350   11.36   16.28
 3  3  0.368   14.96   -8.18
 3  4  0.392   14.07    0.69
 3  5  0.418    8.96   -0.09
 4 -3  0.437   25.87  -68.05
 4 -2  0.432   47.09  -35.91
 4 -1  0.431   24.92    9.50
 4  0  0.435   18.29   22.21
 4  1  0.443    8.65   -4.16
 4  2  0.456   10.57  -30.48
 4  4  0.493    3.42  -14.49
 4  5  0.514    4.66    0.13
 4  6  0.539    2.83    1.18
 5 -3  0.541   17.38  -22.69
 5 -2  0.539   18.55    2.58
 5 -1  0.540    8.68   18.83
 5  0  0.544    7.39    1.40
 5  1  0.551    7.56  -25.28
 6 -4  0.652    6.34    6.68
 6 -3  0.648    6.32    0.43
 6 -2  0.646    4.31   -5.10
 6 -1  0.647    1.38   -1.49
 6  0  0.653    4.16    4.54
 6  1  0.659    1.52    2.21
 6  3  0.684   10.66   -2.65
 6  4  0.700   11.95    3.64
 7 -4  0.757   11.68   -8.72
 7 -3  0.754    9.83   19.85
 7 -2  0.754    4.89    8.64
 7 -1  0.756    4.63  -11.68
 7  0  0.760    3.44   -8.35
