 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.10
 1  0  0.109  100.00 -100.27
 1  1  0.122   44.37   39.03
 1  2  0.000    0.00  -26.33
 1  3  0.182   10.04   19.50
 2 -2  0.224   19.55   -5.26
 2 -1  0.217   80.42  -79.31
 2  0  0.218   30.88  -29.81
 2  1  0.228   42.99   24.88
 2  2  0.246   27.15  -23.14
 2  3  0.270   15.83   21.40
 2  4  0.298    9.57  -19.14
 2  5  0.329    6.54   16.34
 3 -2  0.326   36.45   25.44
 3 -1  0.324   50.72   44.44
 3  0  0.326   14.48   -6.46
 3  1  0.335    8.02   -1.28
 3  2  0.350   11.36    5.68
 3  3  0.368   14.96   -8.64
 3  4  0.392   14.07   10.53
 3  5  0.418    8.96  -11.43
 4 -3  0.437   25.87    0.67
 4 -2  0.432   47.09  -49.52
 4 -1  0.431   24.92  -24.45
 4  0  0.435   18.29   13.97
 4  1  0.443    8.65   -8.96
 4  2  0.456   10.57    4.63
 4  4  0.493    3.42   -3.60
 4  5  0.514    4.66    7.18
 4  6  0.539    2.83  -10.06
 5 -3  0.541   17.38  -10.45
 5 -2  0.539   18.55  -23.30
 5 -1  0.540    8.68    0.97
 5  0  0.544    7.39    1.88
 5  1  0.551    7.56   -2.93
 6 -4  0.652    6.34    0.92
 6 -3  0.648    6.32   -9.67
 6 -2  0.646    4.31   -6.37
 6 -1  0.647    1.38    2.79
 6  0  0.653    4.16   -1.41
 6  1  0.659    1.52    0.44
 6  3  0.684   10.66   -0.85
 6  4  0.700   11.95    1.15
 7 -4  0.757   11.68   -6.14
 7 -3  0.754    9.83  -19.19
 7 -2  0.754    4.89   -1.09
 7 -1  0.756    4.63    2.41
 7  0  0.760    3.44   -2.61
