 h  k      q   F_exp F_model
 1 -2  0.000    0.00  -26.51
 1 -1  0.111   86.60  -65.32
 1  0  0.109  100.00  -93.60
 1  1  0.122   44.37   47.59
 1  2  0.000    0.00   -7.87
 1  3  0.182    9.91   -0.55
 1  4  0.000    0.00   -0.15
 2 -3  0.000    0.00    1.11
 2 -2  0.224   18.41   -2.28
 2 -1  0.217   75.72  -16.11
 2  0  0.218   28.75  -10.30
 2  1  0.228   40.02   67.86
 2  2  0.246   25.27  -72.94
 2  3  0.270   14.74   20.25
 2  4  0.298    8.91    9.90
 2  5  0.329    6.01   -2.83
 2  6  0.000    0.00   -2.10
 3 -3  0.000    0.00  -56.42
 3 -2  0.326   33.20  -37.44
 3 -1  0.324   46.21   -5.22
 3  0  0.326   13.19    2.96
 3  1  0.335    7.30   -0.83
 3  2  0.350   10.24   -0.42
 3  3  0.368   13.49   12.41
 3  4  0.392   12.68   -5.36
 3  5  0.418    8.07   -9.80
 3  6  0.000    0.00    1.70
 4 -4  0.000    0.00  -14.59
 4 -3  0.437   23.00  -29.23
 4 -2  0.432   42.73  -11.80
 4 -1  0.431   22.62   22.63
 4  0  0.435   16.23   18.87
 4  1  0.443    7.24  -19.09
 4  2  0.456    9.97  -28.35
 4  3  0.000    0.00   35.15
 4  4  0.493    3.03   -8.53
 4  5  0.514    4.16   -0.04
 4  6  0.539    2.53   -0.24
 4  7  0.000    0.00    0.15
 5 -4  0.000    0.00  -20.01
 5 -3  0.541   15.35   -1.63
 5 -2  0.539   16.39   -0.49
 5 -1  0.540    7.66   -0.02
 5  0  0.544    6.53   -2.28
 5  1  0.551    6.68   -9.30
 5  2  0.000    0.00    8.46
 6 -5  0.000    0.00  -43.65
 6 -4  0.652    5.89  -15.65
 6 -3  0.648    5.94   18.19
 6 -2  0.646    3.88   13.27
 6 -1  0.648    3.47   -7.40
 6  0  0.653    3.43   -6.85
 6  1  0.660    3.84    1.03
 6  2  0.671    0.00   -0.16
 6  3  0.684    3.52    0.04
 6  4  0.700    3.42   -7.39
 6  5  0.000    0.00   31.52
 7 -5  0.000    0.00    0.37
 7 -4  0.757    9.97   -0.11
 7 -3  0.754    8.15    2.15
 7 -2  0.754    4.28   -3.67
 7 -1  0.756    3.65  -10.01
 7  0  0.760    2.82    4.22
 7  1  0.000    0.00   17.04
 7  2  0.000    0.00   -0.31
 9 -6  0.000    0.00    2.04
 9 -5  0.975    6.14    5.46
 9 -4  0.973    5.63   -4.52
 9 -3  0.972    0.00  -11.29
 9 -2  0.973    3.04    2.53
 9 -1  0.976    0.00   11.76
 9  0  0.981    2.19    0.70
 9  1  0.000    0.00   -6.33
