x z ED
-150.0 -100.0  653.164257812
-150.0 -99.0  641.839117672
-150.0 -98.0  578.988501646
-150.0 -97.0  454.748515205
-150.0 -96.0  284.47704016
-150.0 -95.0  109.713735399
-150.0 -94.0 -22.3585553865
-150.0 -93.0 -87.0745822306
-150.0 -92.0 -96.0715127777
-150.0 -91.0 -84.7199071474
-150.0 -90.0 -81.984032784
-150.0 -89.0 -86.1302163757
-150.0 -88.0 -65.8119254763
-150.0 -87.0  13.755520359
-150.0 -86.0  159.778512685
-150.0 -85.0  340.257268799
-150.0 -84.0  500.768566036
-150.0 -83.0  596.621349872
-150.0 -82.0  616.148732079
-150.0 -81.0  579.133842012
-150.0 -80.0  514.66251342
-150.0 -79.0  438.181949275
-150.0 -78.0  345.97835401
-150.0 -77.0  228.9798248
-150.0 -76.0  91.1564416569
-150.0 -75.0 -45.152947917
-150.0 -74.0 -152.08195993
-150.0 -73.0 -215.768785494
-150.0 -72.0 -245.15772094
-150.0 -71.0 -262.359650346
-150.0 -70.0 -283.435769497
-150.0 -69.0 -307.093944011
-150.0 -68.0 -321.635877741
-150.0 -67.0 -323.669220978
-150.0 -66.0 -330.46729843
-150.0 -65.0 -372.153722547
-150.0 -64.0 -467.174834633
-150.0 -63.0 -600.315122328
-150.0 -62.0 -722.92498058
-150.0 -61.0 -778.72437427
-150.0 -60.0 -738.26546628
-150.0 -59.0 -617.386196087
-150.0 -58.0 -466.375566829
-150.0 -57.0 -338.248250639
-150.0 -56.0 -259.367058568
-150.0 -55.0 -222.231205065
-150.0 -54.0 -201.99597752
-150.0 -53.0 -180.339661091
-150.0 -52.0 -156.836008297
-150.0 -51.0 -140.761493358
-150.0 -50.0 -133.659561745
-150.0 -49.0 -120.217928833
-150.0 -48.0 -76.5743172002
-150.0 -47.0  10.9481022025
-150.0 -46.0  133.212512685
-150.0 -45.0  263.089528918
-150.0 -44.0  373.909862464
-150.0 -43.0  455.938686012
-150.0 -42.0  517.107677782
-150.0 -41.0  568.09385337
-150.0 -40.0  605.642165005
-150.0 -39.0  609.7529904
-150.0 -38.0  558.363190621
-150.0 -37.0  447.661531527
-150.0 -36.0  300.555821717
-150.0 -35.0  155.117455397
-150.0 -34.0  41.4357375848
-150.0 -33.0 -34.7442221553
-150.0 -32.0 -88.4768000443
-150.0 -31.0 -135.340306536
-150.0 -30.0 -171.528338992
-150.0 -29.0 -171.394928896
-150.0 -28.0 -105.496305004
-150.0 -27.0  34.4958951949
-150.0 -26.0  223.440517243
-150.0 -25.0  412.761041789
-150.0 -24.0  555.608172571
-150.0 -23.0  628.990048838
-150.0 -22.0  638.23787249
-150.0 -21.0  603.538274998
-150.0 -20.0  541.475979884
-150.0 -19.0  456.310271044
-150.0 -18.0  345.688667476
-150.0 -17.0  212.897958539
-150.0 -16.0  73.17822347
-150.0 -15.0 -51.8043953585
-150.0 -14.0 -146.045893162
-150.0 -13.0 -206.861681936
-150.0 -12.0 -241.682620582
-150.0 -11.0 -257.929902865
-150.0 -10.0 -256.50601159
-150.0 -9.0 -236.088906647
-150.0 -8.0 -204.847225145
-150.0 -7.0 -187.776074209
-150.0 -6.0 -219.529163257
-150.0 -5.0 -323.911957163
-150.0 -4.0 -493.243988252
-150.0 -3.0 -683.500088262
-150.0 -2.0 -831.508834712
-150.0 -1.0 -885.297377526
-150.0  0.0 -829.251523528
-150.0  1.0 -689.130903168
-150.0  2.0 -515.482676042
-150.0  3.0 -357.578546451
-150.0  4.0 -244.12027745
-150.0  5.0 -179.723121421
-150.0  6.0 -154.173838531
-150.0  7.0 -153.99438951
-150.0  8.0 -167.622985352
-150.0  9.0 -183.515177429
-150.0  10.0 -187.167715637
-150.0  11.0 -163.035839494
-150.0  12.0 -101.431842561
-150.0  13.0 -4.65644730124
-150.0  14.0  113.676915881
-150.0  15.0  236.578052996
-150.0  16.0  352.842383402
-150.0  17.0  459.888168405
-150.0  18.0  557.8062331
-150.0  19.0  639.778467958
-150.0  20.0  687.742792562
-150.0  21.0  678.608971544
-150.0  22.0  598.014291691
-150.0  23.0  452.104385998
-150.0  24.0  268.446269022
-150.0  25.0  84.7036174709
-150.0  26.0 -67.5379411007
-150.0  27.0 -173.112845707
-150.0  28.0 -231.771720087
-150.0  29.0 -247.822416766
-150.0  30.0 -220.324118935
-150.0  31.0 -142.220920915
-150.0  32.0 -9.26139041929
-150.0  33.0  168.596718508
-150.0  34.0  363.050031203
-150.0  35.0  535.22427599
-150.0  36.0  651.251226302
-150.0  37.0  695.775704032
-150.0  38.0  675.002864427
-150.0  39.0  608.344352447
-150.0  40.0  515.441109696
-150.0  41.0  407.664861926
-150.0  42.0  288.776160202
-150.0  43.0  162.042351528
-150.0  44.0  36.592036798
-150.0  45.0 -72.6768315756
-150.0  46.0 -151.448889411
-150.0  47.0 -193.278949651
-150.0  48.0 -202.218399617
-150.0  49.0 -189.623652817
-150.0  50.0 -168.973384008
-150.0  51.0 -153.527478501
-150.0  52.0 -157.802224731
-150.0  53.0 -198.75685768
-150.0  54.0 -291.378964542
-150.0  55.0 -437.981656702
-150.0  56.0 -617.645873626
-150.0  57.0 -785.56121541
-150.0  58.0 -887.506931705
-150.0  59.0 -884.472665641
-150.0  60.0 -773.754075336
-150.0  61.0 -592.878018499
-150.0  62.0 -402.524737286
-150.0  63.0 -257.883097377
-150.0  64.0 -185.21335476
-150.0  65.0 -176.435420664
-150.0  66.0 -202.195234373
-150.0  67.0 -232.143859232
-150.0  68.0 -248.410967009
-150.0  69.0 -245.709235621
-150.0  70.0 -222.610924842
-150.0  71.0 -174.384909555
-150.0  72.0 -94.3013860637
-150.0  73.0  18.6718585283
-150.0  74.0  154.149226849
-150.0  75.0  293.084629466
-150.0  76.0  417.398097868
-150.0  77.0  518.046132531
-150.0  78.0  594.058233559
-150.0  79.0  643.325352103
-150.0  80.0  654.258806306
-150.0  81.0  608.001778299
-150.0  82.0  492.292304381
-150.0  83.0  317.148980676
-150.0  84.0  118.840281754
-150.0  85.0 -53.789790175
-150.0  86.0 -162.995511295
-150.0  87.0 -199.535807522
-150.0  88.0 -181.399332913
-150.0  89.0 -135.345922558
-150.0  90.0 -75.8765895625
-150.0  91.0  2.06499650343
-150.0  92.0  111.671885172
-150.0  93.0  254.438957174
-150.0  94.0  409.066052073
-150.0  95.0  539.034726961
-150.0  96.0  613.423308791
-150.0  97.0  624.646926433
-150.0  98.0  589.364218479
-150.0  99.0  532.581028205
-150.0  100.0  468.494557071
-148.5 -100.0  634.238848135
-148.5 -99.0  636.633800735
-148.5 -98.0  594.977872548
-148.5 -97.0  494.477540712
-148.5 -96.0  341.35459319
-148.5 -95.0  169.826936115
-148.5 -94.0  26.8616815183
-148.5 -93.0 -55.7569871043
-148.5 -92.0 -80.4536996015
-148.5 -91.0 -77.9872532148
-148.5 -90.0 -80.1698369539
-148.5 -89.0 -92.3155220572
-148.5 -88.0 -87.5719583061
-148.5 -87.0 -28.314972606
-148.5 -86.0  101.721628823
-148.5 -85.0  279.589212158
-148.5 -84.0  453.400221314
-148.5 -83.0  572.708002646
-148.5 -82.0  615.968936067
-148.5 -81.0  595.657425494
-148.5 -80.0  540.137727323
-148.5 -79.0  469.301230076
-148.5 -78.0  383.89256409
-148.5 -77.0  274.974927875
-148.5 -76.0  142.320790066
-148.5 -75.0  3.72445505344
-148.5 -74.0 -113.526619265
-148.5 -73.0 -191.273755739
-148.5 -72.0 -232.396631936
-148.5 -71.0 -255.421806458
-148.5 -70.0 -276.979008088
-148.5 -69.0 -298.365693307
