 h  k      q   F_exp F_model
 1 -1  0.111   72.39  -69.99
 1  0  0.109  100.00  -88.49
 1  1  0.122   42.46   19.49
 1  3  0.182    9.06   -4.58
 2 -2  0.224   17.86  -21.08
 2 -1  0.217   77.81  -58.92
 2  0  0.218   29.59  -32.53
 2  1  0.228   40.20   30.68
 2  2  0.246   25.19  -24.38
 2  3  0.270   14.89   15.02
 2  4  0.298    9.68   -5.17
 2  5  0.329    5.81   -2.28
 2  6  0.363    4.24    5.05
 3 -2  0.326   33.09   32.49
 3 -1  0.324   46.90   39.49
 3  0  0.326   13.08   -4.64
 3  1  0.335    0.00   -6.99
 3  2  0.350   10.25   12.96
 3  3  0.368   14.16  -14.81
 3  4  0.392   13.55   13.46
 3  5  0.418    9.97  -10.14
 3  6  0.446    6.13    6.32
 4 -3  0.437   23.40  -19.01
 4 -2  0.432   43.60  -43.76
 4 -1  0.431   22.39  -19.73
 4  0  0.435   16.62   14.14
 4  1  0.443    6.84   -7.51
 4  2  0.456    9.90    1.18
 4  3  0.000    0.00    3.55
 4  4  0.493    4.36   -5.98
 4  5  0.514    6.22    6.10
 4  6  0.539    6.41   -4.50
 5 -3  0.541   16.19  -18.24
 5 -2  0.539   16.59  -21.51
 5 -1  0.540    7.71    1.70
 5  0  0.544    6.78    5.10
 5  1  0.551    6.54   -8.58
 6 -4  0.652    6.43   -1.86
 6 -3  0.648    5.92   -3.89
 6 -2  0.646    3.92   -1.57
 6 -1  0.648    3.74    0.95
 6  0  0.653    3.67   -0.37
 6  1  0.660    3.80   -0.12
 6  2  0.671    0.00    0.44
 6  3  0.684    3.56   -0.60
 6  4  0.700    3.87    0.60
 7 -4  0.757   10.29  -11.89
 7 -3  0.754    8.47  -12.70
 7 -2  0.754    4.31    0.73
 7 -1  0.756    3.55    2.65
 7  0  0.760    2.95   -3.90
 9 -5  0.975    6.29   -5.15
 9 -4  0.973    5.78   -5.51
 9 -3  0.972    0.00    0.25
 9 -2  0.973    3.12    1.21
 9 -1  0.976    0.00   -1.75
 9  0  0.981    2.25    1.66
