 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     5784    35082  4604         0
 1  0  0.000  0.109  0.109  1208786    66943  4235        12
 1  1  0.043  0.115  0.122      503    12070  1625        34
 1  3  0.130  0.127  0.182       10      549    29       200
 2 -2 -0.087  0.205  0.224      525     2136   164        26
 2 -1 -0.043  0.211  0.217     8449    40527   453      1458
 2  0  0.000  0.217  0.218    81686     5862   100       149
 2  1  0.043  0.224  0.228     2426    10820   202       501
 2  2  0.087  0.230  0.246      787     4247   116         5
 2  3  0.130  0.236  0.270      205     1484    11         5
 2  4  0.173  0.242  0.298       19      628    30       231
 2  5  0.217  0.249  0.329        3      226    61        10
 2  6  0.260  0.255  0.363       13      120    20         6
 3 -2 -0.087  0.314  0.326     1909     7331   386         0
 3 -1 -0.043  0.320  0.324     5748    14725   274       246
 3  0  0.000  0.326  0.326     1106     1146    87       134
 3  1  0.043  0.332  0.335      187        0  10000         0
 3  2  0.087  0.339  0.350      328      704    36       134
 3  3  0.130  0.345  0.368      291     1342    30        18
 3  4  0.173  0.351  0.392      183     1230    30         0
 3  5  0.217  0.357  0.418       85      665    16         2
 3  6  0.260  0.364  0.446       28      251    31         0
 4 -3 -0.130  0.416  0.437      578     3665   212        34
 4 -2 -0.087  0.422  0.432     4660    12724   328         0
 4 -1 -0.043  0.429  0.431     1923     3356   287         7
 4  0  0.000  0.435  0.435     7713     1849    22       521
 4  1  0.043  0.441  0.443      287      313    59         1
 4  2  0.087  0.447  0.456        4      657    38       287
 4  3  0.130  0.454  0.000       22        0  10000         0
 4  4  0.173  0.460  0.493       47      127    12        82
 4  5  0.217  0.466  0.514       40      259    11         1
 4  6  0.260  0.472  0.539       18      275    50         8
 5 -3 -0.130  0.525  0.541      671     1755   137        12
 5 -2 -0.087  0.531  0.539     1416     1842    52       579
 5 -1 -0.043  0.537  0.540       18      398    21       314
 5  0  0.000  0.544  0.544      804      308     5       803
 5  1  0.043  0.550  0.551      467      286    16       163
 6 -4 -0.173  0.627  0.652        6      277    17       212
 6 -3 -0.130  0.633  0.648       37      235    14        85
 6 -2 -0.087  0.640  0.646        9      103    19        21
 6 -1 -0.043  0.646  0.648        7       94    16        31
 6  0  0.000  0.652  0.653        3       90     6       188
 6  1  0.043  0.658  0.660        0       96     8       153
 6  2  0.087  0.665  0.671        1        0  10000         0
 6  3  0.130  0.671  0.684        1       85     4       352
 6  4  0.173  0.677  0.700        1      100     6       285
 7 -4 -0.173  0.736  0.757      300      709    20       147
 7 -3 -0.130  0.742  0.754      460      481    24       651
 7 -2 -0.087  0.748  0.754        2      124    62         4
 7 -1 -0.043  0.755  0.756       61       84    10        15
 7  0  0.000  0.761  0.760      335       58     3       240
 9 -5 -0.217  0.947  0.975       58      265    50         3
 9 -4 -0.173  0.953  0.973       83      224    40         0
 9 -3 -0.130  0.960  0.972        0        0  10000         0
 9 -2 -0.087  0.966  0.973        8       65    19         9
 9 -1 -0.043  0.972  0.976       34        0  10000         0
 9  0  0.000  0.978  0.981       47       34    20         1

Total chi^2 =  8383
